"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"11.67";"11.93";"11.43";"11.81";"58123518"
"2018-03-05";"11.69";"12.06";"11.61";"11.91";"43734836"
"2018-03-06";"12.01";"12.05";"11.71";"11.76";"46751179"
"2018-03-07";"11.58";"12.82";"11.55";"12.24";"127603194"
"2018-03-08";"12.40";"12.59";"11.74";"11.97";"75943217"
"2018-03-09";"12.03";"12.04";"11.58";"11.70";"89674365"
"2018-03-12";"11.76";"11.82";"11.48";"11.52";"83676671"
"2018-03-13";"11.50";"12.04";"11.10";"11.64";"174302560"
"2018-03-14";"11.70";"11.72";"11.26";"11.36";"80540846"
"2018-03-15";"11.43";"11.55";"11.19";"11.46";"66373911"
"2018-03-16";"11.49";"11.55";"11.32";"11.47";"37538108"
"2018-03-19";"11.41";"11.74";"11.35";"11.43";"53308617"
"2018-03-20";"11.41";"11.52";"11.00";"11.11";"65116930"
"2018-03-21";"11.16";"11.34";"11.11";"11.26";"44691711"
"2018-03-22";"11.10";"11.26";"10.85";"10.91";"59944232"
"2018-03-23";"10.91";"10.97";"10.57";"10.63";"54844461"
"2018-03-26";"10.71";"10.80";"10.18";"10.44";"75812505"
"2018-03-27";"10.51";"10.59";"9.90";"10.00";"68551265"
"2018-03-28";"9.99";"10.17";"9.79";"9.81";"64832148"
"2018-03-29";"9.94";"10.08";"9.81";"10.05";"48681415"
"2018-04-02";"9.99";"10.14";"9.51";"9.53";"64824596"
"2018-04-03";"9.63";"9.77";"9.30";"9.55";"54891576"
"2018-04-04";"9.08";"9.81";"9.04";"9.77";"67356888"
"2018-04-05";"10.05";"10.20";"9.91";"10.02";"65758791"
"2018-04-06";"9.83";"10.10";"9.50";"9.61";"51087146"
"2018-04-09";"9.75";"9.84";"9.52";"9.53";"38382608"
"2018-04-10";"9.75";"10.04";"9.71";"9.98";"43036502"
"2018-04-11";"9.87";"10.03";"9.79";"9.82";"29169324"
"2018-04-12";"9.98";"10.10";"9.82";"10.08";"47784419"
"2018-04-13";"10.20";"10.22";"9.88";"9.93";"38935658"
"2018-04-16";"10.00";"10.17";"9.90";"10.09";"28875069"
"2018-04-17";"10.28";"10.53";"10.20";"10.52";"45360314"
"2018-04-18";"10.51";"10.65";"10.33";"10.36";"42445590"
"2018-04-19";"10.18";"10.33";"9.99";"10.11";"57841640"
"2018-04-20";"10.05";"10.14";"9.95";"9.99";"39011902"
"2018-04-23";"10.09";"10.19";"9.97";"10.04";"42971272"
"2018-04-24";"10.19";"10.35";"9.95";"10.09";"44992223"
"2018-04-25";"10.06";"10.09";"9.56";"9.71";"90577981"
"2018-04-26";"10.87";"11.19";"10.61";"11.04";"145284090"
"2018-04-27";"11.20";"11.36";"11.02";"11.11";"74347782"
"2018-04-30";"11.06";"11.14";"10.87";"10.88";"50608764"
"2018-05-01";"10.83";"11.15";"10.77";"11.13";"43441602"
"2018-05-02";"11.10";"11.16";"10.97";"10.97";"29267302"
"2018-05-03";"10.90";"11.06";"10.83";"10.93";"33310596"
"2018-05-04";"10.88";"11.29";"10.87";"11.28";"47884940"
"2018-05-07";"11.32";"11.68";"11.30";"11.59";"54001692"
"2018-05-08";"11.49";"11.66";"11.40";"11.61";"35218414"
"2018-05-09";"11.65";"11.98";"11.57";"11.95";"49605743"
"2018-05-10";"11.98";"12.18";"11.95";"12.13";"49744484"
"2018-05-11";"11.89";"12.03";"11.69";"11.95";"43863746"
"2018-05-14";"12.14";"12.36";"12.11";"12.23";"50263792"
"2018-05-15";"12.18";"12.46";"12.16";"12.45";"44183179"
"2018-05-16";"12.64";"12.98";"12.62";"12.82";"73363996"
"2018-05-17";"12.79";"12.90";"12.66";"12.82";"38692510"
"2018-05-18";"13.06";"13.26";"12.91";"13.00";"54063411"
"2018-05-21";"13.25";"13.31";"12.88";"12.99";"49714221"
"2018-05-22";"13.00";"13.14";"12.71";"12.98";"43267033"
"2018-05-23";"12.93";"13.18";"12.90";"13.10";"44517762"
"2018-05-24";"13.06";"13.43";"13.03";"13.41";"47785726"
"2018-05-25";"13.40";"13.72";"13.36";"13.54";"43850067"
"2018-05-29";"13.45";"13.63";"13.26";"13.36";"39578498"
"2018-05-30";"13.48";"13.95";"13.48";"13.82";"58186435"
"2018-05-31";"13.74";"13.93";"13.69";"13.73";"46797677"
"2018-06-01";"13.98";"14.40";"13.92";"14.40";"71677869"
"2018-06-04";"14.76";"14.98";"14.52";"14.85";"74545986"
"2018-06-05";"14.85";"14.92";"14.63";"14.85";"56122654"
"2018-06-06";"15.07";"15.74";"15.04";"15.67";"97089040"
"2018-06-07";"15.83";"15.97";"14.85";"14.89";"99860297"
"2018-06-08";"14.52";"15.33";"14.31";"15.25";"81930486"
"2018-06-11";"15.21";"15.89";"15.01";"15.73";"80737640"
"2018-06-12";"15.84";"15.95";"15.43";"15.85";"67002592"
"2018-06-13";"15.81";"16.52";"15.78";"16.32";"90227322"
"2018-06-14";"16.62";"16.79";"15.58";"16.25";"113048551"
"2018-06-15";"16.06";"16.52";"15.82";"16.34";"77612174"
"2018-06-18";"16.18";"17.34";"16.13";"17.11";"104317396"
"2018-06-19";"16.85";"17.29";"16.31";"16.69";"92542859"
"2018-06-20";"16.83";"17.13";"16.37";"16.52";"76280646"
"2018-06-21";"16.65";"16.87";"15.46";"15.65";"95638369"
"2018-06-22";"15.78";"15.91";"15.56";"15.80";"59257099"
"2018-06-25";"15.64";"15.74";"14.54";"15.11";"94088420"
"2018-06-26";"15.32";"15.60";"15.10";"15.50";"54213466"
"2018-06-27";"15.65";"15.76";"14.96";"14.97";"56014335"
"2018-06-28";"14.85";"15.36";"14.75";"15.31";"48716794"
"2018-06-29";"15.41";"15.49";"14.98";"14.99";"41527791"
"2018-07-02";"14.80";"15.18";"14.74";"15.16";"43398768"
"2018-07-03";"15.21";"15.34";"14.96";"15.00";"32094031"
"2018-07-05";"15.13";"15.50";"15.02";"15.50";"40703271"
"2018-07-06";"15.52";"16.39";"15.48";"16.36";"65101672"
"2018-07-09";"16.73";"16.84";"16.17";"16.61";"58525542"
"2018-07-10";"16.59";"16.65";"16.31";"16.55";"37092975"
"2018-07-11";"16.15";"16.53";"16.02";"16.27";"42544103"
"2018-07-12";"16.41";"16.79";"16.38";"16.56";"44188137"
"2018-07-13";"16.68";"16.69";"16.22";"16.27";"40698475"
"2018-07-16";"16.42";"17.00";"16.41";"16.58";"65275291"
"2018-07-17";"16.50";"16.88";"16.48";"16.87";"42313518"
"2018-07-18";"16.94";"16.99";"16.55";"16.85";"40881493"
"2018-07-19";"16.71";"16.88";"16.55";"16.71";"41267829"
"2018-07-20";"16.66";"16.88";"16.44";"16.50";"42906009"
"2018-07-23";"16.47";"16.68";"15.90";"16.66";"44940819"
"2018-07-24";"16.75";"16.86";"16.11";"16.19";"58201458"
"2018-07-25";"16.30";"16.39";"15.72";"16.05";"83639684"
"2018-07-26";"17.16";"18.45";"16.83";"18.35";"192661124"
"2018-07-27";"19.07";"19.88";"18.31";"18.94";"161903789"
"2018-07-30";"19.40";"20.18";"19.31";"19.42";"160823407"
"2018-07-31";"19.35";"19.50";"18.27";"18.33";"118403405"
"2018-08-01";"18.34";"18.95";"18.32";"18.48";"75495240"
"2018-08-02";"18.17";"18.83";"18.00";"18.79";"52567121"
"2018-08-03";"18.94";"19.06";"18.37";"18.49";"53232065"
"2018-08-06";"18.89";"19.44";"18.46";"19.43";"83579668"
"2018-08-07";"19.53";"19.71";"19.08";"19.56";"72822590"
"2018-08-08";"19.46";"19.77";"19.26";"19.58";"52081364"
"2018-08-09";"19.58";"19.71";"19.08";"19.10";"46653358"
"2018-08-10";"19.09";"19.48";"18.85";"19.06";"65821056"
"2018-08-13";"19.16";"19.93";"19.12";"19.73";"81411331"
"2018-08-14";"19.97";"20.28";"19.63";"20.02";"89195509"
"2018-08-15";"19.86";"20.10";"19.20";"19.70";"86355654"
"2018-08-16";"19.86";"20.07";"19.25";"19.33";"69733708"
"2018-08-17";"19.12";"19.82";"18.73";"19.77";"60616638"
"2018-08-20";"19.79";"20.08";"19.35";"19.98";"62983236"
"2018-08-21";"19.98";"20.42";"19.86";"20.40";"55628983"
"2018-08-22";"20.28";"20.92";"20.21";"20.90";"62002721"
"2018-08-23";"21.19";"22.32";"21.14";"22.29";"113444117"
"2018-08-24";"22.91";"24.00";"22.67";"23.98";"164317182"
"2018-08-27";"24.94";"27.30";"24.63";"25.26";"325058331"
"2018-08-28";"25.51";"26.18";"24.04";"25.05";"215771220"
"2018-08-29";"24.36";"25.41";"24.01";"25.20";"143223187"
"2018-08-30";"25.29";"25.67";"24.76";"24.89";"103607291"
"2018-08-31";"24.89";"25.24";"24.72";"25.17";"65206352"
"2018-09-04";"25.62";"28.11";"25.57";"28.06";"192541253"
"2018-09-05";"29.41";"29.94";"26.84";"28.51";"257349007"
"2018-09-06";"28.12";"28.58";"27.19";"27.84";"143942935"
"2018-09-07";"26.96";"28.27";"26.80";"27.38";"123348744"
"2018-09-10";"28.15";"29.93";"27.84";"29.89";"162253798"
"2018-09-11";"30.02";"30.59";"29.37";"30.10";"159902483"
"2018-09-12";"29.91";"32.29";"29.45";"32.21";"197889598"
"2018-09-13";"33.16";"34.14";"29.87";"30.48";"304147108"
"2018-09-14";"31.43";"33.09";"30.54";"32.72";"217762820"
"2018-09-17";"31.75";"33.23";"31.60";"32.43";"180410560"
"2018-09-18";"32.99";"33.37";"31.20";"31.93";"176673169"
"2018-09-19";"31.52";"31.83";"30.51";"31.21";"124287022"
"2018-09-20";"32.10";"32.20";"30.64";"31.18";"123116549"
"2018-09-21";"31.19";"32.42";"30.91";"31.02";"129792949"
"2018-09-24";"31.13";"32.65";"30.91";"32.61";"118332614"
"2018-09-25";"33.18";"33.60";"32.19";"32.57";"118570163"
"2018-09-26";"32.40";"32.60";"31.72";"32.19";"79347320"
"2018-09-27";"31.86";"32.63";"31.39";"32.59";"87934428"
"2018-09-28";"32.24";"32.78";"29.98";"30.89";"165453485"
"2018-10-01";"30.69";"31.91";"30.25";"31.42";"94742859"
"2018-10-02";"30.73";"30.82";"28.65";"29.02";"145276455"
"2018-10-03";"29.04";"29.22";"26.54";"28.43";"190137198"
"2018-10-04";"27.99";"28.83";"27.37";"27.78";"95831156"
"2018-10-05";"28.07";"28.47";"26.93";"27.35";"88008487"
"2018-10-08";"26.73";"27.54";"25.96";"26.46";"103789499"
"2018-10-09";"26.15";"27.71";"26.00";"27.24";"105455065"
"2018-10-10";"27.38";"27.40";"24.91";"25.00";"147682923"
"2018-10-11";"24.74";"26.20";"24.55";"25.30";"147013774"
"2018-10-12";"26.77";"26.97";"25.67";"26.34";"111059406"
"2018-10-15";"26.38";"26.77";"25.75";"26.26";"70523486"
"2018-10-16";"26.63";"28.23";"26.17";"28.18";"92528973"
"2018-10-17";"28.41";"28.53";"26.92";"27.30";"89466946"
"2018-10-18";"27.08";"27.75";"26.40";"26.62";"79623723"
"2018-10-19";"27.03";"27.10";"23.60";"23.66";"130799866"
