"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"73.46";"75.05";"72.75";"75.01";"131751280"
"2018-03-05";"74.71";"76.27";"74.05";"76.18";"104678680"
"2018-03-06";"76.66";"77.11";"76.40";"76.88";"91234360"
"2018-03-07";"76.33";"77.30";"76.13";"77.25";"83482460"
"2018-03-08";"77.50";"77.74";"77.26";"77.59";"77252300"
"2018-03-09";"78.18";"78.95";"77.95";"78.94";"90685000"
"2018-03-12";"79.63";"80.27";"79.34";"79.92";"103484220"
"2018-03-13";"80.80";"80.88";"78.90";"79.41";"130637840"
"2018-03-14";"79.85";"80.32";"79.54";"79.55";"85188860"
"2018-03-15";"79.75";"79.85";"78.91";"79.12";"81394020"
"2018-03-16";"79.17";"79.47";"78.38";"78.58";"108500240"
"2018-03-19";"77.73";"78.08";"76.27";"77.25";"131615320"
"2018-03-20";"77.52";"79.35";"77.27";"79.33";"91631360"
"2018-03-21";"79.32";"79.50";"78.16";"79.09";"95015420"
"2018-03-22";"78.27";"78.69";"77.12";"77.25";"126411020"
"2018-03-23";"76.95";"77.45";"74.77";"74.78";"160093660"
"2018-03-26";"76.50";"77.85";"74.96";"77.79";"112494000"
"2018-03-27";"78.62";"78.80";"74.12";"74.85";"139992620"
"2018-03-28";"72.35";"72.80";"69.31";"71.57";"274080340"
"2018-03-29";"70.30";"72.77";"68.26";"72.37";"251622420"
"2018-04-02";"70.88";"71.07";"67.75";"68.60";"208472140"
"2018-04-03";"69.57";"70.70";"67.77";"69.60";"204624240"
"2018-04-04";"67.91";"70.77";"67.64";"70.53";"139646100"
"2018-04-05";"72.10";"72.98";"71.35";"72.59";"128269180"
"2018-04-06";"71.50";"72.63";"70.01";"70.26";"117645140"
"2018-04-09";"71.25";"71.92";"70.13";"70.30";"84164120"
"2018-04-10";"71.60";"71.92";"70.79";"71.81";"85442880"
"2018-04-11";"71.97";"72.44";"71.24";"71.35";"71650660"
"2018-04-12";"71.98";"72.61";"71.75";"72.43";"62700540"
"2018-04-13";"72.46";"72.99";"71.23";"71.54";"73705340"
"2018-04-16";"72.25";"72.35";"71.37";"72.08";"56172480"
"2018-04-17";"73.11";"75.36";"72.85";"75.19";"102288060"
"2018-04-18";"75.73";"76.69";"75.21";"76.39";"104550180"
"2018-04-19";"77.16";"78.43";"76.95";"77.85";"130474560"
"2018-04-20";"78.06";"78.06";"75.80";"76.37";"107832440"
"2018-04-23";"77.33";"77.40";"75.17";"75.89";"89308480"
"2018-04-24";"76.79";"76.98";"72.42";"73.00";"149893980"
"2018-04-25";"72.90";"73.50";"70.75";"73.01";"131745800"
"2018-04-26";"74.25";"76.47";"73.93";"75.90";"175722020"
"2018-04-27";"81.70";"81.91";"78.37";"78.63";"261064820"
"2018-04-30";"79.13";"79.80";"78.05";"78.31";"109281700"
"2018-05-01";"78.16";"79.25";"77.61";"79.11";"91441420"
"2018-05-02";"79.05";"79.43";"78.32";"78.48";"87205460"
"2018-05-03";"78.00";"78.74";"77.30";"78.60";"85038340"
"2018-05-04";"78.12";"79.25";"78.11";"79.05";"68871340"
"2018-05-07";"79.47";"80.35";"79.39";"80.01";"76037100"
"2018-05-08";"79.75";"79.84";"79.13";"79.62";"61358980"
"2018-05-09";"80.00";"80.40";"79.60";"80.40";"72687540"
"2018-05-10";"80.42";"80.78";"80.17";"80.45";"56349000"
"2018-05-11";"80.55";"80.56";"79.89";"80.15";"45278000"
"2018-05-14";"80.20";"80.56";"80.00";"80.08";"50189660"
