"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"341.82";"346.09";"335.30";"344.67";"10022236"
"2018-03-05";"338.00";"354.77";"336.61";"352.75";"8140192"
"2018-03-06";"354.24";"355.21";"346.02";"348.92";"4888892"
"2018-03-07";"341.52";"348.41";"339.50";"347.04";"4575730"
"2018-03-08";"349.51";"352.50";"343.95";"348.73";"4313065"
"2018-03-09";"352.65";"354.89";"350.23";"354.52";"3538408"
"2018-03-12";"355.20";"355.23";"343.26";"344.19";"6088923"
"2018-03-13";"345.32";"347.88";"337.61";"338.67";"5444792"
"2018-03-14";"339.79";"340.52";"322.30";"330.26";"13058013"
"2018-03-15";"332.30";"332.92";"322.91";"329.98";"8766202"
"2018-03-16";"329.82";"330.83";"325.63";"330.47";"9329083"
"2018-03-19";"327.45";"333.33";"326.78";"331.76";"6328959"
"2018-03-20";"331.84";"339.70";"331.00";"337.63";"6500600"
"2018-03-21";"337.07";"341.91";"335.17";"337.10";"4056604"
"2018-03-22";"330.11";"332.68";"319.01";"319.61";"7282273"
"2018-03-23";"320.15";"331.14";"318.32";"321.00";"7237490"
"2018-03-26";"330.48";"331.94";"323.59";"328.97";"5392989"
"2018-03-27";"331.51";"334.88";"319.00";"321.12";"5355668"
"2018-03-28";"321.85";"323.24";"311.17";"320.02";"5634683"
"2018-03-29";"323.38";"330.48";"322.00";"327.88";"3652183"
"2018-04-02";"325.20";"329.94";"317.17";"322.44";"5025005"
"2018-04-03";"324.76";"331.10";"323.09";"330.82";"4783225"
"2018-04-04";"312.30";"327.81";"311.88";"327.44";"8235891"
"2018-04-05";"330.59";"338.96";"330.26";"336.40";"6220101"
"2018-04-06";"330.61";"334.59";"322.21";"326.12";"5704683"
"2018-04-09";"332.25";"334.88";"322.05";"322.48";"4931848"
"2018-04-10";"331.35";"336.69";"329.55";"334.83";"5618142"
"2018-04-11";"331.60";"337.57";"326.31";"327.36";"4573650"
"2018-04-12";"331.98";"338.35";"330.46";"337.48";"4325157"
"2018-04-13";"338.99";"339.67";"326.60";"329.28";"4733662"
"2018-04-16";"332.34";"333.22";"327.63";"331.77";"3901612"
"2018-04-17";"334.73";"339.74";"333.65";"336.72";"3381913"
"2018-04-18";"338.33";"342.40";"337.18";"341.00";"3117513"
"2018-04-19";"340.19";"342.41";"337.50";"340.64";"3006901"
"2018-04-20";"340.73";"341.40";"335.05";"338.67";"3038047"
"2018-04-23";"339.55";"341.26";"336.00";"338.84";"2765692"
"2018-04-24";"343.17";"347.67";"323.28";"329.06";"7052020"
"2018-04-25";"338.12";"344.91";"330.52";"342.86";"11023749"
"2018-04-26";"344.01";"345.65";"338.33";"342.79";"5273728"
"2018-04-27";"341.25";"342.92";"337.77";"340.88";"3390514"
"2018-04-30";"341.17";"342.58";"333.40";"333.56";"3721787"
"2018-05-01";"332.50";"333.91";"324.18";"329.54";"4313415"
"2018-05-02";"329.50";"330.71";"323.98";"324.19";"3436325"
"2018-05-03";"322.97";"332.63";"319.13";"330.69";"6369461"
"2018-05-04";"328.04";"335.89";"328.04";"334.43";"3655179"
"2018-05-07";"335.23";"342.98";"335.21";"340.43";"4192325"
"2018-05-08";"339.77";"341.94";"336.61";"338.37";"4014116"
"2018-05-09";"339.49";"346.93";"338.58";"344.50";"4347124"
"2018-05-10";"343.99";"348.57";"342.41";"344.07";"3920557"
"2018-05-11";"343.77";"345.42";"341.05";"342.46";"2332250"
"2018-05-14";"344.00";"347.74";"343.89";"344.59";"2520276"
"2018-05-15";"343.00";"343.85";"340.26";"342.12";"3009156"
"2018-05-16";"342.00";"343.56";"340.30";"340.97";"2230123"
"2018-05-17";"340.47";"344.77";"340.25";"344.14";"2483312"
"2018-05-18";"345.60";"352.05";"345.19";"351.23";"4327661"
"2018-05-21";"358.46";"365.00";"358.45";"363.92";"6785583"
"2018-05-22";"364.00";"364.85";"354.52";"355.02";"5389464"
"2018-05-23";"352.28";"359.60";"351.62";"359.21";"4497544"
"2018-05-24";"358.45";"360.66";"354.37";"359.00";"3932204"
"2018-05-25";"358.12";"360.60";"357.05";"360.09";"2463915"
"2018-05-29";"357.71";"360.97";"350.66";"352.48";"4249603"
"2018-05-30";"355.65";"358.92";"354.10";"358.19";"2826508"
"2018-05-31";"356.83";"356.83";"351.62";"352.16";"4406379"
"2018-06-01";"355.79";"358.15";"354.46";"356.72";"2657879"
"2018-06-04";"358.97";"363.39";"358.85";"360.73";"2950386"
"2018-06-05";"360.50";"363.37";"358.85";"360.10";"2567762"
"2018-06-06";"362.46";"371.60";"360.99";"371.56";"4488450"
"2018-06-07";"372.00";"374.48";"366.05";"368.53";"4517946"
"2018-06-08";"368.14";"371.42";"365.46";"369.50";"3274999"
"2018-06-11";"371.00";"373.33";"368.80";"370.94";"2468523"
"2018-06-12";"371.24";"372.73";"367.99";"370.62";"2440368"
"2018-06-13";"370.67";"371.00";"363.29";"363.85";"3867760"
"2018-06-14";"366.15";"367.64";"358.83";"362.42";"4039635"
"2018-06-15";"358.15";"361.66";"353.47";"357.88";"9946106"
"2018-06-18";"353.19";"357.65";"352.37";"354.74";"3363227"
"2018-06-19";"347.17";"347.17";"338.57";"341.12";"6857588"
"2018-06-20";"346.00";"346.98";"340.46";"342.69";"4540277"
"2018-06-21";"341.15";"341.15";"336.20";"337.66";"4048339"
"2018-06-22";"340.43";"340.94";"336.60";"338.91";"3298188"
"2018-06-25";"332.52";"333.85";"327.60";"331.20";"5006503"
"2018-06-26";"332.39";"334.40";"330.48";"331.30";"3112587"
"2018-06-27";"334.85";"341.42";"329.76";"329.82";"4579038"
"2018-06-28";"330.00";"337.54";"327.29";"334.65";"3348009"
"2018-06-29";"337.19";"340.00";"335.36";"335.51";"3154922"
"2018-07-02";"330.69";"336.33";"329.32";"336.08";"2820918"
"2018-07-03";"338.18";"339.69";"332.00";"332.93";"1464564"
"2018-07-05";"336.15";"337.28";"329.10";"333.18";"2428066"
"2018-07-06";"332.84";"336.10";"330.45";"334.64";"2138167"
"2018-07-09";"337.50";"343.04";"336.51";"341.92";"3128755"
"2018-07-10";"342.78";"348.00";"342.78";"347.16";"3278255"
"2018-07-11";"341.73";"344.39";"339.19";"340.60";"3056967"
"2018-07-12";"345.28";"346.60";"342.74";"346.03";"2030683"
"2018-07-13";"347.00";"351.24";"346.20";"350.79";"2281627"
"2018-07-16";"353.97";"356.34";"352.35";"356.10";"2889047"
"2018-07-17";"357.61";"359.00";"355.04";"356.88";"2716668"
"2018-07-18";"359.00";"361.86";"354.26";"360.23";"3090191"
"2018-07-19";"357.69";"359.39";"355.26";"355.33";"2711804"
"2018-07-20";"353.04";"356.99";"353.00";"354.90";"1817852"
"2018-07-23";"355.00";"355.00";"352.39";"353.27";"1943757"
"2018-07-24";"356.75";"359.47";"354.64";"358.27";"3182156"
"2018-07-25";"351.52";"356.30";"345.50";"355.92";"7353699"
"2018-07-26";"355.38";"360.20";"355.27";"359.32";"3191314"
"2018-07-27";"361.06";"364.54";"359.47";"360.65";"2916354"
"2018-07-30";"361.99";"362.45";"350.47";"351.06";"3080555"
"2018-07-31";"354.38";"359.02";"354.06";"356.30";"2728413"
"2018-08-01";"354.09";"357.91";"350.50";"352.76";"2718407"
"2018-08-02";"348.62";"350.73";"346.03";"349.73";"2655917"
"2018-08-03";"349.50";"350.99";"345.67";"348.44";"2285305"
"2018-08-06";"347.37";"347.37";"343.12";"346.57";"3251318"
"2018-08-07";"348.05";"352.12";"345.50";"350.76";"2267575"
"2018-08-08";"350.50";"351.62";"346.25";"347.78";"2334654"
"2018-08-09";"346.07";"346.84";"343.12";"343.72";"2302235"
"2018-08-10";"341.00";"341.00";"336.45";"339.41";"2745736"
"2018-08-13";"339.60";"342.15";"337.34";"338.36";"1877264"
"2018-08-14";"339.12";"340.15";"337.62";"339.14";"2017280"
"2018-08-15";"336.57";"337.14";"328.03";"331.76";"3798775"
"2018-08-16";"339.06";"347.72";"338.30";"345.98";"5868050"
"2018-08-17";"346.00";"348.50";"341.67";"346.40";"3069246"
"2018-08-20";"348.60";"352.61";"347.10";"350.74";"3018815"
"2018-08-21";"351.00";"354.45";"349.63";"353.77";"2967209"
"2018-08-22";"354.32";"355.87";"349.84";"350.03";"2683087"
"2018-08-23";"349.15";"350.28";"345.46";"347.48";"1833461"
"2018-08-24";"348.77";"350.63";"348.10";"349.38";"1954694"
"2018-08-27";"352.11";"355.00";"351.01";"353.74";"2280143"
"2018-08-28";"355.00";"355.68";"350.61";"351.21";"2475295"
"2018-08-29";"352.26";"352.35";"349.21";"350.19";"1850254"
"2018-08-30";"350.35";"350.95";"345.75";"346.90";"3257773"
"2018-08-31";"345.05";"345.85";"341.58";"342.79";"3462707"
"2018-09-04";"341.60";"346.32";"339.28";"346.25";"2699448"
"2018-09-05";"345.77";"347.25";"343.16";"346.68";"2959374"
"2018-09-06";"347.55";"353.35";"346.58";"351.27";"3585981"
"2018-09-07";"348.82";"350.01";"344.46";"349.28";"3921997"
"2018-09-10";"349.49";"350.75";"341.68";"341.86";"3065590"
"2018-09-11";"339.01";"346.62";"337.31";"345.25";"2731977"
"2018-09-12";"345.00";"355.04";"344.61";"353.41";"4004259"
"2018-09-13";"356.36";"360.42";"354.30";"355.46";"3166712"
"2018-09-14";"356.44";"362.26";"356.10";"359.80";"2835787"
"2018-09-17";"359.28";"361.30";"354.54";"355.96";"2554581"
"2018-09-18";"357.30";"365.81";"356.10";"363.58";"3003527"
"2018-09-19";"363.58";"371.23";"363.19";"365.22";"4753440"
"2018-09-20";"368.74";"371.73";"365.67";"367.46";"4011212"
"2018-09-21";"369.40";"372.57";"366.05";"372.23";"7144192"
"2018-09-24";"371.00";"371.89";"367.33";"367.99";"2800168"
"2018-09-25";"369.08";"370.46";"366.88";"367.23";"2969336"
"2018-09-26";"367.50";"368.56";"364.32";"365.03";"2368742"
"2018-09-27";"368.40";"368.97";"364.40";"367.39";"2355980"
"2018-09-28";"368.63";"374.22";"366.22";"371.90";"3600622"
"2018-10-01";"375.16";"383.21";"375.00";"382.29";"4758523"
"2018-10-02";"380.85";"388.62";"379.77";"386.37";"4622640"
"2018-10-03";"388.90";"394.28";"386.69";"392.30";"4794463"
"2018-10-04";"390.74";"391.09";"385.29";"389.99";"3822374"
"2018-10-05";"389.00";"392.39";"383.03";"386.47";"2899723"
"2018-10-08";"383.84";"386.73";"377.35";"385.77";"3324156"
"2018-10-09";"384.37";"386.82";"381.14";"385.44";"2862880"
"2018-10-10";"382.96";"383.80";"367.09";"367.47";"6033133"
"2018-10-11";"363.44";"369.85";"355.10";"358.11";"6266763"
"2018-10-12";"366.01";"367.12";"352.26";"360.11";"5509856"
"2018-10-15";"359.46";"362.55";"355.50";"358.88";"2979985"
"2018-10-16";"360.45";"368.57";"358.55";"368.25";"2822584"
"2018-10-17";"368.00";"368.50";"362.70";"365.50";"2238243"
"2018-10-18";"364.82";"367.76";"356.76";"359.35";"3255102"
"2018-10-19";"359.80";"359.87";"354.21";"356.26";"3491614"
"2018-10-22";"357.85";"358.76";"352.46";"355.98";"2263675"
"2018-10-23";"349.50";"353.56";"342.83";"350.05";"4389585"
"2018-10-24";"361.59";"364.60";"351.69";"354.65";"8442713"
"2018-10-25";"357.30";"364.39";"354.97";"363.77";"4007004"
"2018-10-26";"360.70";"363.30";"354.12";"359.27";"4075470"
"2018-10-29";"360.55";"361.71";"328.63";"335.59";"7462055"
"2018-10-30";"330.35";"351.05";"329.77";"349.91";"5774072"
"2018-10-31";"352.51";"363.41";"352.51";"354.86";"4177120"
"2018-11-01";"357.47";"364.57";"353.20";"363.07";"3760752"
"2018-11-02";"366.97";"371.54";"356.76";"357.75";"4029936"
"2018-11-05";"359.76";"363.29";"356.48";"361.98";"2254044"
"2018-11-06";"362.41";"368.44";"362.11";"366.47";"2471999"
"2018-11-07";"367.64";"372.85";"359.50";"372.02";"4015265"
"2018-11-08";"369.33";"373.70";"365.55";"370.77";"2752116"
"2018-11-09";"367.83";"371.00";"366.12";"369.34";"2590368"
"2018-11-12";"370.21";"370.48";"355.99";"357.03";"3088662"
"2018-11-13";"349.55";"355.38";"342.04";"349.51";"4960199"
"2018-11-14";"352.09";"355.85";"343.89";"344.72";"3445889"
"2018-11-15";"341.12";"347.98";"336.51";"341.57";"4863147"
"2018-11-16";"339.00";"340.19";"331.16";"335.95";"4425281"
"2018-11-19";"335.55";"336.04";"317.20";"320.94";"6782867"
"2018-11-20";"302.10";"322.18";"296.61";"317.70";"6876050"
"2018-11-21";"325.07";"326.89";"315.57";"317.32";"4401164"
"2018-11-23";"315.00";"317.00";"311.87";"312.32";"1599405"
"2018-11-26";"315.56";"318.59";"310.66";"316.36";"3362376"
"2018-11-27";"315.28";"318.56";"310.96";"318.03";"2946402"
"2018-11-28";"325.72";"334.01";"321.73";"333.50";"6117667"
"2018-11-29";"335.97";"343.23";"334.06";"342.56";"5332027"
"2018-11-30";"341.94";"347.58";"337.50";"346.76";"5374081"
"2018-12-03";"364.31";"369.00";"356.37";"359.96";"6569235"
"2018-12-04";"357.00";"358.32";"341.74";"342.50";"5199103"
"2018-12-06";"329.99";"333.63";"317.30";"331.90";"9297489"
"2018-12-07";"332.35";"337.61";"321.39";"323.22";"4526294"
"2018-12-10";"321.27";"327.20";"315.51";"326.35";"4400538"
"2018-12-11";"333.25";"334.49";"318.75";"322.03";"3566483"
"2018-12-12";"327.38";"331.90";"324.66";"326.69";"3424825"
"2018-12-13";"328.40";"328.74";"324.17";"325.47";"2247906"
"2018-12-14";"322.45";"323.91";"315.56";"318.75";"3298537"
"2018-12-17";"316.91";"327.22";"314.44";"316.13";"4968516"
"2018-12-18";"325.46";"332.09";"323.20";"328.06";"5881285"
"2018-12-19";"329.33";"333.48";"316.10";"319.55";"4871668"
"2018-12-20";"317.00";"321.82";"308.00";"313.05";"5368732"
"2018-12-21";"309.09";"314.97";"304.01";"304.55";"7641789"
"2018-12-24";"300.65";"303.00";"294.16";"294.16";"3435355"
"2018-12-26";"298.61";"314.09";"292.47";"313.93";"4843663"
"2018-12-27";"309.04";"317.14";"302.24";"317.14";"4341263"
"2018-12-28";"319.74";"321.53";"315.15";"316.38";"3725273"
"2018-12-31";"320.50";"323.64";"318.75";"322.50";"3557891"
