"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"178.01";"180.23";"175.45";"179.76";"18908123"
"2018-03-05";"179.41";"181.95";"177.07";"181.60";"15656674"
"2018-03-06";"185.19";"188.01";"184.82";"187.37";"17857091"
"2018-03-07";"184.37";"189.07";"184.32";"189.05";"13729041"
"2018-03-08";"189.05";"190.23";"186.57";"187.18";"14333214"
"2018-03-09";"189.64";"190.70";"188.01";"190.55";"14208462"
"2018-03-12";"192.30";"194.40";"190.90";"192.74";"17818491"
"2018-03-13";"193.88";"194.25";"187.39";"188.41";"14826966"
"2018-03-14";"190.29";"193.63";"190.22";"192.56";"20032571"
"2018-03-15";"198.44";"201.50";"196.52";"199.06";"33627397"
"2018-03-16";"198.40";"200.38";"197.26";"200.28";"26954759"
"2018-03-19";"198.00";"198.43";"192.80";"194.53";"19685221"
"2018-03-20";"194.95";"199.21";"194.54";"198.95";"11954584"
"2018-03-21";"198.80";"198.88";"194.57";"195.30";"12047332"
"2018-03-22";"190.75";"192.39";"184.60";"184.65";"25355950"
"2018-03-23";"186.85";"188.48";"180.40";"181.20";"18714470"
"2018-03-26";"187.89";"190.62";"184.32";"190.50";"16729911"
"2018-03-27";"192.24";"192.25";"180.66";"181.89";"16628073"
"2018-03-28";"180.73";"183.44";"177.57";"178.91";"20082296"
"2018-03-29";"180.88";"185.13";"178.62";"183.54";"16380466"
"2018-04-02";"182.81";"183.51";"175.75";"177.61";"16028801"
"2018-04-03";"179.26";"179.58";"173.00";"174.67";"19965617"
"2018-04-04";"166.88";"172.41";"166.13";"172.07";"24581728"
"2018-04-05";"175.48";"176.56";"171.17";"172.57";"18251072"
"2018-04-06";"169.84";"172.27";"166.40";"167.52";"18212379"
"2018-04-09";"169.75";"172.72";"168.61";"169.87";"14720412"
"2018-04-10";"175.10";"177.88";"173.85";"177.10";"20596333"
"2018-04-11";"176.48";"178.16";"174.74";"175.36";"10098374"
"2018-04-12";"175.93";"177.90";"174.56";"175.92";"11133900"
"2018-04-13";"176.72";"176.80";"171.07";"172.04";"13526608"
"2018-04-16";"172.01";"174.79";"171.01";"174.70";"9883434"
"2018-04-17";"174.83";"179.34";"174.83";"178.70";"16290816"
"2018-04-18";"178.90";"182.88";"177.64";"182.68";"16974811"
"2018-04-19";"183.26";"183.63";"179.52";"181.39";"11989087"
"2018-04-20";"179.36";"181.39";"177.53";"179.11";"14473133"
"2018-04-23";"178.63";"179.32";"174.71";"175.57";"11850117"
"2018-04-24";"177.63";"178.00";"170.68";"173.09";"14572617"
"2018-04-25";"170.52";"171.30";"166.64";"170.22";"17134471"
"2018-04-26";"173.25";"174.36";"172.05";"173.90";"13398175"
"2018-04-27";"177.11";"178.20";"174.01";"177.16";"15062817"
"2018-04-30";"178.09";"180.04";"177.05";"178.54";"14629177"
"2018-05-01";"177.58";"180.32";"177.44";"179.50";"10788100"
"2018-05-02";"180.80";"184.26";"180.11";"181.45";"20681951"
"2018-05-03";"183.50";"183.59";"175.77";"182.45";"26257658"
"2018-05-04";"180.40";"190.60";"178.62";"188.89";"57788450"
"2018-05-07";"190.41";"196.60";"190.30";"195.35";"29863092"
"2018-05-08";"194.20";"197.34";"193.01";"196.31";"21856748"
"2018-05-09";"195.84";"197.38";"194.50";"195.43";"13713670"
"2018-05-10";"196.30";"199.77";"195.16";"195.96";"21295227"
"2018-05-11";"196.40";"196.46";"193.38";"194.36";"12746138"
"2018-05-14";"195.90";"200.00";"195.87";"198.64";"17627200"
"2018-05-15";"195.23";"196.78";"193.86";"196.61";"12698887"
"2018-05-16";"196.75";"199.75";"196.30";"198.11";"12889519"
"2018-05-17";"196.00";"198.43";"195.57";"196.02";"13470747"
"2018-05-18";"196.43";"197.78";"194.72";"195.00";"14205620"
"2018-05-21";"197.80";"199.79";"196.40";"197.64";"13834116"
"2018-05-22";"198.30";"198.63";"195.70";"195.87";"9700241"
"2018-05-23";"193.88";"196.90";"192.80";"196.80";"12807383"
"2018-05-24";"198.12";"199.72";"195.70";"197.37";"18534994"
"2018-05-25";"197.57";"201.50";"197.21";"199.20";"21270022"
"2018-05-29";"197.94";"202.28";"197.00";"198.00";"18768763"
"2018-05-30";"199.70";"200.54";"197.50";"197.98";"13930819"
"2018-05-31";"198.00";"199.48";"196.85";"198.01";"17982736"
"2018-06-01";"199.50";"204.99";"199.45";"204.34";"23132117"
"2018-06-04";"205.12";"209.75";"204.73";"208.95";"19357212"
"2018-06-05";"209.95";"211.70";"207.13";"208.37";"17768044"
"2018-06-06";"209.86";"210.46";"207.29";"208.30";"13800723"
"2018-06-07";"207.46";"209.00";"200.88";"203.62";"26747870"
"2018-06-08";"201.11";"206.23";"200.43";"205.07";"17525448"
"2018-06-11";"206.50";"207.60";"205.01";"205.70";"12061426"
"2018-06-12";"206.95";"209.80";"206.90";"209.08";"15910917"
"2018-06-13";"209.44";"209.65";"206.60";"206.62";"13844210"
"2018-06-14";"207.72";"211.12";"207.51";"210.86";"18838572"
"2018-06-15";"207.49";"210.08";"206.01";"208.00";"28668645"
"2018-06-18";"205.16";"208.60";"203.88";"208.57";"14645437"
"2018-06-19";"203.53";"204.51";"199.50";"204.43";"24484194"
