"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"31.12";"31.69";"30.63";"31.63";"82739799"
"2018-03-05";"31.35";"32.36";"31.17";"32.13";"70543321"
"2018-03-06";"32.30";"32.32";"31.95";"32.11";"50833087"
"2018-03-07";"31.70";"32.23";"31.58";"32.18";"52764369"
"2018-03-08";"32.19";"32.27";"31.81";"32.20";"53140046"
"2018-03-09";"32.47";"32.73";"32.40";"32.72";"73906289"
"2018-03-12";"32.69";"33.05";"32.64";"32.84";"60316813"
"2018-03-13";"32.97";"32.99";"32.30";"32.36";"63347513"
"2018-03-14";"32.55";"32.55";"31.93";"32.14";"58011496"
"2018-03-15";"32.29";"32.34";"31.93";"32.10";"41670648"
"2018-03-16";"32.11";"32.57";"32.08";"32.17";"83447752"
"2018-03-19";"32.13";"32.22";"31.68";"31.98";"57363799"
"2018-03-20";"32.06";"32.20";"31.88";"31.98";"44785162"
"2018-03-21";"32.00";"32.45";"31.68";"31.87";"64549909"
"2018-03-22";"31.44";"31.49";"30.42";"30.55";"110272116"
"2018-03-23";"30.69";"30.82";"29.05";"29.17";"115740324"
"2018-03-26";"29.89";"30.56";"29.65";"30.44";"83274171"
"2018-03-27";"30.65";"30.67";"29.21";"29.52";"85822870"
"2018-03-28";"29.79";"29.96";"29.01";"29.39";"79396235"
"2018-03-29";"29.57";"30.14";"29.31";"29.99";"65678298"
"2018-04-02";"29.80";"30.06";"28.75";"29.31";"86646268"
"2018-04-03";"29.54";"29.65";"29.10";"29.59";"69698836"
"2018-04-04";"29.00";"29.97";"28.95";"29.88";"66640787"
"2018-04-05";"30.18";"30.55";"30.12";"30.32";"55766613"
"2018-04-06";"30.01";"30.29";"29.37";"29.63";"79688256"
"2018-04-09";"29.82";"30.63";"29.76";"29.87";"65918310"
"2018-04-10";"30.48";"30.58";"30.23";"30.48";"60686565"
"2018-04-11";"30.15";"30.24";"29.89";"29.90";"62239337"
"2018-04-12";"30.22";"30.80";"30.17";"30.65";"57989187"
"2018-04-13";"31.13";"31.17";"29.56";"29.80";"99254733"
"2018-04-16";"30.08";"30.37";"29.47";"29.93";"110589019"
"2018-04-17";"30.17";"30.37";"29.88";"30.04";"83476498"
"2018-04-18";"30.03";"30.22";"29.50";"29.53";"79744417"
"2018-04-19";"29.55";"30.24";"29.54";"30.18";"80902762"
"2018-04-20";"30.26";"30.53";"30.13";"30.26";"65554693"
"2018-04-23";"30.27";"30.40";"30.12";"30.32";"50686747"
"2018-04-24";"30.46";"30.86";"30.00";"30.19";"81486818"
"2018-04-25";"30.09";"30.34";"29.80";"30.14";"65893944"
"2018-04-26";"30.04";"30.28";"29.99";"30.07";"45937949"
"2018-04-27";"29.99";"30.21";"29.97";"30.15";"47411617"
