"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"73.17";"73.87";"71.88";"73.68";"21061569"
"2018-03-05";"73.07";"74.94";"72.70";"74.42";"16814713"
"2018-03-06";"74.93";"74.99";"73.75";"74.06";"14891272"
"2018-03-07";"73.18";"74.08";"72.86";"73.92";"14655294"
"2018-03-08";"74.14";"74.23";"73.13";"74.11";"10879704"
"2018-03-09";"74.95";"76.37";"74.60";"76.11";"15939450"
"2018-03-12";"75.95";"76.53";"75.92";"76.02";"13398366"
"2018-03-13";"76.14";"76.41";"74.66";"74.91";"12637187"
"2018-03-14";"75.28";"75.29";"73.32";"73.47";"18485863"
"2018-03-15";"73.78";"73.87";"73.01";"73.34";"13334208"
"2018-03-16";"73.17";"74.14";"73.15";"73.47";"33033860"
"2018-03-19";"73.47";"73.50";"71.92";"72.70";"15131587"
"2018-03-20";"73.05";"73.53";"72.71";"72.92";"13113599"
"2018-03-21";"73.18";"74.27";"72.69";"73.32";"16375054"
"2018-03-22";"72.33";"72.48";"69.87";"70.31";"27652745"
"2018-03-23";"70.32";"70.73";"67.75";"67.90";"31458899"
"2018-03-26";"69.11";"70.01";"68.29";"69.78";"19156463"
"2018-03-27";"70.24";"70.62";"67.61";"68.28";"21610892"
"2018-03-28";"68.48";"69.04";"67.53";"68.26";"21712187"
"2018-03-29";"68.52";"69.67";"67.50";"67.50";"22621428"
"2018-04-02";"68.33";"69.04";"66.55";"67.71";"29975766"
"2018-04-03";"68.05";"68.66";"67.42";"68.48";"18807177"
"2018-04-04";"67.16";"69.56";"67.05";"69.31";"15652385"
"2018-04-05";"70.07";"70.81";"69.90";"70.22";"16122020"
"2018-04-06";"69.52";"70.29";"67.93";"68.60";"21543720"
"2018-04-09";"69.06";"70.95";"68.99";"69.44";"17036745"
"2018-04-10";"71.05";"71.24";"70.29";"70.51";"16099042"
"2018-04-11";"69.97";"70.60";"69.55";"69.89";"15645736"
"2018-04-12";"70.47";"72.50";"70.47";"72.13";"24488685"
"2018-04-13";"73.21";"73.38";"69.83";"71.01";"31356041"
"2018-04-16";"71.09";"71.34";"69.76";"70.07";"18877725"
"2018-04-17";"70.65";"70.93";"69.47";"69.74";"18233970"
"2018-04-18";"69.81";"70.36";"68.85";"68.98";"15382956"
"2018-04-19";"69.10";"70.61";"69.10";"70.28";"15531836"
"2018-04-20";"70.40";"70.84";"69.75";"70.00";"17629991"
"2018-04-23";"70.00";"70.27";"69.40";"69.48";"11596481"
"2018-04-24";"69.76";"70.62";"68.40";"69.12";"16233774"
"2018-04-25";"68.77";"69.77";"68.05";"69.36";"16059912"
"2018-04-26";"69.11";"69.59";"68.90";"69.18";"13829860"
"2018-04-27";"69.00";"69.44";"68.74";"68.99";"10420171"
"2018-04-30";"69.20";"69.59";"68.25";"68.27";"12238006"
