"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"43.29";"44.22";"43.10";"44.06";"28848064"
"2018-03-05";"43.92";"44.77";"43.70";"44.52";"22101667"
"2018-03-06";"44.65";"44.79";"44.14";"44.29";"21929955"
"2018-03-07";"44.03";"44.39";"43.80";"44.20";"22034446"
"2018-03-08";"44.25";"44.41";"43.94";"44.34";"20285571"
"2018-03-09";"44.62";"45.54";"44.61";"45.37";"22230941"
"2018-03-12";"45.53";"45.87";"45.40";"45.55";"18299843"
"2018-03-13";"45.78";"46.16";"44.92";"45.16";"23411226"
"2018-03-14";"45.34";"45.76";"45.09";"45.28";"21141074"
"2018-03-15";"45.30";"45.74";"45.12";"45.33";"23520380"
"2018-03-16";"45.33";"45.60";"44.97";"45.01";"56129032"
"2018-03-19";"44.59";"44.82";"43.90";"44.27";"26734062"
"2018-03-20";"44.49";"44.64";"44.18";"44.37";"22809746"
"2018-03-21";"44.24";"44.90";"44.13";"44.31";"22528153"
"2018-03-22";"43.76";"44.02";"43.02";"43.07";"29520761"
"2018-03-23";"43.71";"43.84";"42.42";"42.42";"31759225"
"2018-03-26";"43.25";"44.16";"42.83";"44.06";"29731870"
"2018-03-27";"44.49";"44.52";"42.24";"42.68";"30941960"
"2018-03-28";"42.51";"42.84";"41.62";"41.66";"36696770"
"2018-03-29";"41.94";"42.93";"41.58";"42.89";"55021225"
"2018-04-02";"42.52";"42.63";"40.53";"41.01";"36791764"
"2018-04-03";"41.34";"41.50";"40.72";"41.38";"28003925"
"2018-04-04";"40.39";"41.55";"40.19";"41.20";"30117558"
"2018-04-05";"41.50";"42.02";"41.38";"41.82";"29214612"
"2018-04-06";"41.40";"41.68";"40.45";"40.73";"32208693"
"2018-04-09";"40.95";"42.06";"40.90";"41.17";"25725786"
"2018-04-10";"42.10";"42.71";"41.75";"42.51";"22781594"
"2018-04-11";"42.42";"42.90";"42.26";"42.43";"21692969"
"2018-04-12";"42.78";"43.64";"42.73";"43.34";"22297010"
"2018-04-13";"43.55";"43.74";"42.64";"43.00";"18272320"
"2018-04-16";"43.12";"43.64";"43.03";"43.30";"15807853"
"2018-04-17";"43.85";"44.75";"43.71";"44.59";"21474572"
"2018-04-18";"44.61";"44.92";"44.30";"44.63";"17605321"
"2018-04-19";"44.42";"44.95";"44.38";"44.56";"21472349"
"2018-04-20";"44.50";"44.75";"43.62";"44.09";"23539219"
"2018-04-23";"44.26";"44.48";"43.87";"44.25";"20716812"
"2018-04-24";"44.43";"44.91";"43.33";"43.74";"21421528"
"2018-04-25";"43.80";"43.99";"42.75";"43.71";"21706045"
"2018-04-26";"43.98";"44.49";"43.44";"44.21";"20549341"
"2018-04-27";"44.69";"45.34";"44.36";"44.71";"20077392"
"2018-04-30";"44.92";"45.18";"44.28";"44.29";"19958464"
"2018-05-01";"43.91";"44.95";"43.83";"44.83";"16865524"
"2018-05-02";"44.91";"45.05";"43.80";"43.86";"23601562"
"2018-05-03";"44.01";"44.81";"43.44";"44.44";"23750207"
"2018-05-04";"44.01";"45.50";"43.90";"45.30";"19504140"
"2018-05-07";"45.36";"46.00";"45.30";"45.73";"17822387"
"2018-05-08";"45.82";"45.87";"45.38";"45.71";"20285300"
"2018-05-09";"45.90";"46.10";"45.19";"46.04";"20438258"
"2018-05-10";"46.00";"46.37";"45.67";"46.30";"18469391"
"2018-05-11";"46.09";"46.27";"45.78";"45.93";"17551533"
"2018-05-14";"45.75";"46.23";"45.67";"45.70";"22037655"
"2018-05-15";"45.21";"45.55";"44.93";"45.48";"24753573"
"2018-05-16";"45.36";"45.55";"45.01";"45.16";"31253656"
"2018-05-17";"43.13";"44.16";"43.02";"43.46";"48210381"
"2018-05-18";"43.46";"43.57";"43.11";"43.21";"24455962"
"2018-05-21";"43.49";"43.94";"43.42";"43.75";"21785939"
"2018-05-22";"43.79";"43.91";"43.48";"43.65";"16381784"
"2018-05-23";"43.40";"43.70";"42.89";"43.68";"20638782"
"2018-05-24";"43.60";"43.97";"43.01";"43.57";"18377491"
"2018-05-25";"43.46";"43.62";"43.21";"43.26";"15362007"
"2018-05-29";"42.76";"43.16";"42.52";"42.97";"25197401"
"2018-05-30";"43.08";"43.34";"42.83";"42.85";"22498821"
"2018-05-31";"42.86";"43.13";"42.61";"42.71";"31439566"
"2018-06-01";"42.91";"43.69";"42.88";"43.66";"18352715"
"2018-06-04";"43.50";"43.83";"43.21";"43.58";"18087741"
"2018-06-05";"43.74";"43.75";"43.39";"43.67";"16728755"
"2018-06-06";"43.76";"44.31";"43.66";"44.26";"17730231"
"2018-06-07";"44.24";"44.39";"43.35";"43.65";"19722037"
"2018-06-08";"43.52";"43.73";"43.31";"43.48";"18812398"
"2018-06-11";"43.62";"43.92";"43.44";"43.69";"15068969"
"2018-06-12";"43.68";"43.95";"43.47";"43.94";"17564885"
"2018-06-13";"44.02";"44.53";"43.84";"44.01";"24383241"
"2018-06-14";"44.23";"44.81";"44.05";"44.69";"24020482"
"2018-06-15";"44.36";"44.53";"43.59";"44.25";"49379790"
"2018-06-18";"43.87";"44.42";"43.39";"44.21";"17625361"
"2018-06-19";"43.62";"44.02";"43.44";"43.82";"22199204"
