"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"111.50";"112.18";"109.83";"111.64";"6607452"
"2018-03-05";"111.40";"113.33";"111.02";"113.15";"7814954"
"2018-03-06";"113.85";"115.52";"113.02";"113.65";"7958014"
"2018-03-07";"112.95";"115.08";"112.63";"113.84";"6660126"
"2018-03-08";"114.60";"114.75";"112.60";"113.35";"6095336"
"2018-03-09";"114.31";"117.39";"114.24";"117.22";"8833530"
"2018-03-12";"117.50";"118.35";"116.56";"116.79";"6877133"
"2018-03-13";"117.23";"118.18";"116.00";"116.46";"6793174"
"2018-03-14";"116.98";"117.45";"114.86";"115.13";"5051644"
"2018-03-15";"115.36";"116.21";"114.75";"115.58";"4519797"
"2018-03-16";"115.40";"116.19";"114.56";"115.40";"14909808"
"2018-03-19";"115.07";"115.23";"113.22";"113.89";"4803762"
"2018-03-20";"114.55";"115.70";"114.44";"114.50";"4587549"
"2018-03-21";"114.98";"118.11";"114.80";"117.04";"6829614"
"2018-03-22";"115.55";"115.74";"113.48";"113.70";"6297312"
"2018-03-23";"114.37";"115.77";"112.70";"112.98";"6227433"
"2018-03-26";"114.24";"115.59";"113.25";"115.35";"6868807"
"2018-03-27";"115.75";"116.86";"113.98";"114.66";"5530770"
"2018-03-28";"114.93";"115.26";"112.06";"112.10";"6985477"
"2018-03-29";"112.29";"114.43";"112.28";"114.04";"6627981"
"2018-04-02";"113.89";"114.39";"110.54";"112.24";"6228687"
"2018-04-03";"112.52";"114.98";"112.09";"114.83";"6717756"
"2018-04-04";"113.05";"114.79";"112.43";"114.48";"5727401"
"2018-04-05";"114.88";"117.89";"114.70";"117.29";"7205019"
"2018-04-06";"116.38";"117.01";"113.39";"114.76";"7094766"
"2018-04-09";"115.30";"117.17";"114.88";"115.98";"6933979"
"2018-04-10";"117.60";"119.83";"117.60";"118.85";"7649113"
"2018-04-11";"118.69";"119.38";"117.75";"119.25";"6246866"
"2018-04-12";"119.71";"120.67";"118.65";"119.23";"6702241"
"2018-04-13";"119.52";"120.79";"119.22";"119.92";"5508503"
"2018-04-16";"120.60";"121.71";"119.77";"120.70";"4598101"
"2018-04-17";"120.94";"122.00";"120.56";"121.46";"6488456"
"2018-04-18";"122.46";"124.89";"122.40";"123.82";"9002759"
"2018-04-19";"123.97";"125.00";"123.21";"123.71";"7159410"
"2018-04-20";"123.38";"123.46";"121.46";"122.31";"7561421"
"2018-04-23";"122.00";"123.61";"121.80";"123.58";"6113288"
"2018-04-24";"124.36";"125.04";"121.75";"122.54";"7980563"
"2018-04-25";"122.34";"122.90";"121.12";"122.72";"5331261"
"2018-04-26";"122.67";"124.30";"122.30";"124.22";"6268448"
"2018-04-27";"125.50";"127.05";"124.68";"126.62";"8836996"
"2018-04-30";"127.02";"127.90";"125.05";"125.11";"7631624"
"2018-05-01";"124.03";"124.92";"123.08";"124.86";"7094219"
"2018-05-02";"124.20";"126.47";"124.09";"125.49";"5909348"
"2018-05-03";"124.59";"126.12";"123.83";"126.01";"6727800"
"2018-05-04";"125.21";"126.84";"124.71";"125.53";"5403318"
"2018-05-07";"126.59";"128.40";"124.44";"124.94";"6999840"
"2018-05-08";"124.93";"126.75";"123.63";"126.57";"8937165"
"2018-05-09";"128.42";"130.42";"128.09";"128.72";"11443001"
"2018-05-10";"129.69";"129.81";"128.39";"128.82";"5446804"
"2018-05-11";"129.39";"130.76";"128.52";"129.84";"8092499"
"2018-05-14";"130.25";"131.08";"129.80";"130.39";"6212941"
"2018-05-15";"130.24";"130.27";"129.25";"129.74";"5201847"
"2018-05-16";"129.29";"129.72";"128.30";"129.56";"5405125"
"2018-05-17";"128.76";"129.57";"128.38";"129.46";"5241646"
"2018-05-18";"128.92";"129.15";"127.80";"127.86";"6385870"
"2018-05-21";"128.79";"129.41";"128.27";"129.37";"5081355"
"2018-05-22";"129.09";"130.39";"128.10";"128.23";"5444264"
"2018-05-23";"127.09";"128.79";"126.55";"128.70";"6017789"
"2018-05-24";"127.40";"127.40";"125.85";"126.61";"5906213"
"2018-05-25";"124.54";"124.76";"121.22";"122.19";"8936690"
"2018-05-29";"121.10";"122.43";"120.06";"121.39";"7385818"
"2018-05-30";"122.65";"125.67";"122.34";"125.16";"7125832"
"2018-05-31";"124.08";"124.82";"123.46";"124.30";"7461314"
"2018-06-01";"125.49";"125.55";"123.43";"123.85";"5750369"
"2018-06-04";"124.53";"125.41";"122.17";"122.26";"5760549"
"2018-06-05";"122.01";"123.71";"121.55";"122.73";"5672727"
"2018-06-06";"123.12";"123.69";"122.06";"123.38";"6213550"
"2018-06-07";"124.54";"127.98";"124.41";"126.96";"8607448"
"2018-06-08";"127.12";"127.38";"125.68";"126.44";"5108842"
"2018-06-11";"126.77";"128.19";"125.86";"127.56";"6085257"
"2018-06-12";"127.64";"128.38";"126.33";"127.08";"4543022"
"2018-06-13";"126.81";"127.82";"126.09";"127.07";"6320044"
"2018-06-14";"127.38";"127.96";"126.38";"126.51";"5056787"
"2018-06-15";"127.10";"127.12";"123.84";"124.04";"13224010"
"2018-06-18";"124.35";"126.98";"124.10";"125.97";"7706175"
"2018-06-19";"124.32";"125.89";"123.88";"125.54";"5950340"
"2018-06-20";"126.12";"126.46";"124.30";"125.29";"7980885"
"2018-06-21";"124.50";"124.59";"122.16";"122.59";"7291323"
"2018-06-22";"125.41";"126.57";"124.82";"125.10";"8911971"
"2018-06-25";"124.43";"124.64";"121.93";"122.61";"5802265"
"2018-06-26";"123.03";"124.61";"122.57";"124.16";"4592836"
"2018-06-27";"125.15";"127.42";"125.06";"126.00";"6341717"
"2018-06-28";"126.54";"126.86";"125.00";"125.66";"3814908"
"2018-06-29";"125.74";"127.73";"125.74";"126.43";"5669791"
"2018-07-02";"125.28";"125.29";"123.56";"124.25";"5073479"
"2018-07-03";"125.46";"126.69";"124.55";"124.73";"3919662"
"2018-07-05";"126.11";"126.25";"123.82";"123.98";"5927157"
"2018-07-06";"123.52";"124.52";"123.19";"124.14";"4020274"
"2018-07-09";"125.00";"126.28";"124.69";"125.99";"4602256"
"2018-07-10";"127.33";"128.51";"126.75";"127.59";"5092086"
"2018-07-11";"126.23";"126.68";"122.97";"123.52";"6631812"
"2018-07-12";"124.44";"124.95";"123.59";"124.26";"3746930"
"2018-07-13";"124.20";"124.88";"123.63";"124.04";"3352923"
"2018-07-16";"123.01";"123.88";"121.88";"122.98";"4317864"
"2018-07-17";"122.36";"122.96";"121.80";"121.91";"4135200"
"2018-07-18";"121.24";"121.67";"119.67";"121.53";"6061442"
"2018-07-19";"121.10";"122.14";"121.01";"121.67";"4471379"
"2018-07-20";"121.25";"122.35";"121.01";"122.27";"5399799"
"2018-07-23";"122.35";"123.07";"121.16";"121.33";"5359895"
"2018-07-24";"121.87";"124.16";"121.86";"123.85";"4423630"
"2018-07-25";"123.62";"125.23";"123.27";"124.90";"4267219"
"2018-07-26";"124.70";"125.38";"123.80";"123.95";"5544244"
"2018-07-27";"122.79";"127.04";"122.08";"125.97";"7581170"
"2018-07-30";"126.76";"128.41";"126.29";"127.83";"5729379"
"2018-07-31";"128.00";"128.55";"126.13";"126.27";"5894443"
"2018-08-01";"125.31";"125.92";"124.75";"125.39";"4661454"
"2018-08-02";"124.44";"124.81";"123.30";"123.76";"4639841"
"2018-08-03";"124.15";"124.25";"123.33";"124.05";"5299678"
"2018-08-06";"124.42";"124.94";"123.54";"124.30";"4455900"
"2018-08-07";"125.54";"125.70";"124.75";"125.18";"4542243"
"2018-08-08";"124.52";"124.79";"123.32";"123.88";"5960933"
"2018-08-09";"123.96";"124.37";"122.26";"122.53";"5218442"
"2018-08-10";"122.17";"123.52";"121.50";"123.34";"6128521"
"2018-08-13";"123.31";"123.68";"122.26";"122.44";"4360736"
"2018-08-14";"122.92";"123.65";"122.00";"122.58";"3622363"
"2018-08-15";"121.70";"121.73";"117.43";"117.94";"9476754"
"2018-08-16";"117.70";"118.31";"117.18";"117.66";"5455376"
"2018-08-17";"118.15";"118.58";"117.09";"117.80";"6113120"
"2018-08-20";"118.00";"118.32";"117.33";"117.75";"5403871"
"2018-08-21";"118.38";"118.93";"117.79";"117.94";"4875948"
"2018-08-22";"118.54";"119.46";"118.42";"118.92";"3637078"
"2018-08-23";"118.39";"118.82";"117.70";"118.10";"3925717"
"2018-08-24";"118.90";"119.54";"118.72";"119.01";"4416205"
"2018-08-27";"119.36";"120.48";"119.17";"120.35";"3902115"
"2018-08-28";"120.60";"121.34";"119.75";"119.86";"4685867"
"2018-08-29";"120.00";"120.83";"119.88";"120.22";"4101917"
"2018-08-30";"120.08";"120.43";"119.55";"119.81";"3353122"
"2018-08-31";"119.40";"119.40";"118.09";"118.46";"5287045"
"2018-09-04";"118.93";"119.63";"118.35";"118.87";"4591017"
"2018-09-05";"118.06";"118.94";"117.26";"118.92";"4619519"
"2018-09-06";"117.89";"118.51";"115.14";"115.23";"8191144"
"2018-09-07";"114.52";"115.35";"113.39";"114.60";"6616455"
"2018-09-10";"115.43";"115.72";"114.38";"114.48";"5871054"
"2018-09-11";"114.34";"115.74";"113.76";"115.02";"5605383"
"2018-09-12";"116.42";"117.49";"115.76";"115.79";"5068077"
"2018-09-13";"116.01";"116.52";"115.08";"116.30";"6298013"
"2018-09-14";"116.43";"117.61";"116.35";"117.38";"4947977"
"2018-09-17";"117.61";"118.68";"117.28";"117.51";"5560209"
"2018-09-18";"118.50";"118.90";"117.98";"118.13";"4966398"
"2018-09-19";"118.33";"120.04";"118.12";"119.51";"4855705"
"2018-09-20";"120.19";"121.32";"119.11";"119.42";"5846786"
"2018-09-21";"119.91";"121.26";"119.41";"121.13";"13703696"
"2018-09-24";"121.91";"122.98";"121.57";"122.62";"6534479"
"2018-09-25";"123.50";"124.24";"122.94";"123.37";"5396625"
