"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"102.00";"103.17";"101.44";"102.99";"7836018"
"2018-03-05";"102.71";"103.97";"102.42";"103.41";"5736731"
"2018-03-06";"104.00";"104.95";"103.51";"104.94";"6216277"
"2018-03-07";"103.72";"104.24";"102.77";"103.59";"6214939"
"2018-03-08";"103.99";"104.59";"103.47";"104.03";"6627019"
"2018-03-09";"104.43";"104.75";"103.64";"104.73";"5618446"
"2018-03-12";"104.72";"105.94";"104.72";"105.17";"6485289"
"2018-03-13";"105.83";"105.83";"103.42";"103.73";"6716860"
"2018-03-14";"104.53";"104.65";"103.47";"103.90";"6235980"
"2018-03-15";"104.00";"104.29";"103.24";"103.24";"5174790"
"2018-03-16";"103.56";"104.27";"102.84";"102.87";"10468086"
"2018-03-19";"102.80";"102.95";"101.00";"101.48";"6528326"
"2018-03-20";"101.54";"102.15";"100.75";"101.35";"8330938"
"2018-03-21";"101.50";"102.94";"101.42";"101.82";"6136634"
"2018-03-22";"101.29";"101.64";"100.41";"100.60";"8912159"
"2018-03-23";"100.85";"101.11";"98.45";"98.54";"7505147"
"2018-03-26";"99.86";"100.78";"99.08";"100.65";"7340078"
"2018-03-27";"100.88";"101.18";"98.89";"99.36";"7193824"
"2018-03-28";"99.50";"100.08";"98.15";"98.54";"9099671"
"2018-03-29";"99.01";"101.28";"98.86";"100.44";"9343653"
"2018-04-02";"100.18";"100.99";"97.78";"98.66";"8204196"
"2018-04-03";"98.80";"99.49";"97.70";"99.42";"8484827"
"2018-04-04";"98.43";"101.15";"97.76";"100.95";"8759636"
"2018-04-05";"101.36";"102.38";"100.98";"102.11";"6613146"
"2018-04-06";"101.63";"102.19";"99.45";"100.35";"7023186"
"2018-04-09";"100.70";"101.51";"99.58";"99.70";"7094282"
"2018-04-10";"100.92";"101.53";"100.32";"101.37";"8324371"
"2018-04-11";"100.78";"101.65";"100.41";"100.80";"6305496"
"2018-04-12";"101.42";"101.51";"99.68";"100.39";"7337911"
"2018-04-13";"101.00";"101.52";"100.16";"100.35";"6324707"
"2018-04-16";"100.69";"101.00";"99.73";"100.24";"10328305"
"2018-04-17";"101.20";"102.59";"100.75";"102.17";"9542835"
"2018-04-18";"102.67";"102.71";"101.20";"101.21";"5822206"
"2018-04-19";"101.00";"101.58";"100.22";"100.89";"6803458"
"2018-04-20";"101.18";"101.40";"99.91";"100.24";"6396907"
"2018-04-23";"100.55";"100.72";"99.53";"100.15";"5889824"
"2018-04-24";"100.58";"100.85";"98.86";"99.46";"6567897"
"2018-04-25";"99.50";"101.49";"99.05";"101.15";"8977948"
"2018-04-26";"101.23";"101.38";"99.74";"99.84";"8038542"
"2018-04-27";"99.78";"99.99";"98.94";"99.23";"8038200"
"2018-04-30";"100.41";"101.37";"100.12";"100.33";"8558974"
"2018-05-01";"100.18";"100.70";"98.93";"100.06";"6716203"
"2018-05-02";"100.17";"100.72";"99.25";"99.62";"9286415"
"2018-05-03";"99.11";"99.25";"97.68";"98.76";"10450976"
"2018-05-04";"98.71";"101.35";"98.58";"101.15";"9980142"
"2018-05-07";"102.35";"102.68";"101.72";"102.48";"10181226"
"2018-05-08";"101.20";"102.64";"100.84";"101.79";"14229806"
"2018-05-09";"102.25";"102.27";"99.30";"99.97";"18345858"
"2018-05-10";"100.43";"102.07";"100.30";"101.68";"8927399"
"2018-05-11";"101.89";"102.21";"101.26";"102.07";"7036101"
"2018-05-14";"102.44";"103.49";"101.98";"102.44";"9891924"
"2018-05-15";"102.44";"103.32";"102.10";"102.92";"5762422"
"2018-05-16";"103.25";"105.04";"103.15";"105.04";"8111859"
"2018-05-17";"105.23";"105.48";"104.09";"104.34";"7320615"
"2018-05-18";"104.34";"104.79";"103.56";"103.93";"5427460"
"2018-05-21";"104.22";"104.68";"103.61";"104.06";"5848722"
"2018-05-22";"104.40";"105.49";"103.99";"104.07";"6971749"
"2018-05-23";"103.20";"103.34";"102.07";"102.89";"8046777"
"2018-05-24";"102.81";"102.86";"101.21";"102.11";"7474200"
"2018-05-25";"102.25";"103.00";"101.97";"102.20";"6982789"
"2018-05-29";"100.55";"101.65";"99.38";"99.69";"11234880"
"2018-05-30";"100.50";"100.55";"99.42";"99.98";"7216555"
"2018-05-31";"99.76";"100.14";"98.81";"99.47";"9620170"
"2018-06-01";"99.69";"100.05";"99.20";"99.36";"6847758"
