"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"10.24";"10.42";"10.14";"10.40";"60492655"
"2018-03-05";"10.31";"10.63";"10.30";"10.58";"44022529"
"2018-03-06";"10.65";"10.68";"10.47";"10.63";"30979146"
"2018-03-07";"10.51";"10.64";"10.43";"10.63";"30047198"
"2018-03-08";"10.65";"10.68";"10.48";"10.61";"26948458"
"2018-03-09";"10.63";"10.73";"10.57";"10.73";"26686384"
"2018-03-12";"10.69";"10.85";"10.68";"10.81";"33801068"
"2018-03-13";"10.84";"10.98";"10.73";"10.78";"44459492"
"2018-03-14";"11.25";"11.44";"11.01";"11.02";"91985519"
"2018-03-15";"11.05";"11.25";"10.95";"11.07";"47645477"
"2018-03-16";"11.12";"11.22";"11.06";"11.15";"80684724"
"2018-03-19";"11.15";"11.17";"10.87";"11.01";"63123533"
"2018-03-20";"11.05";"11.13";"10.97";"10.99";"45613013"
"2018-03-21";"11.00";"11.19";"10.93";"11.10";"38552491"
"2018-03-22";"11.00";"11.06";"10.73";"10.75";"51281015"
"2018-03-23";"10.79";"10.85";"10.51";"10.56";"39950976"
"2018-03-26";"10.74";"10.87";"10.68";"10.83";"52325529"
"2018-03-27";"10.85";"10.92";"10.72";"10.83";"40677834"
"2018-03-28";"10.83";"10.95";"10.73";"10.86";"42263762"
"2018-03-29";"10.93";"11.13";"10.92";"11.08";"39864887"
"2018-04-02";"11.06";"11.09";"10.70";"10.86";"43598244"
"2018-04-03";"11.01";"11.18";"10.90";"11.15";"42524417"
"2018-04-04";"10.87";"11.36";"10.80";"11.33";"44834949"
"2018-04-05";"11.34";"11.38";"11.23";"11.35";"28756806"
"2018-04-06";"11.28";"11.35";"11.07";"11.18";"31921186"
"2018-04-09";"11.25";"11.38";"11.20";"11.25";"36463258"
"2018-04-10";"11.44";"11.55";"11.41";"11.45";"44005215"
"2018-04-11";"11.38";"11.49";"11.30";"11.43";"32979139"
"2018-04-12";"11.50";"11.54";"11.25";"11.31";"47134031"
"2018-04-13";"11.35";"11.39";"11.23";"11.28";"34598979"
"2018-04-16";"11.36";"11.45";"11.27";"11.38";"32821654"
"2018-04-17";"11.43";"11.45";"11.30";"11.38";"30908803"
"2018-04-18";"11.38";"11.48";"11.30";"11.33";"46226088"
"2018-04-19";"11.18";"11.25";"10.85";"10.96";"49154623"
"2018-04-20";"11.01";"11.03";"10.78";"10.82";"44931427"
"2018-04-23";"10.84";"11.04";"10.83";"11.04";"31937184"
"2018-04-24";"11.05";"11.17";"10.93";"10.96";"39625288"
"2018-04-25";"10.96";"11.16";"10.87";"11.11";"40356181"
"2018-04-26";"11.42";"11.53";"11.29";"11.43";"80677243"
"2018-04-27";"11.40";"11.56";"11.38";"11.49";"33380563"
"2018-04-30";"11.53";"11.73";"11.22";"11.24";"66090930"
"2018-05-01";"11.25";"11.35";"11.10";"11.26";"61430561"
"2018-05-02";"11.26";"11.27";"11.12";"11.21";"41899667"
"2018-05-03";"11.17";"11.21";"10.97";"11.20";"38907507"
"2018-05-04";"11.16";"11.41";"11.09";"11.36";"32043668"
"2018-05-07";"11.36";"11.44";"11.31";"11.34";"27510333"
"2018-05-08";"11.32";"11.37";"11.24";"11.27";"25726326"
"2018-05-09";"11.21";"11.28";"11.02";"11.06";"43732458"
"2018-05-10";"11.04";"11.25";"11.02";"11.21";"32025765"
"2018-05-11";"11.22";"11.25";"11.16";"11.19";"19837785"
