"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"116.40";"118.48";"116.23";"117.48";"8970333"
"2018-03-05";"117.98";"121.89";"117.48";"119.97";"10510819"
"2018-03-06";"121.47";"122.05";"120.72";"121.80";"6984023"
"2018-03-07";"120.47";"121.35";"117.98";"120.72";"9975877"
"2018-03-08";"120.64";"121.80";"119.89";"120.81";"5960983"
"2018-03-09";"121.64";"124.38";"120.72";"124.30";"7711178"
"2018-03-12";"124.97";"127.55";"124.47";"125.63";"8440706"
"2018-03-13";"122.22";"122.64";"119.31";"120.06";"14269130"
"2018-03-14";"120.31";"121.39";"118.44";"118.73";"6859070"
"2018-03-15";"119.06";"121.06";"118.64";"119.48";"5695844"
"2018-03-16";"119.31";"119.97";"117.94";"119.06";"13742156"
"2018-03-19";"118.64";"118.81";"116.48";"117.06";"7955178"
"2018-03-20";"117.31";"117.40";"113.32";"113.48";"10669746"
"2018-03-21";"113.65";"116.15";"112.90";"115.48";"7830108"
"2018-03-22";"114.40";"114.73";"110.82";"111.07";"8561011"
"2018-03-23";"111.49";"111.90";"108.33";"108.74";"10101260"
"2018-03-26";"110.07";"110.15";"105.91";"107.24";"12672590"
"2018-03-27";"107.49";"114.15";"106.66";"111.82";"18626190"
"2018-03-28";"112.49";"116.06";"108.87";"113.82";"16719407"
"2018-03-29";"112.99";"113.65";"111.07";"112.15";"8949943"
"2018-04-02";"111.90";"112.65";"107.83";"109.16";"8664385"
"2018-04-03";"109.16";"109.32";"106.50";"109.24";"7185750"
"2018-04-04";"106.66";"110.66";"106.41";"110.49";"6871806"
"2018-04-05";"110.57";"112.82";"109.53";"111.74";"6433477"
"2018-04-06";"110.82";"112.07";"107.58";"108.66";"7628133"
"2018-04-09";"108.99";"109.49";"106.66";"106.75";"8213081"
"2018-04-10";"108.24";"109.32";"107.74";"108.58";"6929916"
"2018-04-11";"107.41";"108.82";"106.91";"107.91";"6036123"
"2018-04-12";"108.41";"110.20";"107.91";"109.66";"7648044"
"2018-04-13";"111.57";"113.82";"111.16";"112.24";"8554013"
"2018-04-16";"112.32";"112.99";"110.07";"110.91";"7004738"
"2018-04-17";"111.32";"115.40";"111.16";"114.73";"8669427"
"2018-04-18";"115.48";"115.81";"113.32";"113.65";"5166906"
"2018-04-19";"113.73";"116.98";"113.40";"116.40";"10550775"
"2018-04-20";"124.30";"125.22";"119.31";"120.97";"22678628"
"2018-04-23";"122.72";"122.97";"119.72";"120.81";"8812724"
"2018-04-24";"121.97";"122.89";"120.97";"122.14";"8926600"
"2018-04-25";"122.47";"122.55";"115.73";"116.90";"13372935"
"2018-04-26";"117.40";"120.60";"116.98";"119.64";"7795475"
"2018-04-27";"118.31";"120.47";"118.06";"119.64";"5868764"
"2018-04-30";"119.56";"119.72";"117.06";"117.06";"5833520"
"2018-05-01";"117.15";"117.23";"115.02";"116.90";"6174622"
"2018-05-02";"117.31";"119.60";"117.15";"117.98";"6211347"
"2018-05-03";"118.06";"118.06";"115.23";"115.90";"7240656"
"2018-05-04";"115.40";"117.56";"114.57";"117.31";"5037422"
"2018-05-07";"117.23";"117.98";"116.48";"117.06";"3950811"
"2018-05-08";"117.98";"120.56";"117.23";"118.73";"7131995"
"2018-05-09";"119.39";"122.14";"118.98";"121.64";"6113944"
"2018-05-10";"122.80";"122.80";"120.64";"122.22";"4505192"
"2018-05-11";"122.64";"122.89";"120.81";"121.47";"3438840"
"2018-05-14";"122.30";"123.14";"121.80";"122.39";"4932121"
"2018-05-15";"122.30";"122.47";"121.18";"122.39";"4238235"
"2018-05-16";"122.39";"125.63";"122.22";"125.05";"6565388"
