"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"52.90";"54.34";"52.51";"54.21";"50162900"
"2018-03-05";"53.91";"55.06";"53.61";"54.74";"28647380"
"2018-03-06";"55.11";"55.28";"54.73";"55.05";"23381360"
"2018-03-07";"54.64";"55.81";"54.50";"55.75";"30748580"
"2018-03-08";"55.86";"56.57";"55.86";"56.47";"33862660"
"2018-03-09";"56.98";"58.05";"56.71";"58.04";"42661740"
"2018-03-12";"58.25";"58.91";"57.96";"58.30";"44306080"
"2018-03-13";"58.59";"58.90";"56.73";"57.00";"43139980"
"2018-03-14";"57.29";"57.99";"57.12";"57.44";"41869640"
"2018-03-15";"57.48";"58.13";"56.78";"57.53";"33381880"
"2018-03-16";"57.77";"57.84";"56.57";"56.72";"58655180"
"2018-03-19";"55.89";"55.97";"54.45";"55.00";"63655920"
"2018-03-20";"54.92";"55.28";"54.12";"54.79";"54597140"
"2018-03-21";"54.63";"55.44";"54.36";"54.70";"44897300"
"2018-03-22";"54.00";"54.20";"52.48";"52.66";"69192160"
"2018-03-23";"52.57";"53.34";"51.24";"51.33";"49877420"
"2018-03-26";"52.53";"52.96";"50.53";"52.70";"65983020"
"2018-03-27";"53.20";"53.23";"49.88";"50.35";"60816180"
"2018-03-28";"50.10";"51.25";"49.20";"50.26";"77698860"
"2018-03-29";"50.56";"52.40";"50.20";"51.86";"69337520"
"2018-04-02";"51.38";"51.98";"49.71";"50.63";"65067740"
"2018-04-03";"50.81";"51.25";"49.86";"50.93";"51322920"
"2018-04-04";"49.91";"51.64";"49.83";"51.49";"50723960"
"2018-04-05";"52.32";"52.34";"51.20";"51.63";"35835220"
"2018-04-06";"51.16";"51.80";"50.31";"50.50";"40133660"
"2018-04-09";"51.00";"52.23";"50.96";"51.00";"33220240"
"2018-04-10";"51.51";"52.06";"50.77";"51.83";"36733560"
"2018-04-11";"51.60";"51.79";"50.96";"51.25";"34060300"
"2018-04-12";"51.57";"52.23";"51.30";"51.86";"32895880"
"2018-04-13";"52.34";"52.65";"51.51";"51.80";"25409220"
"2018-04-16";"52.28";"52.57";"51.70";"52.31";"29776440"
"2018-04-17";"53.06";"54.25";"52.85";"53.97";"52583940"
"2018-04-18";"53.95";"54.10";"53.53";"53.77";"31125960"
"2018-04-19";"53.45";"54.88";"53.45";"54.47";"39884940"
"2018-04-20";"54.21";"54.74";"53.61";"53.87";"42433840"
"2018-04-23";"54.15";"54.40";"53.33";"53.69";"69589920"
"2018-04-24";"52.96";"53.22";"50.64";"51.13";"128220760"
"2018-04-25";"51.49";"51.80";"50.85";"51.15";"57860940"
"2018-04-26";"51.66";"52.60";"51.02";"52.17";"50926640"
"2018-04-27";"52.28";"52.58";"51.38";"51.57";"40745260"
"2018-04-30";"51.72";"51.92";"50.92";"50.93";"34492640"
"2018-05-01";"50.82";"52.09";"50.53";"52.04";"35325120"
"2018-05-02";"51.70";"52.20";"51.16";"51.30";"34697440"
"2018-05-03";"51.27";"51.53";"50.39";"51.32";"39281320"
"2018-05-04";"50.98";"52.59";"50.90";"52.55";"36892000"
"2018-05-07";"52.69";"53.25";"52.51";"52.97";"34399420"
"2018-05-08";"53.23";"53.26";"52.58";"52.93";"25997480"
"2018-05-09";"53.21";"54.70";"53.11";"54.45";"47159580"
"2018-05-10";"54.75";"55.47";"54.69";"55.27";"36413520"
"2018-05-11";"55.02";"55.45";"54.86";"55.17";"30504360"
"2018-05-14";"55.28";"55.91";"55.24";"55.33";"39337860"
"2018-05-15";"54.85";"54.96";"53.94";"54.24";"35738520"
"2018-05-16";"54.25";"54.72";"54.08";"54.20";"25628120"
"2018-05-17";"54.07";"54.55";"53.82";"54.06";"25738140"
"2018-05-18";"53.30";"53.69";"53.23";"53.48";"35482980"
"2018-05-21";"53.95";"54.67";"53.90";"54.20";"25179980"
"2018-05-22";"54.49";"54.59";"53.61";"53.77";"22225980"
"2018-05-23";"53.50";"54.40";"53.35";"54.30";"23739960"
"2018-05-24";"54.35";"54.36";"53.62";"54.27";"20603880"
"2018-05-25";"54.33";"54.48";"54.13";"54.20";"22223220"
"2018-05-29";"53.80";"54.07";"53.15";"53.40";"36076100"
"2018-05-30";"53.67";"53.95";"53.33";"53.87";"28685640"
"2018-05-31";"54.10";"55.50";"53.90";"55.00";"79367240"
"2018-06-01";"55.64";"56.91";"55.60";"56.75";"63202000"
"2018-06-04";"56.93";"57.89";"56.85";"57.65";"44754020"
"2018-06-05";"57.73";"58.05";"57.37";"57.55";"32964440"
"2018-06-06";"57.64";"57.74";"56.82";"57.35";"34934380"
"2018-06-07";"57.23";"57.29";"56.31";"56.72";"36107760"
"2018-06-08";"56.56";"56.94";"56.16";"56.64";"27284520"
"2018-06-11";"56.65";"57.39";"56.57";"57.05";"24795400"
"2018-06-12";"57.05";"57.44";"57.05";"57.41";"26092240"
"2018-06-13";"57.61";"57.78";"57.17";"57.21";"34301480"
"2018-06-14";"57.61";"58.30";"57.53";"58.01";"35422400"
"2018-06-15";"58.00";"58.20";"57.68";"57.96";"44437820"
"2018-06-18";"57.63";"59.21";"57.55";"59.18";"33038260"
"2018-06-19";"58.51";"59.14";"58.08";"58.93";"47182540"
"2018-06-20";"59.17";"60.07";"59.10";"59.20";"51685200"
"2018-06-21";"59.28";"59.52";"58.17";"58.47";"44965540"
"2018-06-22";"58.57";"58.75";"57.98";"58.46";"34220060"
"2018-06-25";"57.75";"57.80";"56.00";"56.96";"57526620"
"2018-06-26";"57.21";"57.34";"56.45";"56.63";"34688280"
"2018-06-27";"56.80";"57.31";"55.84";"55.85";"34537320"
"2018-06-28";"55.62";"56.70";"55.30";"56.34";"29458000"
"2018-06-29";"56.62";"57.07";"56.35";"56.46";"31562320"
"2018-07-02";"55.77";"57.15";"55.33";"57.11";"23220800"
"2018-07-03";"57.47";"57.50";"55.72";"55.81";"16447880"
"2018-07-05";"56.23";"57.21";"56.16";"57.06";"28594200"
"2018-07-06";"57.09";"57.81";"56.86";"57.75";"21819340"
"2018-07-09";"58.00";"58.40";"57.86";"58.36";"21584020"
"2018-07-10";"58.50";"58.68";"58.13";"58.36";"21334080"
"2018-07-11";"57.78";"59.02";"57.77";"58.57";"33252660"
"2018-07-12";"58.74";"60.10";"58.66";"60.06";"44148620"
"2018-07-13";"60.14";"60.52";"59.76";"60.22";"32637140"
"2018-07-16";"60.19";"60.44";"59.67";"59.83";"26784740"
"2018-07-17";"59.14";"60.94";"59.10";"60.65";"40162660"
"2018-07-18";"60.43";"61.08";"60.23";"60.65";"38947940"
"2018-07-19";"60.33";"60.82";"59.89";"59.96";"38337840"
"2018-07-20";"59.96";"60.54";"59.83";"59.89";"37967520"
"2018-07-23";"59.78";"60.76";"59.60";"60.55";"65446080"
"2018-07-24";"63.55";"63.75";"62.21";"62.91";"107600640"
"2018-07-25";"62.63";"63.91";"62.45";"63.80";"51508740"
"2018-07-26";"63.36";"64.37";"63.15";"64.28";"54686040"
"2018-07-27";"64.46";"64.57";"62.22";"62.64";"48361800"
"2018-07-30";"62.25";"62.64";"61.21";"61.50";"43896740"
"2018-07-31";"61.59";"62.06";"60.81";"61.36";"39382220"
"2018-08-01";"61.96";"62.30";"61.25";"61.65";"36994800"
"2018-08-02";"60.93";"62.22";"60.90";"62.06";"34693600"
"2018-08-03";"62.26";"62.33";"61.47";"61.91";"21264880"
"2018-08-06";"62.08";"62.12";"61.53";"61.88";"22118320"
"2018-08-07";"62.60";"63.30";"62.59";"62.79";"42505120"
"2018-08-08";"62.84";"63.59";"62.61";"63.07";"34373280"
"2018-08-09";"63.14";"63.60";"63.01";"63.22";"27326360"
"2018-08-10";"62.96";"63.06";"62.36";"62.63";"26687740"
"2018-08-13";"62.56";"63.30";"62.35";"62.43";"27617640"
"2018-08-14";"62.63";"63.03";"61.98";"62.91";"28079820"
"2018-08-15";"62.21";"62.60";"61.31";"61.61";"37038060"
"2018-08-16";"62.10";"62.18";"60.98";"61.20";"32175980"
"2018-08-17";"61.10";"61.35";"60.20";"60.79";"33092580"
"2018-08-20";"61.03";"61.30";"60.44";"61.10";"22223460"
"2018-08-21";"61.15";"61.64";"60.75";"60.87";"23081860"
"2018-08-22";"60.71";"61.33";"60.66";"61.09";"22296640"
"2018-08-23";"60.99";"61.76";"60.97";"61.06";"24666940"
"2018-08-24";"61.30";"61.87";"61.07";"61.84";"24453060"
"2018-08-27";"62.21";"62.89";"62.03";"62.81";"28579840"
"2018-08-28";"62.80";"62.83";"62.15";"62.29";"27330320"
"2018-08-29";"62.75";"63.36";"62.64";"63.23";"36932300"
"2018-08-30";"63.17";"63.47";"62.36";"62.72";"30104380"
"2018-08-31";"62.61";"62.63";"61.29";"61.59";"42308480"
"2018-09-04";"61.13";"61.39";"60.33";"60.57";"41457380"
"2018-09-05";"60.46";"60.74";"58.77";"59.96";"53987880"
"2018-09-06";"59.93";"59.95";"58.18";"59.20";"46854440"
"2018-09-07";"58.60";"59.43";"58.46";"58.88";"32663800"
"2018-09-10";"59.21";"59.33";"58.53";"58.75";"27678760"
"2018-09-11";"58.56";"59.55";"58.30";"59.50";"29253760"
"2018-09-12";"59.10";"59.53";"58.31";"58.58";"35716660"
"2018-09-13";"58.99";"59.39";"58.46";"59.11";"40068360"
