"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"152.79";"154.76";"151.88";"154.49";"3261298"
"2018-03-05";"154.12";"157.49";"153.75";"156.95";"3670775"
"2018-03-06";"157.28";"157.89";"155.16";"155.72";"3685844"
"2018-03-07";"155.00";"158.83";"154.73";"158.32";"4607778"
"2018-03-08";"159.00";"159.57";"155.07";"156.21";"6455720"
"2018-03-09";"157.47";"159.58";"157.30";"159.31";"5022387"
"2018-03-12";"159.64";"161.02";"158.87";"160.26";"5064015"
"2018-03-13";"160.09";"162.11";"158.81";"159.32";"4185644"
"2018-03-14";"160.17";"160.68";"157.74";"158.12";"3632003"
"2018-03-15";"158.71";"161.25";"158.52";"159.61";"3870785"
"2018-03-16";"160.06";"161.98";"159.64";"160.26";"9262676"
"2018-03-19";"159.71";"159.89";"156.45";"157.35";"5482057"
"2018-03-20";"157.52";"157.93";"155.29";"156.20";"4336938"
"2018-03-21";"156.57";"158.20";"155.92";"156.69";"3482285"
"2018-03-22";"155.00";"155.25";"152.00";"152.09";"4746799"
"2018-03-23";"152.25";"152.58";"148.54";"148.89";"4440993"
"2018-03-26";"151.21";"153.66";"150.28";"153.37";"4104105"
"2018-03-27";"153.95";"154.87";"151.16";"151.91";"3883940"
"2018-03-28";"152.07";"153.86";"151.89";"152.52";"3665026"
"2018-03-29";"153.07";"153.89";"151.08";"153.43";"3419981"
"2018-04-02";"153.34";"153.38";"148.43";"150.07";"5150850"
"2018-04-03";"150.80";"151.00";"148.30";"149.85";"4135806"
"2018-04-04";"147.89";"154.47";"147.45";"154.12";"4805401"
"2018-04-05";"154.44";"154.92";"153.34";"154.03";"3185788"
"2018-04-06";"153.46";"153.95";"149.54";"150.57";"3672929"
"2018-04-09";"151.80";"154.66";"151.74";"152.69";"4413293"
"2018-04-10";"155.03";"156.61";"154.75";"155.39";"3956152"
"2018-04-11";"154.37";"155.78";"153.88";"155.36";"3303979"
"2018-04-12";"156.75";"158.98";"156.67";"158.07";"5639647"
"2018-04-13";"158.67";"159.22";"155.91";"156.71";"4057258"
"2018-04-16";"157.99";"159.14";"157.67";"157.89";"4182207"
"2018-04-17";"158.82";"162.00";"158.51";"160.91";"10203436"
"2018-04-18";"152.14";"152.63";"148.26";"148.79";"20381895"
"2018-04-19";"149.19";"149.21";"146.62";"147.70";"8088998"
"2018-04-20";"147.90";"147.97";"144.51";"144.90";"8265653"
"2018-04-23";"145.03";"145.96";"144.33";"145.86";"5315625"
"2018-04-24";"146.51";"147.30";"144.53";"145.56";"4916581"
"2018-04-25";"145.79";"146.40";"144.11";"145.94";"7326515"
"2018-04-26";"146.60";"147.36";"146.20";"146.72";"4265942"
"2018-04-27";"146.84";"147.25";"145.66";"146.48";"3205682"
"2018-04-30";"146.86";"147.38";"144.96";"144.96";"4415542"
"2018-05-01";"144.65";"145.02";"143.47";"145.00";"4433593"
"2018-05-02";"144.46";"144.82";"142.07";"142.45";"5195046"
"2018-05-03";"142.13";"142.23";"139.90";"141.99";"5018792"
"2018-05-04";"141.10";"144.35";"140.28";"143.91";"4402970"
"2018-05-07";"144.00";"144.32";"142.64";"143.22";"3657020"
"2018-05-08";"143.00";"143.51";"142.06";"143.00";"5369211"
"2018-05-09";"141.90";"143.02";"141.28";"142.61";"4196080"
"2018-05-10";"143.15";"144.33";"143.01";"144.24";"3726722"
"2018-05-11";"144.11";"144.85";"143.58";"144.14";"3073173"
"2018-05-14";"144.47";"145.12";"144.14";"144.30";"3216286"
"2018-05-15";"143.50";"143.99";"142.92";"143.74";"4089417"
"2018-05-16";"143.70";"145.03";"143.27";"144.63";"3169009"
"2018-05-17";"144.50";"145.19";"143.77";"144.50";"3147745"
"2018-05-18";"144.47";"144.94";"143.99";"144.08";"2682393"
"2018-05-21";"144.95";"146.04";"144.68";"145.49";"2894808"
"2018-05-22";"145.52";"146.20";"145.00";"145.09";"2284088"
"2018-05-23";"144.35";"144.70";"143.48";"144.67";"3459848"
"2018-05-24";"144.39";"144.48";"142.95";"144.07";"3398802"
"2018-05-25";"143.90";"144.57";"143.46";"143.64";"4914296"
"2018-05-29";"142.53";"142.89";"140.21";"141.22";"4537653"
"2018-05-30";"141.90";"143.10";"141.82";"142.62";"5118765"
"2018-05-31";"142.81";"142.81";"141.05";"141.31";"6830261"
"2018-06-01";"142.43";"142.84";"141.62";"141.95";"3857552"
"2018-06-04";"142.30";"143.17";"142.18";"143.04";"3035457"
"2018-06-05";"143.05";"144.08";"143.04";"143.70";"2826118"
"2018-06-06";"144.34";"144.72";"143.54";"144.71";"3220297"
"2018-06-07";"145.00";"146.70";"144.93";"145.36";"4305137"
"2018-06-08";"145.00";"146.43";"144.37";"146.14";"5210968"
"2018-06-11";"146.62";"147.41";"146.14";"146.58";"3260091"
"2018-06-12";"147.10";"147.52";"146.62";"146.87";"2640536"
"2018-06-13";"146.79";"147.47";"146.20";"146.35";"2968281"
"2018-06-14";"146.65";"146.98";"145.09";"145.20";"3326445"
"2018-06-15";"144.90";"145.47";"143.70";"145.39";"9115580"
"2018-06-18";"144.18";"144.52";"143.14";"144.48";"4287173"
"2018-06-19";"143.12";"144.22";"142.95";"143.90";"3487130"
"2018-06-20";"144.22";"144.52";"142.41";"142.63";"3329969"
"2018-06-21";"142.59";"143.14";"140.83";"141.25";"3887826"
"2018-06-22";"141.64";"141.81";"140.78";"141.28";"6013828"
"2018-06-25";"140.40";"140.40";"138.28";"138.79";"8938080"
"2018-06-26";"139.36";"139.85";"138.33";"139.08";"4139556"
"2018-06-27";"139.11";"139.78";"137.45";"137.48";"4101833"
"2018-06-28";"138.10";"140.54";"137.95";"140.04";"4523794"
"2018-06-29";"140.32";"141.36";"139.61";"139.70";"3753885"
"2018-07-02";"138.28";"140.22";"138.20";"139.86";"3405681"
"2018-07-03";"140.65";"140.94";"139.37";"139.57";"1963272"
"2018-07-05";"140.48";"141.43";"139.93";"141.43";"3744865"
"2018-07-06";"141.53";"142.94";"141.17";"142.48";"2910506"
"2018-07-09";"142.59";"144.72";"142.47";"144.39";"3904754"
"2018-07-10";"144.51";"145.59";"144.26";"144.71";"3777293"
"2018-07-11";"144.00";"146.19";"144.00";"144.94";"3527665"
"2018-07-12";"145.85";"146.83";"145.74";"146.45";"3119540"
"2018-07-13";"146.45";"146.98";"145.80";"145.90";"3067743"
"2018-07-16";"145.67";"145.79";"144.21";"145.46";"3468919"
"2018-07-17";"144.75";"145.00";"143.34";"143.49";"5096851"
"2018-07-18";"143.51";"144.80";"142.74";"144.52";"6935688"
"2018-07-19";"147.85";"150.54";"147.25";"149.24";"14656704"
"2018-07-20";"148.58";"148.86";"146.26";"146.35";"6416182"
"2018-07-23";"146.35";"146.70";"145.02";"145.70";"3897896"
"2018-07-24";"146.70";"147.04";"145.92";"146.38";"3891634"
"2018-07-25";"146.01";"146.65";"145.50";"146.62";"3623649"
"2018-07-26";"147.43";"149.27";"146.63";"146.71";"4778360"
"2018-07-27";"146.89";"147.14";"144.66";"145.15";"3749769"
"2018-07-30";"144.80";"146.24";"144.69";"145.49";"3608290"
"2018-07-31";"145.74";"145.80";"144.16";"144.93";"5474513"
"2018-08-01";"144.76";"145.19";"143.34";"143.50";"3388487"
"2018-08-02";"142.86";"143.36";"142.33";"142.96";"3841562"
"2018-08-03";"143.24";"147.92";"143.00";"147.70";"8053670"
"2018-08-06";"146.95";"147.20";"145.57";"146.03";"3913846"
"2018-08-07";"146.65";"147.64";"146.35";"147.01";"3508924"
"2018-08-08";"147.33";"147.43";"146.24";"146.89";"3581789"
"2018-08-09";"145.53";"145.94";"144.73";"144.77";"3093704"
"2018-08-10";"144.50";"145.07";"143.88";"144.48";"3003308"
"2018-08-13";"144.15";"144.30";"142.53";"142.71";"2858952"
"2018-08-14";"143.00";"143.82";"142.93";"143.36";"2859867"
"2018-08-15";"142.55";"144.00";"142.00";"143.91";"4241598"
"2018-08-16";"144.37";"145.68";"144.37";"145.34";"4941078"
"2018-08-17";"144.79";"146.39";"144.69";"146.06";"2678935"
"2018-08-20";"146.37";"147.16";"146.15";"146.51";"2499675"
"2018-08-21";"147.00";"147.12";"145.89";"145.97";"3106981"
"2018-08-22";"146.01";"146.16";"145.19";"145.24";"2388974"
"2018-08-23";"145.04";"145.52";"144.75";"145.37";"2220616"
"2018-08-24";"145.46";"146.09";"144.87";"146.04";"2776915"
"2018-08-27";"146.94";"147.62";"146.52";"146.69";"3491600"
"2018-08-28";"146.95";"146.99";"146.19";"146.59";"2455442"
"2018-08-29";"146.87";"147.93";"146.60";"147.54";"3153955"
"2018-08-30";"147.03";"147.30";"145.25";"145.93";"3340486"
"2018-08-31";"145.72";"146.78";"145.54";"146.48";"3488484"
"2018-09-04";"145.98";"146.19";"144.81";"145.68";"3326353"
"2018-09-05";"145.19";"146.75";"145.05";"146.66";"3126645"
"2018-09-06";"146.88";"147.66";"145.54";"146.39";"4248937"
"2018-09-07";"145.94";"146.50";"145.12";"145.45";"4693427"
