"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"47.20";"49.05";"46.96";"48.98";"33310592"
"2018-03-05";"48.57";"49.80";"48.04";"49.75";"30826521"
"2018-03-06";"50.16";"51.33";"50.15";"50.71";"39132300"
"2018-03-07";"50.18";"51.49";"50.10";"51.32";"31801943"
"2018-03-08";"51.79";"52.08";"50.47";"50.74";"29481157"
"2018-03-09";"51.27";"52.30";"51.00";"52.19";"32727914"
"2018-03-12";"51.86";"51.95";"50.50";"51.52";"32044382"
"2018-03-13";"52.52";"53.78";"51.39";"51.78";"45573922"
"2018-03-14";"52.06";"52.18";"51.31";"51.86";"24993502"
"2018-03-15";"52.23";"52.30";"50.88";"50.88";"25631228"
"2018-03-16";"51.17";"51.70";"50.99";"51.17";"42559810"
"2018-03-19";"50.74";"51.23";"49.93";"50.83";"31115248"
"2018-03-20";"50.88";"51.81";"50.85";"51.55";"21964951"
"2018-03-21";"51.55";"52.17";"51.17";"51.56";"23239476"
"2018-03-22";"50.74";"51.96";"50.60";"50.83";"30915970"
"2018-03-23";"50.59";"50.99";"49.36";"49.36";"37683871"
"2018-03-26";"50.74";"52.49";"50.32";"52.48";"39306227"
"2018-03-27";"53.01";"53.25";"50.78";"51.19";"38777042"
"2018-03-28";"50.50";"50.70";"49.01";"49.60";"37970859"
"2018-03-29";"49.98";"52.08";"49.87";"52.08";"45265805"
"2018-04-02";"51.69";"52.04";"47.29";"48.92";"67187824"
"2018-04-03";"49.00";"49.96";"48.41";"49.75";"39432360"
"2018-04-04";"48.10";"50.16";"48.01";"49.99";"30370046"
"2018-04-05";"50.01";"50.72";"49.97";"50.38";"25115351"
"2018-04-06";"49.79";"50.40";"48.50";"48.79";"28215164"
"2018-04-09";"49.16";"51.11";"49.16";"49.55";"31436989"
"2018-04-10";"51.12";"51.49";"50.34";"51.27";"26417762"
"2018-04-11";"50.99";"51.73";"50.82";"51.10";"17568432"
"2018-04-12";"51.49";"53.27";"51.45";"52.72";"29781357"
"2018-04-13";"53.06";"53.21";"51.60";"51.86";"20884874"
"2018-04-16";"52.29";"52.53";"51.79";"52.40";"18855458"
"2018-04-17";"52.91";"53.70";"52.90";"53.54";"21228696"
"2018-04-18";"53.52";"54.36";"53.34";"53.61";"22164679"
"2018-04-19";"52.95";"52.96";"51.61";"52.22";"25422376"
"2018-04-20";"52.17";"52.28";"50.88";"51.53";"26910093"
"2018-04-23";"51.69";"51.89";"50.85";"51.10";"21706733"
"2018-04-24";"51.87";"53.64";"51.14";"51.45";"42494668"
"2018-04-25";"51.86";"52.10";"50.60";"51.38";"25752805"
"2018-04-26";"52.26";"53.27";"52.07";"53.05";"39575029"
"2018-04-27";"55.44";"55.79";"52.23";"52.73";"69888148"
"2018-04-30";"52.56";"53.37";"51.21";"51.62";"36417370"
"2018-05-01";"51.64";"53.42";"51.44";"53.33";"27600758"
"2018-05-02";"53.09";"53.20";"52.15";"52.31";"25778328"
"2018-05-03";"51.89";"52.56";"51.21";"52.28";"28560967"
"2018-05-04";"51.62";"52.84";"51.00";"52.78";"25642474"
"2018-05-07";"52.86";"53.58";"52.83";"53.33";"20285746"
"2018-05-08";"53.29";"53.63";"52.80";"53.63";"21026793"
"2018-05-09";"53.76";"54.37";"53.19";"54.34";"19827532"
"2018-05-10";"54.55";"55.00";"54.10";"54.98";"18715910"
"2018-05-11";"54.62";"55.19";"54.43";"54.67";"15405004"
"2018-05-14";"54.77";"55.24";"54.74";"54.90";"21878199"
"2018-05-15";"54.58";"54.75";"53.56";"53.92";"21712649"
"2018-05-16";"54.17";"54.70";"53.96";"54.64";"16260459"
"2018-05-17";"54.55";"55.44";"54.42";"54.81";"16872598"
"2018-05-18";"54.53";"54.54";"53.47";"53.50";"23679944"
"2018-05-21";"54.36";"55.22";"53.86";"54.32";"25367377"
"2018-05-22";"54.73";"55.05";"54.05";"54.45";"19009588"
"2018-05-23";"54.00";"55.23";"53.84";"55.21";"20555425"
"2018-05-24";"55.18";"55.30";"54.13";"54.75";"19667095"
"2018-05-25";"54.80";"55.50";"54.54";"55.44";"18549989"
"2018-05-29";"55.12";"55.81";"54.81";"55.32";"24253509"
"2018-05-30";"55.89";"56.20";"55.62";"55.68";"24711519"
"2018-05-31";"55.67";"55.86";"55.06";"55.20";"30962105"
"2018-06-01";"55.84";"57.10";"55.80";"57.08";"31183166"
"2018-06-04";"57.01";"57.60";"56.78";"56.83";"22538053"
"2018-06-05";"56.90";"57.12";"56.22";"56.53";"21687019"
"2018-06-06";"56.53";"57.06";"56.08";"57.03";"22955355"
"2018-06-07";"56.92";"57.00";"55.62";"55.88";"27596110"
"2018-06-08";"55.56";"55.70";"54.66";"55.05";"30822854"
"2018-06-11";"54.80";"55.09";"54.26";"54.52";"25752361"
"2018-06-12";"54.87";"55.03";"54.22";"54.82";"23294943"
"2018-06-13";"54.98";"55.70";"54.91";"55.03";"22631436"
"2018-06-14";"55.45";"55.86";"55.18";"55.54";"23419829"
"2018-06-15";"55.17";"55.38";"54.58";"55.11";"39194688"
"2018-06-18";"54.30";"54.30";"52.34";"53.22";"40764444"
"2018-06-19";"52.14";"52.95";"51.88";"52.93";"31780850"
"2018-06-20";"53.19";"53.75";"52.69";"53.46";"21403035"
"2018-06-21";"54.38";"54.53";"51.94";"52.19";"44435555"
"2018-06-22";"52.62";"53.09";"52.30";"52.50";"34682074"
"2018-06-25";"51.17";"51.75";"49.91";"50.71";"45356466"
"2018-06-26";"49.95";"50.41";"49.36";"49.67";"37543003"
"2018-06-27";"49.34";"50.06";"48.75";"48.76";"33338795"
"2018-06-28";"48.58";"49.49";"48.50";"49.25";"29055690"
"2018-06-29";"49.53";"50.11";"49.50";"49.71";"28906523"
"2018-07-02";"49.04";"50.27";"48.83";"50.20";"23755548"
"2018-07-03";"50.58";"50.86";"49.43";"49.47";"16327904"
"2018-07-05";"49.98";"50.96";"49.75";"50.75";"26163528"
"2018-07-06";"50.77";"51.50";"50.40";"51.37";"19968048"
"2018-07-09";"51.64";"51.89";"51.00";"51.86";"21361609"
"2018-07-10";"52.10";"52.26";"51.84";"52.16";"17362901"
"2018-07-11";"51.69";"51.87";"51.19";"51.20";"18665554"
"2018-07-12";"52.05";"52.48";"51.73";"52.35";"20292712"
