"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"126.91";"129.11";"126.91";"128.82";"6910531"
"2018-03-05";"128.63";"130.30";"128.18";"129.79";"5799909"
"2018-03-06";"130.00";"130.20";"127.92";"128.22";"5546535"
"2018-03-07";"127.48";"129.33";"127.27";"129.04";"6391861"
"2018-03-08";"129.33";"132.30";"129.33";"132.06";"6423463"
"2018-03-09";"132.51";"133.82";"131.56";"133.80";"7557853"
"2018-03-12";"133.80";"134.23";"132.32";"132.63";"4942246"
"2018-03-13";"133.80";"135.39";"133.45";"134.35";"9152358"
"2018-03-14";"135.24";"135.70";"131.90";"132.32";"6770721"
"2018-03-15";"132.55";"134.24";"132.47";"133.06";"6147288"
"2018-03-16";"133.16";"134.40";"132.10";"133.68";"14233581"
"2018-03-19";"133.35";"133.47";"129.36";"130.24";"6017109"
"2018-03-20";"130.78";"131.78";"129.38";"131.21";"6214340"
"2018-03-21";"131.40";"132.78";"130.66";"131.19";"5158845"
"2018-03-22";"130.47";"130.68";"127.10";"127.38";"7560278"
"2018-03-23";"127.63";"127.87";"124.90";"125.10";"8452697"
"2018-03-26";"126.41";"127.54";"125.21";"127.39";"8358546"
"2018-03-27";"127.11";"129.10";"126.39";"127.21";"7790061"
"2018-03-28";"127.63";"129.02";"127.21";"127.45";"6868633"
"2018-03-29";"127.97";"128.76";"126.82";"128.15";"6119528"
"2018-04-02";"127.82";"127.88";"123.54";"124.56";"8916910"
"2018-04-03";"125.18";"128.49";"124.68";"128.35";"8035055"
"2018-04-04";"126.90";"131.12";"126.39";"130.41";"7717139"
"2018-04-05";"130.41";"131.20";"129.50";"130.71";"5621798"
"2018-04-06";"130.22";"130.64";"126.41";"128.10";"6399385"
"2018-04-09";"128.65";"131.14";"127.68";"129.48";"6395866"
"2018-04-10";"130.25";"130.91";"129.29";"130.25";"6069658"
"2018-04-11";"129.14";"130.35";"129.03";"129.63";"4575498"
"2018-04-12";"130.09";"131.31";"129.86";"130.43";"4526976"
"2018-04-13";"131.09";"131.42";"129.63";"130.62";"4742550"
"2018-04-16";"131.41";"132.88";"131.28";"131.76";"6379663"
"2018-04-17";"132.11";"132.20";"128.81";"130.54";"11008957"
"2018-04-18";"129.69";"129.90";"126.94";"127.72";"9383836"
"2018-04-19";"127.63";"128.27";"126.89";"127.55";"5959665"
"2018-04-20";"128.00";"128.30";"126.17";"126.66";"7744017"
"2018-04-23";"126.88";"127.30";"125.78";"126.83";"7501886"
"2018-04-24";"126.94";"127.46";"125.31";"126.19";"6577541"
"2018-04-25";"125.91";"126.85";"125.28";"126.76";"5859598"
"2018-04-26";"126.62";"129.22";"126.62";"128.01";"8211189"
"2018-04-27";"127.73";"128.79";"127.50";"128.27";"4266967"
"2018-04-30";"128.86";"128.98";"126.49";"126.49";"8219511"
"2018-05-01";"126.32";"126.64";"124.97";"126.01";"5122750"
"2018-05-02";"125.52";"126.18";"123.20";"123.50";"7390861"
"2018-05-03";"123.30";"123.69";"121.28";"123.03";"7283012"
"2018-05-04";"122.60";"124.51";"121.80";"124.19";"6127641"
"2018-05-07";"124.14";"125.24";"123.32";"123.59";"6707919"
"2018-05-08";"122.86";"123.49";"121.69";"122.61";"5952109"
"2018-05-09";"122.99";"124.05";"122.53";"123.51";"6808636"
"2018-05-10";"124.22";"126.05";"124.00";"125.35";"4948020"
"2018-05-11";"125.77";"127.60";"125.76";"127.24";"5716794"
"2018-05-14";"127.35";"127.61";"125.60";"126.06";"6101777"
"2018-05-15";"125.54";"125.83";"124.40";"125.13";"5875738"
"2018-05-16";"125.44";"125.90";"125.00";"125.35";"3819912"
"2018-05-17";"125.49";"125.59";"123.55";"123.85";"6473433"
"2018-05-18";"123.78";"124.44";"123.28";"124.24";"5433973"
"2018-05-21";"124.62";"124.99";"123.32";"123.72";"5558776"
"2018-05-22";"123.80";"124.24";"122.76";"122.91";"7172696"
"2018-05-23";"122.87";"123.97";"122.74";"123.45";"4940933"
"2018-05-24";"123.22";"123.39";"121.55";"122.25";"6923637"
"2018-05-25";"121.56";"122.80";"121.13";"121.47";"4594905"
"2018-05-29";"120.50";"120.80";"118.62";"119.40";"9822057"
"2018-05-30";"120.12";"121.58";"119.54";"120.97";"6423723"
"2018-05-31";"120.92";"121.25";"119.54";"119.62";"10337912"
"2018-06-01";"120.38";"121.32";"119.97";"121.26";"5741111"
"2018-06-04";"121.85";"122.37";"121.02";"121.95";"4853082"
"2018-06-05";"122.05";"122.56";"120.90";"121.48";"5125457"
"2018-06-06";"121.97";"122.79";"121.46";"122.79";"6799643"
"2018-06-07";"123.00";"123.49";"122.27";"123.33";"7414682"
"2018-06-08";"123.36";"124.85";"123.33";"124.06";"6208287"
"2018-06-11";"124.27";"124.34";"122.55";"122.66";"5571509"
"2018-06-12";"123.16";"123.18";"121.95";"122.54";"5227312"
"2018-06-13";"123.15";"124.09";"122.46";"122.63";"5837019"
"2018-06-14";"122.71";"123.15";"122.09";"122.41";"5239395"
"2018-06-15";"122.10";"122.73";"121.24";"122.61";"13174511"
"2018-06-18";"121.61";"121.81";"120.25";"121.32";"6787432"
"2018-06-19";"120.66";"123.17";"120.57";"122.57";"8572431"
"2018-06-20";"122.42";"122.66";"121.66";"122.04";"6277286"
"2018-06-21";"121.83";"122.24";"121.11";"121.45";"4417264"
"2018-06-22";"121.68";"123.38";"121.65";"122.84";"10305408"
"2018-06-25";"122.82";"123.43";"121.51";"122.59";"8170628"
"2018-06-26";"122.49";"122.89";"121.60";"122.35";"5496660"
"2018-06-27";"122.13";"122.97";"121.45";"121.61";"5666141"
"2018-06-28";"121.78";"122.41";"121.07";"122.00";"5297127"
"2018-06-29";"122.24";"123.18";"121.19";"121.34";"7728660"
"2018-07-02";"121.34";"121.73";"120.11";"121.58";"5481426"
"2018-07-03";"121.65";"123.46";"121.26";"122.71";"4248178"
"2018-07-05";"123.60";"125.12";"123.23";"125.00";"7319252"
"2018-07-06";"125.16";"125.92";"124.61";"125.75";"7312443"
"2018-07-09";"126.22";"126.75";"125.60";"126.05";"6706247"
"2018-07-10";"126.37";"127.52";"126.11";"127.38";"5076643"
"2018-07-11";"127.41";"127.44";"126.06";"126.24";"4827515"
"2018-07-12";"127.71";"128.21";"127.17";"127.76";"6199049"
"2018-07-13";"125.32";"127.50";"125.32";"125.93";"8252202"
"2018-07-16";"126.00";"126.10";"124.16";"124.69";"7314548"
"2018-07-17";"128.53";"130.54";"127.56";"129.11";"12858946"
"2018-07-18";"128.81";"129.05";"127.17";"127.80";"7152460"
"2018-07-19";"127.53";"127.70";"125.87";"125.94";"5984645"
"2018-07-20";"125.30";"126.14";"125.12";"125.85";"5862642"
"2018-07-23";"125.75";"126.68";"125.45";"126.63";"4631214"
"2018-07-24";"127.24";"129.62";"127.15";"129.36";"7159186"
"2018-07-25";"129.14";"129.23";"127.65";"128.62";"6539201"
"2018-07-26";"129.90";"131.22";"129.85";"130.28";"7641107"
"2018-07-27";"129.98";"132.27";"129.94";"131.55";"6736324"
"2018-07-30";"131.78";"132.49";"131.25";"132.17";"11013535"
"2018-07-31";"132.28";"132.64";"131.77";"132.52";"7598987"
"2018-08-01";"132.39";"132.96";"132.08";"132.64";"5771276"
"2018-08-02";"132.89";"133.00";"131.09";"131.25";"6563676"
"2018-08-03";"131.18";"132.70";"130.90";"131.95";"6498748"
"2018-08-06";"131.64";"132.53";"131.01";"132.02";"5840255"
"2018-08-07";"131.88";"132.17";"131.30";"131.46";"4664635"
"2018-08-08";"131.49";"131.80";"130.89";"131.17";"3721871"
"2018-08-09";"131.54";"131.72";"130.67";"131.20";"4058262"
"2018-08-10";"131.19";"131.63";"130.26";"130.75";"4324080"
"2018-08-13";"130.72";"130.90";"129.85";"130.22";"3778027"
"2018-08-14";"129.67";"130.47";"129.35";"129.50";"4543502"
"2018-08-15";"129.75";"130.74";"128.93";"130.43";"5377774"
"2018-08-16";"131.02";"132.88";"130.57";"132.48";"7861500"
"2018-08-17";"132.45";"135.00";"132.19";"134.47";"6701306"
"2018-08-20";"134.93";"137.12";"134.00";"136.88";"7935002"
"2018-08-21";"137.00";"137.43";"135.30";"135.35";"5832431"
"2018-08-22";"135.56";"135.68";"134.42";"134.61";"4688719"
"2018-08-23";"134.61";"135.49";"134.10";"135.11";"5057630"
"2018-08-24";"135.11";"136.15";"134.83";"135.95";"4792736"
"2018-08-27";"135.50";"136.05";"134.21";"134.92";"4326036"
"2018-08-28";"134.78";"134.90";"133.89";"134.32";"6037618"
"2018-08-29";"134.32";"134.94";"133.94";"134.86";"4648828"
"2018-08-30";"134.70";"135.60";"134.60";"134.95";"4822540"
"2018-08-31";"134.60";"135.00";"133.97";"134.69";"6139598"
"2018-09-04";"134.69";"134.75";"133.44";"133.72";"4406817"
"2018-09-05";"133.48";"135.94";"133.46";"135.86";"6174920"
"2018-09-06";"135.50";"137.31";"135.18";"136.87";"6562245"
"2018-09-07";"136.78";"137.69";"135.75";"137.32";"6375301"
"2018-09-10";"137.53";"138.47";"137.06";"137.21";"4892191"
"2018-09-11";"137.64";"138.91";"137.22";"138.51";"7857179"
"2018-09-12";"138.90";"139.99";"138.56";"139.36";"6767731"
"2018-09-13";"139.89";"140.48";"139.02";"139.89";"6456237"
"2018-09-14";"140.00";"140.35";"139.10";"139.49";"4534875"
"2018-09-17";"139.33";"140.40";"139.18";"139.96";"5295717"
"2018-09-18";"140.27";"140.84";"139.83";"140.54";"4581245"
"2018-09-19";"140.76";"140.99";"140.05";"140.46";"5050042"
"2018-09-20";"140.82";"142.14";"140.51";"141.98";"5019368"
"2018-09-21";"142.18";"143.13";"141.69";"142.88";"13283563"
"2018-09-24";"142.10";"142.50";"140.23";"140.47";"6708305"
"2018-09-25";"140.53";"140.96";"138.40";"138.64";"7983395"
"2018-09-26";"138.95";"140.00";"137.96";"138.16";"7133479"
"2018-09-27";"138.45";"139.58";"137.57";"138.22";"6450584"
"2018-09-28";"138.10";"138.56";"137.41";"138.17";"6638584"
"2018-10-01";"138.26";"139.85";"138.00";"139.69";"4873283"
"2018-10-02";"139.79";"140.73";"139.65";"140.48";"6439160"
"2018-10-03";"140.54";"141.27";"138.88";"139.03";"5411937"
"2018-10-04";"138.55";"139.53";"137.32";"139.35";"4738856"
"2018-10-05";"139.80";"140.25";"138.56";"139.10";"4309373"
"2018-10-08";"138.90";"139.68";"138.62";"139.39";"5174217"
"2018-10-09";"138.74";"139.62";"137.81";"139.20";"4475406"
"2018-10-10";"139.35";"140.46";"137.73";"137.73";"7265662"
"2018-10-11";"137.91";"138.66";"132.88";"133.84";"11603195"
"2018-10-12";"134.40";"134.41";"132.23";"133.87";"6998363"
"2018-10-15";"133.88";"135.30";"133.51";"133.95";"6398851"
"2018-10-16";"134.75";"137.99";"134.75";"136.56";"9592893"
"2018-10-17";"136.23";"140.00";"136.21";"139.46";"8261220"
"2018-10-18";"139.20";"139.81";"137.71";"139.50";"7584363"
"2018-10-19";"138.34";"140.00";"137.91";"139.05";"5925514"
"2018-10-22";"138.61";"139.26";"138.14";"138.68";"4864602"
"2018-10-23";"137.79";"139.49";"137.45";"138.93";"8282924"
"2018-10-24";"138.52";"140.11";"137.17";"137.47";"8279271"
"2018-10-25";"137.46";"139.09";"135.05";"138.47";"9720735"
"2018-10-26";"137.94";"139.30";"135.33";"136.97";"11371901"
"2018-10-29";"136.99";"139.10";"136.22";"137.55";"6783200"
"2018-10-30";"137.93";"141.10";"137.00";"140.75";"9646253"
"2018-10-31";"141.00";"141.43";"139.61";"139.99";"9969060"
"2018-11-01";"140.07";"141.58";"139.85";"140.82";"6913463"
"2018-11-02";"141.97";"142.00";"139.66";"140.68";"7673355"
"2018-11-05";"141.00";"142.74";"140.76";"142.20";"5601487"
"2018-11-06";"141.53";"142.83";"141.06";"142.57";"5799115"
"2018-11-07";"143.10";"144.87";"142.97";"144.75";"7173596"
"2018-11-08";"144.31";"145.79";"144.00";"145.30";"5497285"
"2018-11-09";"145.04";"145.74";"144.38";"145.34";"5343847"
"2018-11-12";"144.99";"146.24";"144.73";"145.62";"7013727"
"2018-11-13";"146.19";"146.75";"143.42";"144.68";"7432638"
"2018-11-14";"145.02";"145.31";"143.56";"144.25";"6433090"
"2018-11-15";"143.41";"144.51";"142.48";"144.50";"6658419"
"2018-11-16";"144.71";"146.74";"144.55";"145.99";"8494421"
"2018-11-19";"146.43";"148.44";"146.37";"147.73";"8714648"
"2018-11-20";"147.50";"148.75";"146.35";"146.45";"8938027"
"2018-11-21";"146.23";"146.23";"140.78";"141.99";"10276260"
"2018-11-23";"141.85";"142.73";"141.60";"142.23";"3405287"
"2018-11-26";"142.00";"142.05";"140.72";"141.37";"7591079"
"2018-11-27";"140.57";"143.35";"139.66";"143.22";"5962130"
"2018-11-28";"143.83";"146.56";"143.36";"146.44";"8411783"
"2018-11-29";"145.62";"147.20";"144.84";"145.85";"6900546"
"2018-11-30";"145.34";"147.00";"145.10";"146.90";"12517648"
"2018-12-03";"145.57";"146.63";"144.94";"146.21";"8826359"
"2018-12-04";"146.32";"148.99";"145.82";"146.03";"9803565"
"2018-12-06";"144.50";"146.45";"142.79";"145.91";"11572509"
"2018-12-07";"145.49";"147.34";"144.12";"145.43";"9444659"
"2018-12-10";"145.39";"145.88";"142.38";"145.26";"6848641"
"2018-12-11";"146.29";"148.21";"145.79";"146.50";"9857462"
"2018-12-12";"147.00";"148.49";"147.00";"147.10";"8869345"
"2018-12-13";"146.96";"148.59";"146.80";"147.84";"6008493"
"2018-12-14";"144.34";"145.38";"130.20";"133.00";"58140215"
"2018-12-17";"128.32";"131.65";"126.83";"129.14";"36934665"
"2018-12-18";"132.05";"132.80";"129.20";"130.42";"24640293"
"2018-12-19";"129.87";"131.35";"127.09";"127.61";"21232246"
"2018-12-20";"127.72";"129.75";"126.76";"128.27";"16609796"
"2018-12-21";"127.80";"130.60";"127.12";"128.09";"19733834"
"2018-12-24";"127.30";"128.00";"121.00";"122.84";"7523385"
"2018-12-26";"123.42";"126.76";"122.01";"126.71";"9255104"
"2018-12-27";"125.87";"127.41";"123.07";"127.41";"9918811"
