"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"43.25";"43.80";"43.24";"43.72";"14050183"
"2018-03-05";"43.57";"43.94";"43.50";"43.89";"11993856"
"2018-03-06";"43.95";"44.05";"43.59";"43.93";"10010618"
"2018-03-07";"43.59";"43.92";"43.47";"43.82";"10881784"
"2018-03-08";"43.90";"44.46";"43.80";"44.45";"12361213"
"2018-03-09";"44.57";"44.82";"44.39";"44.82";"9778687"
"2018-03-12";"44.95";"45.09";"44.33";"44.53";"11857805"
"2018-03-13";"44.67";"44.83";"44.40";"44.57";"11342154"
"2018-03-14";"44.38";"44.43";"43.73";"43.78";"15321418"
"2018-03-15";"43.88";"44.00";"43.55";"43.67";"12457112"
"2018-03-16";"43.70";"44.02";"43.45";"43.46";"26603387"
"2018-03-19";"43.46";"43.71";"43.18";"43.26";"12380790"
"2018-03-20";"43.32";"43.48";"43.01";"43.16";"13560020"
"2018-03-21";"43.13";"43.45";"42.79";"43.00";"13054280"
"2018-03-22";"42.88";"43.37";"42.70";"42.76";"12274285"
"2018-03-23";"42.82";"43.16";"42.29";"42.33";"13475405"
"2018-03-26";"42.61";"42.81";"42.25";"42.69";"11276206"
"2018-03-27";"42.70";"43.31";"42.53";"42.89";"11609241"
"2018-03-28";"43.00";"43.70";"43.00";"43.32";"16278093"
"2018-03-29";"43.54";"43.92";"43.29";"43.43";"10450641"
"2018-04-02";"43.44";"43.50";"42.47";"42.67";"14208125"
"2018-04-03";"42.98";"43.54";"42.84";"43.38";"15484944"
"2018-04-04";"43.14";"44.40";"43.11";"44.24";"13563422"
"2018-04-05";"44.28";"44.61";"43.94";"44.40";"11707920"
"2018-04-06";"44.28";"44.52";"43.71";"43.92";"11495227"
"2018-04-09";"44.03";"44.31";"43.78";"43.83";"11914508"
"2018-04-10";"44.07";"44.18";"43.72";"43.99";"10687458"
"2018-04-11";"43.81";"44.14";"43.76";"43.99";"8424765"
"2018-04-12";"44.08";"44.41";"43.95";"44.03";"8476592"
"2018-04-13";"44.19";"44.69";"44.14";"44.51";"10774262"
"2018-04-16";"44.65";"44.89";"44.40";"44.68";"8962352"
"2018-04-17";"44.95";"45.03";"44.65";"44.88";"8407104"
"2018-04-18";"44.90";"44.97";"44.33";"44.51";"7429138"
"2018-04-19";"44.34";"44.47";"44.02";"44.31";"10371511"
"2018-04-20";"44.31";"44.41";"43.58";"43.74";"14691101"
