"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"148.91";"150.45";"146.84";"148.27";"11754467"
"2018-03-05";"148.28";"151.48";"147.92";"151.03";"6397951"
"2018-03-06";"151.25";"151.71";"150.13";"151.20";"5015481"
"2018-03-07";"149.86";"152.74";"149.68";"152.38";"4492061"
"2018-03-08";"152.73";"154.61";"152.65";"154.44";"4291486"
"2018-03-09";"155.62";"157.73";"154.84";"157.24";"5076628"
"2018-03-12";"157.74";"159.45";"157.51";"157.74";"4461603"
"2018-03-13";"158.56";"159.89";"158.21";"158.22";"4333156"
"2018-03-14";"159.00";"159.51";"157.24";"158.24";"3879063"
"2018-03-15";"158.71";"162.15";"158.59";"161.61";"5925722"
"2018-03-16";"161.88";"163.23";"161.58";"162.36";"14293928"
"2018-03-19";"162.00";"162.36";"158.21";"159.01";"4307737"
"2018-03-20";"159.75";"160.67";"159.25";"159.38";"3105185"
"2018-03-21";"160.00";"160.41";"158.29";"158.66";"3871952"
"2018-03-22";"157.85";"159.12";"156.85";"157.04";"3669614"
"2018-03-23";"157.59";"158.08";"154.92";"154.98";"3447524"
"2018-03-26";"156.21";"158.20";"156.21";"158.01";"3477023"
"2018-03-27";"158.50";"159.77";"156.47";"157.48";"3519253"
"2018-03-28";"157.84";"159.76";"157.82";"158.41";"3913649"
"2018-03-29";"159.00";"159.83";"156.38";"156.38";"5289663"
"2018-04-02";"158.27";"160.16";"155.25";"157.72";"6960308"
"2018-04-03";"157.98";"160.53";"157.30";"160.40";"4719363"
"2018-04-04";"158.50";"162.15";"157.88";"161.73";"4888238"
"2018-04-05";"162.40";"164.56";"161.75";"163.95";"4494990"
"2018-04-06";"162.42";"163.78";"160.91";"161.25";"4322178"
"2018-04-09";"162.22";"163.57";"161.06";"161.23";"3581731"
"2018-04-10";"162.83";"163.96";"162.05";"162.77";"3926153"
"2018-04-11";"162.50";"164.06";"162.28";"163.34";"2711329"
"2018-04-12";"163.59";"165.40";"161.54";"161.62";"5178955"
"2018-04-13";"162.16";"163.16";"161.26";"161.73";"2452867"
"2018-04-16";"161.30";"162.44";"160.86";"161.63";"3115386"
"2018-04-17";"162.39";"163.48";"162.06";"162.55";"2862016"
"2018-04-18";"162.59";"163.31";"161.74";"161.81";"2503238"
"2018-04-19";"161.61";"162.10";"158.78";"159.53";"3276728"
"2018-04-20";"159.33";"160.73";"158.51";"158.77";"3961253"
"2018-04-23";"158.97";"159.69";"158.15";"158.99";"3051983"
"2018-04-24";"159.75";"159.83";"156.76";"157.32";"2904512"
"2018-04-25";"157.09";"157.34";"155.01";"155.94";"3710230"
"2018-04-26";"156.46";"159.46";"155.65";"158.90";"3680830"
"2018-04-27";"159.48";"159.85";"158.21";"158.30";"4141617"
"2018-04-30";"164.69";"167.95";"163.75";"167.44";"12954964"
"2018-05-01";"166.38";"166.50";"162.10";"163.44";"6560343"
"2018-05-02";"162.15";"163.20";"160.44";"160.68";"4318639"
"2018-05-03";"160.60";"160.84";"159.08";"160.08";"3450394"
"2018-05-04";"159.95";"165.45";"159.90";"165.03";"4283746"
"2018-05-07";"166.77";"167.30";"164.65";"165.00";"3379190"
"2018-05-08";"164.44";"165.59";"163.75";"164.77";"2808316"
"2018-05-09";"165.00";"165.21";"163.05";"164.24";"2762688"
"2018-05-10";"164.45";"165.64";"164.31";"165.07";"1675240"
"2018-05-11";"165.00";"165.98";"164.85";"165.39";"2258478"
"2018-05-14";"165.65";"165.98";"164.32";"164.72";"2537442"
"2018-05-15";"164.27";"164.65";"162.33";"163.06";"3471442"
"2018-05-16";"163.24";"163.94";"161.74";"162.87";"2523296"
"2018-05-17";"162.63";"163.23";"160.73";"161.31";"2975535"
"2018-05-18";"161.68";"162.84";"160.55";"160.98";"2318066"
"2018-05-21";"161.78";"161.97";"160.61";"161.48";"2402975"
"2018-05-22";"162.06";"162.09";"159.16";"159.45";"3224012"
"2018-05-23";"159.70";"161.65";"159.16";"161.62";"3835329"
"2018-05-24";"161.11";"162.60";"160.44";"162.39";"3378076"
"2018-05-25";"162.44";"163.95";"162.10";"163.21";"2582103"
"2018-05-29";"162.43";"162.72";"160.21";"160.62";"3197154"
"2018-05-30";"161.41";"162.10";"160.82";"161.82";"2396677"
"2018-05-31";"161.18";"161.63";"159.94";"160.01";"4881341"
"2018-06-01";"159.90";"160.05";"159.02";"159.16";"3203831"
"2018-06-04";"160.08";"160.49";"159.54";"160.22";"3174613"
"2018-06-05";"159.97";"160.99";"158.98";"159.48";"2952405"
"2018-06-06";"159.79";"162.39";"159.33";"162.38";"3586390"
"2018-06-07";"163.75";"170.00";"163.69";"169.48";"8342538"
"2018-06-08";"169.02";"171.56";"168.46";"168.91";"5056778"
"2018-06-11";"169.04";"169.04";"166.26";"166.49";"3246664"
"2018-06-12";"166.82";"167.24";"166.23";"166.73";"2985361"
"2018-06-13";"166.99";"167.61";"166.55";"166.58";"3140708"
"2018-06-14";"167.04";"167.94";"166.68";"167.05";"2390086"
"2018-06-15";"166.10";"166.60";"164.59";"166.46";"7384467"
"2018-06-18";"165.53";"166.58";"163.81";"166.28";"4297844"
"2018-06-19";"164.62";"165.51";"164.24";"164.97";"3350517"
"2018-06-20";"164.91";"165.53";"162.37";"162.56";"3649612"
"2018-06-21";"163.29";"163.60";"159.54";"160.53";"4655927"
"2018-06-22";"161.27";"165.14";"161.26";"164.55";"10927392"
"2018-06-25";"163.00";"163.00";"158.95";"159.81";"6127074"
"2018-06-26";"160.01";"161.86";"159.80";"160.91";"3375317"
"2018-06-27";"159.05";"160.49";"157.38";"157.42";"4962740"
"2018-06-28";"157.25";"157.33";"155.10";"156.32";"4136934"
"2018-06-29";"156.76";"157.95";"156.07";"156.69";"4024709"
"2018-07-02";"155.99";"156.87";"155.45";"156.87";"3024092"
"2018-07-03";"157.36";"157.82";"156.31";"156.48";"1437805"
"2018-07-05";"156.90";"157.67";"156.50";"157.32";"2248494"
"2018-07-06";"157.77";"160.57";"157.45";"159.42";"3441432"
"2018-07-09";"160.47";"160.80";"159.37";"159.94";"2477416"
"2018-07-10";"159.83";"160.98";"159.46";"160.62";"2187647"
"2018-07-11";"158.89";"159.71";"157.70";"158.62";"3203900"
"2018-07-12";"159.15";"159.78";"158.82";"159.12";"2360832"
"2018-07-13";"157.40";"158.76";"155.28";"158.51";"5187597"
"2018-07-16";"158.62";"159.28";"157.96";"158.78";"2818513"
"2018-07-17";"158.56";"160.00";"158.56";"159.75";"1877682"
"2018-07-18";"159.85";"159.87";"157.81";"157.93";"3824345"
"2018-07-19";"157.59";"158.64";"157.11";"157.41";"4869784"
"2018-07-20";"157.20";"158.35";"156.28";"157.97";"2697124"
"2018-07-23";"157.80";"158.83";"157.04";"158.75";"2754830"
"2018-07-24";"159.24";"159.58";"157.52";"157.94";"3388486"
"2018-07-25";"157.69";"158.99";"157.41";"158.89";"4370023"
"2018-07-26";"158.23";"158.89";"154.71";"156.14";"7409982"
"2018-07-27";"156.58";"158.01";"156.40";"157.48";"4287420"
"2018-07-30";"157.39";"160.02";"157.09";"158.64";"3274990"
"2018-07-31";"158.70";"159.00";"157.23";"157.54";"3530456"
"2018-08-01";"156.57";"157.22";"155.66";"156.92";"4253253"
"2018-08-02";"156.65";"156.93";"153.13";"155.41";"6246023"
"2018-08-03";"155.70";"156.97";"154.29";"156.21";"3673124"
"2018-08-06";"156.03";"157.41";"155.46";"156.72";"2375301"
"2018-08-07";"156.91";"157.20";"155.84";"156.04";"1929405"
"2018-08-08";"156.49";"158.93";"156.17";"158.92";"2988666"
"2018-08-09";"158.84";"159.62";"157.96";"159.30";"2764651"
