"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"91.58";"93.15";"90.86";"93.05";"32830389"
"2018-03-05";"92.34";"94.27";"92.26";"93.64";"23901578"
"2018-03-06";"94.34";"94.49";"92.94";"93.32";"22175776"
"2018-03-07";"93.16";"93.94";"92.43";"93.86";"26716127"
"2018-03-08";"94.27";"95.10";"93.77";"94.43";"25887828"
"2018-03-09";"95.29";"96.54";"95.00";"96.54";"36937254"
"2018-03-12";"96.50";"97.21";"96.04";"96.77";"26073742"
"2018-03-13";"97.00";"97.24";"93.97";"94.41";"35387817"
"2018-03-14";"95.12";"95.41";"93.50";"93.85";"32131981"
"2018-03-15";"93.53";"94.58";"92.83";"94.18";"27610998"
"2018-03-16";"94.68";"95.38";"93.92";"94.60";"49081279"
"2018-03-19";"93.74";"93.90";"92.11";"92.89";"33344085"
"2018-03-20";"93.05";"93.77";"93.00";"93.13";"23075240"
"2018-03-21";"92.93";"94.05";"92.21";"92.48";"24457082"
"2018-03-22";"91.27";"91.75";"89.66";"89.79";"38604715"
"2018-03-23";"89.50";"90.46";"87.08";"87.18";"44068949"
"2018-03-26";"90.61";"94.00";"90.40";"93.78";"56396780"
"2018-03-27";"94.94";"95.14";"88.51";"89.47";"56569011"
"2018-03-28";"89.82";"91.23";"88.87";"89.39";"52501146"
"2018-03-29";"90.18";"92.29";"88.40";"91.27";"45867548"
"2018-04-02";"90.47";"90.88";"87.51";"88.52";"48515417"
"2018-04-03";"89.58";"90.05";"87.89";"89.71";"37213837"
"2018-04-04";"87.85";"92.76";"87.73";"92.33";"35559956"
"2018-04-05";"92.44";"93.07";"91.40";"92.38";"29771881"
"2018-04-06";"91.49";"92.46";"89.48";"90.23";"38026000"
"2018-04-09";"91.04";"93.17";"90.62";"90.77";"31533718"
"2018-04-10";"92.39";"93.28";"91.64";"92.88";"26939883"
"2018-04-11";"92.01";"93.29";"91.48";"91.86";"24872110"
"2018-04-12";"92.43";"94.16";"92.43";"93.58";"26758879"
"2018-04-13";"94.05";"94.18";"92.44";"93.08";"23346063"
"2018-04-16";"94.07";"94.66";"93.42";"94.17";"20286283"
"2018-04-17";"95.00";"96.54";"94.88";"96.07";"26771000"
"2018-04-18";"96.22";"96.72";"95.52";"96.44";"21043287"
"2018-04-19";"96.44";"97.07";"95.34";"96.11";"23552541"
"2018-04-20";"95.91";"96.11";"94.05";"95.00";"31154377"
"2018-04-23";"95.74";"96.29";"94.63";"95.35";"22331829"
"2018-04-24";"96.24";"96.47";"92.41";"93.12";"34524799"
"2018-04-25";"93.30";"93.30";"90.28";"92.31";"33729257"
"2018-04-26";"93.55";"95.15";"93.10";"94.26";"42501543"
"2018-04-27";"97.60";"97.90";"93.91";"95.82";"48272780"
"2018-04-30";"96.33";"96.40";"93.15";"93.52";"41523605"
"2018-05-01";"93.21";"95.29";"92.79";"95.00";"31408927"
"2018-05-02";"94.99";"95.17";"93.19";"93.51";"27471002"
"2018-05-03";"92.96";"94.93";"92.45";"94.07";"31142497"
"2018-05-04";"93.32";"95.37";"92.92";"95.16";"22531325"
"2018-05-07";"95.17";"96.71";"95.10";"96.22";"24242019"
"2018-05-08";"95.85";"96.16";"95.06";"95.81";"23484589"
"2018-05-09";"96.01";"96.97";"95.05";"96.94";"27327410"
"2018-05-10";"97.46";"97.95";"97.05";"97.91";"22388119"
"2018-05-11";"97.80";"97.87";"97.04";"97.70";"16778316"
"2018-05-14";"97.92";"98.69";"97.31";"98.03";"19454124"
"2018-05-15";"97.24";"97.85";"96.34";"97.32";"24594010"
"2018-05-16";"97.36";"97.40";"96.62";"97.15";"17384742"
"2018-05-17";"96.76";"97.54";"95.83";"96.18";"17246716"
"2018-05-18";"96.01";"96.93";"96.01";"96.36";"17844090"
"2018-05-21";"97.00";"98.01";"96.80";"97.60";"19422467"
"2018-05-22";"97.68";"98.17";"97.20";"97.50";"15441189"
"2018-05-23";"96.71";"98.73";"96.32";"98.66";"21251222"
"2018-05-24";"98.73";"98.94";"96.81";"98.31";"26649287"
"2018-05-25";"98.30";"98.98";"97.86";"98.36";"18363918"
"2018-05-29";"97.84";"98.88";"97.23";"98.01";"28670981"
"2018-05-30";"98.31";"99.25";"97.91";"98.95";"22158528"
"2018-05-31";"99.29";"99.99";"98.61";"98.84";"34140891"
"2018-06-01";"99.28";"100.86";"99.17";"100.79";"28655624"
"2018-06-04";"101.26";"101.86";"100.85";"101.67";"27281623"
"2018-06-05";"102.00";"102.33";"101.53";"102.19";"23514402"
"2018-06-06";"102.48";"102.60";"101.90";"102.49";"21122917"
"2018-06-07";"102.65";"102.69";"100.38";"100.88";"28232197"
"2018-06-08";"101.09";"101.95";"100.54";"101.63";"22165128"
"2018-06-11";"101.37";"101.59";"100.67";"101.05";"23490894"
"2018-06-12";"101.10";"101.45";"100.75";"101.31";"18325228"
"2018-06-13";"101.72";"102.01";"100.56";"100.85";"29492875"
"2018-06-14";"101.65";"102.03";"101.00";"101.42";"25691811"
"2018-06-15";"101.51";"101.53";"100.07";"100.13";"65738585"
"2018-06-18";"100.01";"101.11";"99.42";"100.86";"23586037"
"2018-06-19";"99.65";"101.00";"99.50";"100.86";"28653087"
"2018-06-20";"101.37";"102.52";"101.12";"101.87";"26180792"
"2018-06-21";"102.08";"102.46";"100.88";"101.14";"23198188"
"2018-06-22";"100.41";"100.77";"99.63";"100.41";"38923105"
"2018-06-25";"100.00";"100.11";"97.30";"98.39";"35433333"
"2018-06-26";"98.82";"100.08";"98.75";"99.08";"26897244"
"2018-06-27";"99.58";"100.02";"97.40";"97.54";"31298386"
"2018-06-28";"97.38";"99.11";"97.26";"98.63";"26650671"
"2018-06-29";"98.93";"99.91";"98.33";"98.61";"28053214"
"2018-07-02";"98.10";"100.06";"98.00";"100.01";"19564521"
"2018-07-03";"100.48";"100.63";"98.94";"99.05";"14668375"
"2018-07-05";"99.50";"99.92";"99.03";"99.76";"18977402"
"2018-07-06";"99.89";"101.43";"99.67";"101.16";"19234627"
"2018-07-09";"101.65";"102.25";"101.25";"101.85";"18211980"
"2018-07-10";"102.00";"102.51";"101.86";"102.12";"19293140"
"2018-07-11";"101.15";"102.34";"101.10";"101.98";"19644648"
"2018-07-12";"102.77";"104.41";"102.73";"104.19";"24335929"
"2018-07-13";"104.37";"105.60";"104.09";"105.43";"24653500"
"2018-07-16";"105.40";"105.82";"104.52";"104.91";"21786912"
"2018-07-17";"104.61";"106.50";"104.32";"105.95";"25901726"
"2018-07-18";"105.94";"106.05";"104.72";"105.12";"29468927"
"2018-07-19";"104.93";"105.31";"103.89";"104.40";"40171646"
"2018-07-20";"108.08";"108.20";"106.08";"106.27";"56038827"
"2018-07-23";"106.30";"108.14";"106.13";"107.97";"29706955"
"2018-07-24";"108.57";"108.82";"107.26";"107.66";"26316619"
"2018-07-25";"107.96";"111.15";"107.60";"110.83";"30798058"
"2018-07-26";"110.74";"111.00";"109.50";"109.62";"31372110"
"2018-07-27";"110.18";"110.18";"106.14";"107.68";"37005292"
"2018-07-30";"107.19";"107.53";"104.76";"105.37";"34668327"
"2018-07-31";"106.49";"106.72";"105.38";"106.08";"27655152"
"2018-08-01";"106.03";"106.45";"105.42";"106.28";"23619699"
"2018-08-02";"105.40";"108.09";"104.84";"107.57";"26104258"
"2018-08-03";"107.80";"108.05";"106.82";"108.04";"18659599"
"2018-08-06";"108.12";"108.42";"107.56";"108.13";"20265947"
"2018-08-07";"108.56";"109.10";"108.17";"108.88";"16080214"
"2018-08-08";"109.33";"109.75";"108.76";"109.49";"15487502"
"2018-08-09";"109.71";"110.16";"109.60";"109.67";"13668111"
"2018-08-10";"109.42";"109.69";"108.38";"109.00";"18183724"
"2018-08-13";"109.24";"109.58";"108.10";"108.21";"18472484"
"2018-08-14";"108.56";"109.75";"108.04";"109.56";"16788314"
"2018-08-15";"108.49";"108.99";"106.82";"107.66";"29982806"
"2018-08-16";"108.30";"108.86";"107.30";"107.64";"21384289"
"2018-08-17";"107.36";"107.90";"106.69";"107.58";"18061512"
"2018-08-20";"107.51";"107.90";"106.48";"106.87";"17914201"
"2018-08-21";"106.92";"107.35";"105.85";"105.98";"22881861"
"2018-08-22";"105.85";"107.34";"105.78";"107.06";"18000639"
"2018-08-23";"107.15";"108.18";"106.87";"107.56";"18167723"
"2018-08-24";"107.67";"108.56";"107.56";"108.40";"17234020"
"2018-08-27";"109.27";"109.64";"108.51";"109.60";"19662331"
"2018-08-28";"109.94";"110.50";"109.79";"110.26";"19151528"
"2018-08-29";"110.45";"112.03";"110.27";"112.02";"20818044"
"2018-08-30";"111.67";"112.61";"111.44";"111.95";"22798702"
"2018-08-31";"111.69";"112.78";"111.52";"112.33";"23222713"
"2018-09-04";"110.85";"111.96";"110.22";"111.71";"22634641"
"2018-09-05";"111.01";"111.42";"108.10";"108.49";"32872352"
"2018-09-06";"108.25";"108.99";"107.51";"108.74";"23477624"
"2018-09-07";"108.23";"108.72";"107.23";"108.21";"22498646"
"2018-09-10";"108.84";"109.64";"108.36";"109.38";"20727906"
"2018-09-11";"108.90";"111.59";"108.89";"111.24";"24301774"
"2018-09-12";"111.43";"111.85";"110.51";"111.71";"18888064"
"2018-09-13";"112.12";"113.73";"112.12";"112.91";"26055620"
"2018-09-14";"113.36";"113.73";"112.44";"113.37";"19122349"
"2018-09-17";"113.69";"113.70";"111.86";"112.14";"20736516"
"2018-09-18";"112.19";"113.70";"111.72";"113.21";"22170934"
"2018-09-19";"113.05";"113.32";"111.04";"111.70";"21728429"
"2018-09-20";"112.28";"113.80";"111.93";"113.57";"23714512"
"2018-09-21";"114.00";"115.29";"113.51";"114.26";"71229698"
"2018-09-24";"113.03";"114.90";"112.22";"114.67";"27334460"
"2018-09-25";"114.80";"115.10";"113.75";"114.45";"22668014"
"2018-09-26";"114.47";"115.06";"113.74";"113.98";"19352025"
"2018-09-27";"114.78";"114.91";"114.20";"114.41";"19091299"
"2018-09-28";"114.19";"114.57";"113.68";"114.37";"21647811"
"2018-10-01";"114.75";"115.68";"114.73";"115.61";"18883079"
"2018-10-02";"115.30";"115.84";"114.44";"115.15";"20787239"
"2018-10-03";"115.42";"116.18";"114.93";"115.17";"16648018"
"2018-10-04";"114.61";"114.76";"111.63";"112.79";"34821717"
"2018-10-05";"112.63";"113.17";"110.64";"112.13";"29068859"
"2018-10-08";"111.66";"112.03";"109.34";"110.85";"29640588"
"2018-10-09";"111.14";"113.08";"110.80";"112.26";"26198594"
"2018-10-10";"111.24";"111.50";"105.79";"106.16";"61376315"
"2018-10-11";"105.35";"108.93";"104.20";"105.91";"63904282"
"2018-10-12";"109.01";"111.24";"107.12";"109.57";"47742109"
"2018-10-15";"108.91";"109.48";"106.95";"107.60";"32068103"
"2018-10-16";"109.54";"111.41";"108.95";"111.00";"31610164"
"2018-10-17";"111.68";"111.81";"109.55";"110.71";"26548243"
"2018-10-18";"110.10";"110.53";"107.83";"108.50";"32506192"
"2018-10-19";"108.93";"110.86";"108.21";"108.66";"32785475"
"2018-10-22";"109.32";"110.54";"108.24";"109.63";"26545607"
"2018-10-23";"107.77";"108.97";"105.11";"108.10";"43770429"
"2018-10-24";"108.41";"108.49";"101.59";"102.32";"63897759"
"2018-10-25";"106.55";"109.27";"106.15";"108.30";"61646819"
"2018-10-26";"105.69";"108.75";"104.76";"106.96";"55523104"
"2018-10-29";"108.11";"108.70";"101.63";"103.85";"55162001"
"2018-10-30";"103.66";"104.38";"100.11";"103.73";"65350878"
"2018-10-31";"105.44";"108.14";"105.39";"106.81";"51062383"
"2018-11-01";"107.05";"107.32";"105.53";"105.92";"33384201"
"2018-11-02";"106.48";"107.32";"104.98";"106.16";"37680194"
"2018-11-05";"106.37";"107.74";"105.90";"107.51";"27922144"
"2018-11-06";"107.38";"108.84";"106.28";"107.72";"24340248"
"2018-11-07";"109.44";"112.24";"109.40";"111.96";"37901704"
"2018-11-08";"111.80";"112.21";"110.91";"111.75";"25644105"
"2018-11-09";"110.85";"111.45";"108.76";"109.57";"32039223"
"2018-11-12";"109.42";"109.96";"106.10";"106.87";"33621807"
"2018-11-13";"107.55";"108.74";"106.64";"106.94";"35374583"
"2018-11-14";"108.10";"108.26";"104.47";"104.97";"39495141"
"2018-11-15";"104.99";"107.80";"103.91";"107.28";"38505165"
"2018-11-16";"107.08";"108.88";"106.80";"108.29";"33502121"
"2018-11-19";"108.27";"108.56";"103.55";"104.62";"44673899"
"2018-11-20";"101.80";"102.97";"99.35";"101.71";"64052457"
"2018-11-21";"103.60";"104.43";"102.24";"103.11";"28130621"
"2018-11-23";"102.17";"103.81";"102.00";"103.07";"13823099"
"2018-11-26";"104.79";"106.63";"104.58";"106.47";"32336165"
"2018-11-27";"106.27";"107.33";"105.36";"107.14";"29124486"
"2018-11-28";"107.89";"111.33";"107.86";"111.12";"46788461"
"2018-11-29";"110.33";"111.12";"109.03";"110.19";"28123195"
"2018-11-30";"110.70";"110.97";"109.36";"110.89";"33665624"
"2018-12-03";"113.00";"113.42";"110.73";"112.09";"34732772"
"2018-12-04";"111.94";"112.64";"108.21";"108.52";"45196984"
"2018-12-06";"105.82";"109.24";"105.00";"109.19";"49107431"
"2018-12-07";"108.38";"109.45";"104.30";"104.82";"45044937"
"2018-12-10";"104.80";"107.98";"103.89";"107.59";"40801525"
"2018-12-11";"109.80";"110.95";"107.44";"108.59";"42381947"
"2018-12-12";"110.89";"111.27";"109.04";"109.08";"36183020"
"2018-12-13";"109.58";"110.87";"108.63";"109.45";"31333362"
"2018-12-14";"108.25";"109.26";"105.50";"106.03";"47043136"
"2018-12-17";"105.41";"105.80";"101.71";"102.89";"56952064"
"2018-12-18";"103.75";"104.51";"102.52";"103.97";"49319196"
"2018-12-19";"103.65";"106.88";"101.35";"103.69";"68198186"
"2018-12-20";"103.05";"104.31";"98.78";"101.51";"70334184"
"2018-12-21";"101.63";"103.00";"97.46";"98.23";"111242070"
"2018-12-24";"97.68";"97.97";"93.98";"94.13";"43935192"
"2018-12-26";"95.14";"100.69";"93.96";"100.56";"51634793"
"2018-12-27";"99.30";"101.19";"96.40";"101.18";"49464509"
"2018-12-28";"102.09";"102.41";"99.52";"100.39";"38169312"
"2018-12-31";"101.29";"102.40";"100.44";"101.57";"33173765"
"2019-01-02";"99.55";"101.75";"98.94";"101.12";"35329345"
"2019-01-03";"100.10";"100.19";"97.20";"97.40";"42578410"
"2019-01-04";"99.72";"102.51";"98.93";"101.93";"44060590"
"2019-01-07";"101.64";"103.27";"100.98";"102.06";"35656136"
