"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"56.97";"59.20";"55.46";"59.14";"91235240"
"2018-03-05";"58.63";"59.31";"57.38";"58.91";"62077652"
"2018-03-06";"59.78";"60.74";"59.34";"60.54";"63670972"
"2018-03-07";"59.50";"60.99";"59.49";"60.46";"58120904"
"2018-03-08";"60.74";"60.74";"59.85";"60.30";"41191044"
"2018-03-09";"60.78";"61.46";"60.61";"61.33";"50552592"
"2018-03-12";"61.75";"63.25";"61.69";"62.44";"60506164"
"2018-03-13";"62.87";"63.63";"61.51";"61.93";"61977236"
"2018-03-14";"62.36";"62.64";"61.56";"62.19";"50549444"
"2018-03-15";"62.32";"63.16";"61.91";"62.34";"40195348"
"2018-03-16";"62.50";"62.81";"62.12";"62.62";"39945728"
"2018-03-19";"62.05";"62.34";"59.25";"60.25";"71377352"
"2018-03-20";"60.28";"62.79";"60.28";"62.40";"55469636"
"2018-03-21";"62.33";"63.00";"61.83";"62.14";"43868864"
"2018-03-22";"61.50";"61.97";"60.09";"60.46";"55119676"
"2018-03-23";"60.60";"60.67";"58.13";"58.24";"73561844"
"2018-03-26";"59.50";"61.13";"58.98";"61.12";"61142560"
"2018-03-27";"61.94";"62.50";"54.96";"56.38";"140900048"
"2018-03-28";"56.03";"57.35";"54.25";"55.34";"94590592"
"2018-03-29";"56.03";"58.88";"55.18";"57.90";"91662768"
"2018-04-02";"57.19";"58.66";"54.38";"55.26";"92209260"
"2018-04-03";"56.95";"57.59";"55.34";"56.34";"66743036"
"2018-04-04";"53.75";"56.67";"53.50";"56.56";"78916644"
"2018-04-05";"57.15";"57.28";"54.62";"55.35";"70123892"
"2018-04-06";"54.31";"55.40";"53.27";"53.56";"66298880"
"2018-04-09";"54.20";"55.49";"53.65";"53.85";"49896480"
"2018-04-10";"56.18";"57.25";"55.60";"56.98";"76475228"
"2018-04-11";"56.83";"57.24";"56.23";"56.56";"46024228"
"2018-04-12";"57.50";"58.83";"57.05";"58.65";"59391800"
"2018-04-13";"59.29";"59.38";"57.39";"57.88";"50303568"
"2018-04-16";"57.94";"58.21";"56.92";"57.87";"35079104"
"2018-04-17";"58.40";"59.60";"57.84";"59.39";"44722552"
"2018-04-18";"58.88";"59.81";"58.19";"59.09";"39136232"
"2018-04-19";"57.94";"58.28";"56.70";"57.26";"47199732"
"2018-04-20";"57.17";"58.03";"56.86";"57.18";"38619864"
"2018-04-23";"57.36";"57.88";"55.71";"55.97";"42750892"
"2018-04-24";"56.23";"57.20";"54.64";"55.30";"41459576"
"2018-04-25";"55.00";"55.39";"52.58";"54.17";"58849372"
"2018-04-26";"55.80";"56.39";"55.13";"56.31";"37582296"
"2018-04-27";"57.38";"57.58";"56.16";"56.58";"40084980"
"2018-04-30";"56.75";"57.25";"56.03";"56.23";"32784268"
"2018-05-01";"56.14";"56.81";"55.55";"56.79";"25378908"
"2018-05-02";"56.75";"57.20";"56.31";"56.58";"26824740"
"2018-05-03";"56.90";"58.51";"56.44";"58.25";"44314560"
"2018-05-04";"57.96";"59.80";"57.78";"59.77";"40066152"
"2018-05-07";"60.82";"62.75";"60.72";"62.17";"68761512"
"2018-05-08";"62.17";"62.63";"61.68";"62.60";"50661496"
"2018-05-09";"62.80";"63.97";"62.53";"63.95";"59610120"
"2018-05-10";"64.48";"65.13";"64.30";"65.03";"99408116"
"2018-05-11";"63.20";"64.95";"62.64";"63.63";"121445624"
"2018-05-14";"64.02";"64.62";"63.60";"63.84";"52313908"
"2018-05-15";"63.20";"63.23";"60.38";"61.39";"96352840"
"2018-05-16";"61.00";"62.13";"60.63";"61.50";"55382824"
"2018-05-17";"61.52";"62.88";"61.36";"61.93";"51978420"
"2018-05-18";"62.45";"63.09";"61.44";"61.49";"48371768"
"2018-05-21";"62.47";"62.51";"60.12";"61.06";"63882480"
"2018-05-22";"61.20";"61.45";"60.06";"60.68";"51826548"
"2018-05-23";"60.07";"61.90";"60.06";"61.89";"44218704"
"2018-05-24";"61.85";"62.35";"61.31";"61.92";"43708380"
"2018-05-25";"62.05";"62.49";"61.69";"62.32";"29211128"
"2018-05-29";"62.14";"62.84";"61.68";"62.15";"35268332"
"2018-05-30";"62.49";"63.34";"62.24";"63.25";"39099456"
