"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"35.55";"36.07";"35.40";"35.95";"21130738"
"2018-03-05";"35.82";"36.28";"35.77";"36.12";"21176253"
"2018-03-06";"36.24";"36.24";"35.75";"35.88";"17081212"
"2018-03-07";"35.60";"36.08";"35.55";"35.93";"22239508"
"2018-03-08";"35.99";"36.50";"35.93";"36.50";"20537988"
"2018-03-09";"36.61";"36.92";"36.53";"36.77";"18312055"
"2018-03-12";"36.92";"37.00";"36.50";"36.61";"25210331"
"2018-03-13";"36.80";"36.96";"36.43";"36.75";"28046716"
"2018-03-14";"36.84";"36.99";"36.18";"36.35";"22181028"
"2018-03-15";"36.35";"36.81";"36.35";"36.58";"19458202"
"2018-03-16";"36.64";"37.04";"36.62";"36.78";"32377225"
"2018-03-19";"36.80";"36.80";"36.08";"36.33";"18979027"
"2018-03-20";"36.37";"36.55";"36.12";"36.33";"19256299"
"2018-03-21";"36.49";"36.73";"36.20";"36.27";"18095255"
"2018-03-22";"36.03";"36.14";"35.47";"35.60";"20963028"
"2018-03-23";"35.49";"35.50";"34.44";"34.49";"27880430"
"2018-03-26";"34.93";"35.15";"34.32";"35.04";"23649374"
"2018-03-27";"35.18";"35.56";"34.78";"35.01";"27358018"
"2018-03-28";"35.18";"35.81";"35.12";"35.30";"24999795"
"2018-03-29";"35.52";"35.68";"35.07";"35.49";"23534008"
"2018-04-02";"35.42";"35.74";"34.76";"35.05";"26872294"
"2018-04-03";"35.11";"35.74";"34.92";"35.68";"20254877"
"2018-04-04";"35.32";"36.23";"35.24";"36.13";"20883095"
"2018-04-05";"35.67";"36.00";"35.54";"35.73";"24462203"
"2018-04-06";"35.56";"35.87";"34.89";"35.17";"21147224"
"2018-04-09";"35.30";"35.93";"35.22";"35.46";"19409237"
"2018-04-10";"36.00";"36.10";"35.72";"35.95";"19884257"
"2018-04-11";"35.73";"36.07";"35.59";"35.79";"13168901"
"2018-04-12";"36.03";"36.50";"35.97";"36.32";"22132848"
"2018-04-13";"36.41";"36.50";"36.13";"36.32";"16863771"
"2018-04-16";"36.50";"36.73";"36.39";"36.53";"15117788"
"2018-04-17";"36.75";"36.78";"36.27";"36.33";"16770179"
"2018-04-18";"36.38";"36.59";"36.29";"36.49";"13902030"
"2018-04-19";"36.39";"36.69";"36.27";"36.53";"15784383"
"2018-04-20";"36.50";"36.79";"36.47";"36.63";"21225859"
"2018-04-23";"36.67";"36.89";"36.60";"36.80";"24080909"
"2018-04-24";"36.91";"37.27";"36.77";"37.06";"25719648"
"2018-04-25";"36.92";"37.04";"36.51";"36.68";"26309751"
"2018-04-26";"36.80";"37.10";"36.75";"36.85";"19360379"
"2018-04-27";"36.78";"37.11";"36.70";"37.00";"13686326"
"2018-04-30";"37.13";"37.18";"36.40";"36.61";"26846333"
"2018-05-01";"35.58";"36.05";"34.64";"35.40";"48651112"
"2018-05-02";"35.17";"35.37";"34.75";"34.89";"28037710"
"2018-05-03";"34.82";"34.88";"34.42";"34.76";"22313183"
"2018-05-04";"34.56";"35.00";"34.37";"34.84";"18781763"
"2018-05-07";"34.79";"35.13";"34.71";"34.93";"20475468"
"2018-05-08";"34.91";"35.09";"34.71";"34.98";"26822365"
"2018-05-09";"35.02";"35.41";"34.87";"35.17";"19383796"
"2018-05-10";"35.00";"35.31";"34.89";"35.04";"29323719"
"2018-05-11";"35.13";"35.56";"35.07";"35.50";"20512383"
"2018-05-14";"35.51";"35.93";"35.49";"35.86";"20384444"
"2018-05-15";"35.76";"35.78";"35.48";"35.69";"18354836"
"2018-05-16";"35.73";"35.88";"35.57";"35.68";"20750790"
"2018-05-17";"35.63";"35.78";"35.44";"35.71";"12354715"
"2018-05-18";"35.61";"35.75";"35.43";"35.64";"14928555"
"2018-05-21";"35.71";"35.87";"35.52";"35.80";"16890857"
"2018-05-22";"35.80";"36.09";"35.69";"35.72";"13735975"
"2018-05-23";"35.68";"36.04";"35.63";"35.97";"19316452"
"2018-05-24";"35.96";"36.09";"35.77";"35.89";"16625431"
