"Date";"Open";"High";"Low";"Close";"Volume"
"2020-09-30";"10.00";"11.42";"9.11";"9.50";"338549492"
"2020-10-01";"9.69";"10.10";"9.23";"9.46";"129660350"
"2020-10-02";"9.06";"9.28";"8.94";"9.20";"56343795"
"2020-10-05";"9.43";"9.49";"8.92";"9.03";"36951976"
"2020-10-06";"9.04";"10.18";"8.90";"9.90";"91313619"
"2020-10-07";"10.04";"10.49";"9.99";"10.00";"55469945"
"2020-10-08";"10.29";"10.40";"9.99";"10.00";"35995168"
"2020-10-09";"10.13";"10.19";"9.89";"9.95";"20204367"
"2020-10-12";"10.04";"10.05";"9.66";"9.89";"20975708"
"2020-10-13";"9.88";"9.88";"9.41";"9.47";"22160337"
"2020-10-14";"9.60";"9.66";"9.29";"9.34";"14101180"
"2020-10-15";"9.27";"9.91";"9.18";"9.91";"13148853"
"2020-10-16";"9.94";"9.95";"9.66";"9.71";"11535929"
"2020-10-19";"9.79";"9.82";"9.53";"9.57";"9333008"
"2020-10-20";"9.60";"9.66";"9.27";"9.27";"11291094"
"2020-10-21";"9.30";"9.48";"9.20";"9.20";"9424019"
"2020-10-22";"9.37";"9.75";"9.22";"9.68";"18124924"
"2020-10-23";"9.71";"9.83";"9.47";"9.49";"12980138"
"2020-10-26";"9.72";"9.97";"9.60";"9.95";"24188457"
"2020-10-27";"10.00";"11.04";"9.92";"10.95";"54271624"
"2020-10-28";"10.66";"10.99";"10.10";"10.85";"31926944"
"2020-10-29";"10.90";"11.10";"10.56";"10.75";"20812272"
"2020-10-30";"10.61";"10.68";"9.85";"10.13";"19928843"
"2020-11-02";"10.23";"10.57";"10.23";"10.54";"12026142"
"2020-11-03";"10.57";"10.94";"10.44";"10.50";"21994100"
"2020-11-04";"10.82";"10.92";"10.55";"10.72";"16019267"
"2020-11-05";"10.90";"12.13";"10.85";"11.88";"49022580"
"2020-11-06";"12.22";"14.96";"12.05";"13.83";"91141147"
"2020-11-09";"14.96";"15.90";"14.11";"14.67";"62551205"
"2020-11-10";"14.99";"15.01";"13.18";"14.00";"38871537"
"2020-11-11";"14.57";"15.97";"14.40";"15.96";"47328286"
"2020-11-12";"16.66";"17.06";"14.41";"14.58";"100700648"
"2020-11-13";"14.49";"16.00";"14.49";"15.80";"78142028"
"2020-11-16";"15.96";"16.10";"15.01";"15.93";"68381528"
"2020-11-17";"16.29";"18.75";"16.18";"17.85";"117539897"
"2020-11-18";"18.28";"19.25";"17.54";"17.90";"91505191"
"2020-11-19";"18.50";"18.98";"17.96";"18.98";"57201235"
"2020-11-20";"19.03";"19.66";"18.00";"18.15";"73103035"
"2020-11-23";"18.63";"21.45";"18.57";"21.04";"85694342"
"2020-11-24";"22.35";"24.27";"20.63";"23.82";"117722583"
"2020-11-25";"23.96";"29.75";"23.69";"29.05";"203256795"
"2020-11-27";"31.19";"33.50";"26.12";"27.66";"207834002"
"2020-11-30";"28.24";"30.15";"24.11";"27.11";"138974466"
"2020-12-01";"28.09";"28.14";"24.45";"25.67";"85311632"
"2020-12-02";"22.24";"23.40";"21.15";"22.51";"151542845"
"2020-12-03";"23.55";"25.62";"23.50";"24.03";"86296964"
"2020-12-04";"24.88";"25.24";"23.51";"23.85";"56616317"
"2020-12-07";"24.44";"29.00";"24.44";"28.94";"118946429"
"2020-12-08";"30.63";"31.24";"27.25";"28.59";"126423270"
"2020-12-09";"28.68";"28.85";"25.33";"26.63";"80397711"
"2020-12-10";"25.54";"28.04";"25.15";"27.04";"58446446"
"2020-12-11";"27.15";"28.27";"26.06";"27.20";"53124729"
"2020-12-14";"28.26";"28.26";"26.73";"27.24";"45303921"
"2020-12-15";"26.82";"27.10";"25.52";"26.43";"49920382"
"2020-12-16";"25.71";"26.16";"25.11";"25.92";"44707930"
"2020-12-17";"26.52";"27.45";"26.05";"27.23";"54229934"
"2020-12-18";"26.27";"26.85";"25.80";"25.97";"71886171"
"2020-12-21";"26.19";"28.70";"25.40";"28.51";"77301105"
"2020-12-22";"29.03";"29.42";"26.82";"28.04";"67036716"
"2020-12-23";"28.95";"29.39";"28.05";"28.69";"59334011"
"2020-12-24";"28.80";"29.16";"27.52";"27.75";"26960847"
"2020-12-28";"28.39";"28.59";"25.40";"25.63";"56479896"
"2020-12-29";"25.75";"26.18";"24.34";"24.66";"47786784"
