"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"27.19";"27.49";"27.15";"27.45";"28288419"
"2018-03-05";"27.34";"27.81";"27.27";"27.72";"25551972"
"2018-03-06";"27.82";"27.87";"27.57";"27.85";"23120081"
"2018-03-07";"27.64";"27.96";"27.61";"27.88";"24475466"
"2018-03-08";"27.88";"28.03";"27.61";"28.03";"26170827"
"2018-03-09";"28.07";"28.11";"27.81";"27.98";"24918059"
"2018-03-12";"27.98";"28.37";"27.98";"28.22";"29531830"
"2018-03-13";"28.36";"28.56";"28.14";"28.24";"25400430"
"2018-03-14";"28.39";"28.39";"27.92";"27.97";"24633352"
"2018-03-15";"28.01";"28.16";"27.95";"27.98";"28968251"
"2018-03-16";"28.01";"28.20";"27.87";"27.95";"49124688"
"2018-03-19";"27.93";"28.02";"27.55";"27.63";"26000701"
"2018-03-20";"27.70";"27.81";"27.33";"27.45";"26701506"
"2018-03-21";"27.45";"27.57";"27.19";"27.19";"23086933"
"2018-03-22";"27.15";"27.22";"26.71";"26.71";"37332951"
"2018-03-23";"26.71";"27.18";"26.10";"26.21";"46377588"
"2018-03-26";"26.48";"26.65";"26.01";"26.20";"41696186"
"2018-03-27";"26.32";"26.59";"26.20";"26.36";"44834239"
"2018-03-28";"26.65";"27.08";"26.62";"26.86";"40397014"
"2018-03-29";"26.95";"27.11";"26.45";"26.93";"36495911"
"2018-04-02";"26.87";"26.93";"26.31";"26.51";"38704405"
"2018-04-03";"26.56";"26.75";"26.32";"26.71";"28969611"
"2018-04-04";"26.47";"27.15";"26.42";"27.10";"27224293"
"2018-04-05";"27.14";"27.35";"26.95";"27.30";"22644810"
"2018-04-06";"27.20";"27.34";"26.75";"26.91";"33255979"
"2018-04-09";"26.62";"26.96";"26.48";"26.56";"28969575"
"2018-04-10";"26.68";"27.48";"26.47";"27.05";"53307821"
"2018-04-11";"26.93";"26.99";"26.57";"26.62";"27865221"
"2018-04-12";"26.75";"26.79";"26.48";"26.56";"29062205"
