"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"21.80";"22.35";"21.53";"22.34";"76243935"
"2018-03-05";"22.16";"22.52";"21.95";"22.22";"57356535"
"2018-03-06";"22.25";"22.42";"21.80";"21.88";"64286160"
"2018-03-07";"21.70";"22.17";"21.45";"22.15";"75109455"
"2018-03-08";"22.19";"22.22";"21.75";"21.94";"53493660"
"2018-03-09";"21.61";"21.90";"21.49";"21.81";"82601460"
"2018-03-12";"21.91";"23.15";"21.77";"23.03";"123960525"
"2018-03-13";"22.99";"23.01";"22.42";"22.79";"89487075"
"2018-03-14";"22.45";"22.65";"21.60";"21.78";"119510550"
"2018-03-15";"21.96";"22.19";"21.41";"21.71";"98472015"
"2018-03-16";"21.73";"21.83";"21.27";"21.42";"91759185"
"2018-03-19";"21.10";"21.38";"20.64";"20.90";"112264410"
"2018-03-20";"20.99";"21.08";"20.58";"20.70";"71273145"
"2018-03-21";"20.68";"21.50";"20.68";"21.10";"89376165"
"2018-03-22";"20.93";"21.25";"20.55";"20.61";"74096565"
"2018-03-23";"20.75";"20.77";"20.03";"20.10";"99823485"
"2018-03-26";"20.49";"20.51";"19.42";"20.28";"125627625"
"2018-03-27";"20.27";"20.28";"18.48";"18.61";"208080435"
"2018-03-28";"17.64";"17.91";"16.81";"17.19";"315021555"
"2018-03-29";"17.10";"18.06";"16.55";"17.74";"227402880"
"2018-04-02";"17.08";"17.36";"16.31";"16.83";"241709520"
"2018-04-03";"17.99";"18.22";"16.97";"17.84";"282575760"
"2018-04-04";"16.85";"19.22";"16.80";"19.13";"298196565"
"2018-04-05";"19.29";"20.42";"19.21";"20.38";"286816515"
"2018-04-06";"20.07";"20.62";"19.70";"19.95";"202804290"
"2018-04-09";"20.02";"20.63";"19.28";"19.31";"153747075"
"2018-04-10";"19.93";"20.47";"19.58";"20.31";"165363885"
"2018-04-11";"20.05";"20.60";"19.98";"20.06";"112244175"
"2018-04-12";"20.15";"20.26";"19.58";"19.61";"114131535"
"2018-04-13";"20.24";"20.26";"19.73";"20.02";"109758345"
"2018-04-16";"19.93";"19.98";"19.27";"19.41";"95077320"
"2018-04-17";"19.26";"19.48";"18.83";"19.18";"105000345"
"2018-04-18";"19.41";"20.02";"19.21";"19.56";"98365500"
"2018-04-19";"19.41";"20.07";"19.24";"20.01";"91358985"
"2018-04-20";"19.68";"20.00";"19.32";"19.35";"84418920"
