"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"47.83";"48.33";"47.76";"48.26";"17450057"
"2018-03-05";"48.15";"48.94";"48.02";"48.71";"15348934"
"2018-03-06";"48.75";"48.89";"48.30";"48.89";"13527032"
"2018-03-07";"48.54";"49.21";"48.46";"48.84";"16738162"
"2018-03-08";"48.89";"49.03";"48.32";"49.01";"17038631"
"2018-03-09";"49.20";"49.23";"48.35";"49.01";"14927248"
"2018-03-12";"49.03";"49.26";"48.67";"48.80";"12526292"
"2018-03-13";"49.00";"49.26";"48.50";"48.65";"12840668"
"2018-03-14";"48.93";"49.10";"48.36";"48.45";"11930614"
"2018-03-15";"48.53";"48.77";"48.14";"48.29";"9537580"
"2018-03-16";"48.41";"48.78";"48.22";"48.56";"26838258"
"2018-03-19";"48.53";"48.61";"48.12";"48.31";"12981013"
"2018-03-20";"48.40";"48.59";"47.58";"47.69";"10765577"
"2018-03-21";"47.69";"47.96";"47.27";"47.28";"11062536"
"2018-03-22";"47.10";"47.52";"46.77";"46.88";"14270913"
"2018-03-23";"47.06";"47.46";"46.20";"46.29";"15955306"
"2018-03-26";"46.78";"47.17";"46.59";"47.07";"15435826"
"2018-03-27";"47.10";"47.90";"46.84";"47.31";"14545117"
"2018-03-28";"47.89";"48.56";"47.83";"48.00";"17728873"
"2018-03-29";"48.20";"48.73";"47.57";"47.82";"17306131"
"2018-04-02";"47.62";"47.94";"46.72";"47.16";"16511251"
"2018-04-03";"47.22";"47.53";"46.71";"47.50";"14841786"
"2018-04-04";"47.16";"47.99";"46.90";"47.93";"12377358"
"2018-04-05";"47.98";"48.35";"47.68";"48.24";"13201663"
"2018-04-06";"48.10";"48.28";"47.27";"47.48";"16071605"
"2018-04-09";"47.03";"47.50";"46.80";"46.92";"13475616"
"2018-04-10";"47.20";"48.97";"46.99";"48.27";"24445329"
"2018-04-11";"47.93";"47.99";"47.48";"47.58";"11696789"
"2018-04-12";"47.87";"48.14";"47.44";"47.74";"8838074"
"2018-04-13";"47.91";"47.98";"47.51";"47.66";"7302158"
"2018-04-16";"47.95";"48.46";"47.86";"48.39";"8886799"
"2018-04-17";"48.59";"49.04";"48.31";"48.85";"11575594"
"2018-04-18";"49.00";"49.06";"48.57";"48.62";"8348254"
"2018-04-19";"48.60";"48.96";"48.38";"48.43";"11174380"
"2018-04-20";"48.31";"48.62";"47.21";"47.90";"18224850"
