"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"87.27";"88.90";"87.24";"88.77";"19043794"
"2018-03-05";"88.14";"90.50";"88.10";"89.98";"13383318"
"2018-03-06";"90.35";"90.50";"88.63";"89.06";"11054882"
"2018-03-07";"87.98";"88.53";"87.34";"87.74";"11453139"
"2018-03-08";"87.77";"88.13";"87.34";"87.92";"9589076"
"2018-03-09";"88.24";"88.72";"87.53";"88.72";"9754657"
"2018-03-12";"88.70";"89.44";"87.88";"88.07";"8474326"
"2018-03-13";"88.39";"88.90";"87.98";"88.30";"7173044"
"2018-03-14";"88.51";"88.99";"87.50";"87.67";"11041251"
"2018-03-15";"87.68";"88.79";"85.90";"87.51";"16615379"
"2018-03-16";"87.72";"90.09";"87.50";"89.17";"28396192"
"2018-03-19";"88.91";"89.08";"87.10";"87.45";"12053385"
"2018-03-20";"87.86";"88.15";"87.37";"87.95";"8258049"
"2018-03-21";"87.89";"89.68";"87.68";"88.18";"11836313"
"2018-03-22";"87.53";"88.27";"86.99";"87.14";"12248319"
"2018-03-23";"87.35";"87.74";"85.28";"85.42";"10125550"
"2018-03-26";"86.22";"87.69";"86.11";"87.50";"9200077"
"2018-03-27";"87.96";"88.04";"85.48";"86.05";"6545874"
"2018-03-28";"86.26";"88.24";"86.19";"87.77";"11576775"
"2018-03-29";"87.90";"89.34";"87.77";"88.97";"9274765"
"2018-04-02";"88.00";"88.24";"84.84";"85.55";"19129093"
"2018-04-03";"86.25";"86.95";"85.55";"86.80";"9695526"
"2018-04-04";"85.60";"87.50";"85.44";"87.22";"6537078"
"2018-04-05";"87.60";"88.35";"87.05";"87.81";"6381137"
"2018-04-06";"86.83";"87.90";"86.13";"86.69";"6350513"
"2018-04-09";"86.85";"87.45";"86.24";"86.28";"8368267"
"2018-04-10";"86.84";"87.10";"85.66";"86.45";"9728248"
"2018-04-11";"86.00";"86.86";"85.80";"85.91";"6279111"
"2018-04-12";"86.19";"86.83";"85.41";"85.43";"6856520"
"2018-04-13";"85.89";"86.27";"85.19";"86.02";"7559275"
"2018-04-16";"86.20";"87.65";"86.12";"86.84";"7020774"
"2018-04-17";"87.48";"88.17";"87.41";"87.90";"6802092"
"2018-04-18";"88.20";"88.56";"87.51";"87.57";"5854175"
"2018-04-19";"87.41";"88.04";"86.58";"87.89";"6588748"
"2018-04-20";"87.87";"88.38";"86.67";"86.98";"8324922"
"2018-04-23";"86.89";"87.08";"86.02";"86.10";"7360504"
"2018-04-24";"86.77";"86.91";"85.57";"86.53";"8469815"
"2018-04-25";"86.32";"87.70";"85.89";"87.17";"6760552"
"2018-04-26";"87.17";"88.32";"86.90";"87.94";"5782749"
"2018-04-27";"87.87";"87.90";"87.08";"87.29";"5651405"
"2018-04-30";"87.94";"89.66";"87.92";"88.46";"8686576"
"2018-05-01";"87.67";"88.01";"86.35";"87.41";"6957765"
"2018-05-02";"87.13";"87.25";"86.16";"86.34";"6083160"
"2018-05-03";"86.19";"86.29";"85.12";"86.23";"6876305"
"2018-05-04";"86.00";"88.10";"85.36";"87.53";"6971589"
"2018-05-07";"87.49";"87.50";"85.27";"85.47";"10783784"
"2018-05-08";"85.52";"85.85";"84.92";"85.74";"6551639"
"2018-05-09";"82.56";"83.68";"82.00";"83.06";"32266833"
"2018-05-10";"82.64";"83.77";"82.01";"82.69";"15857714"
"2018-05-11";"82.69";"83.52";"81.95";"83.38";"9934881"
"2018-05-14";"83.89";"84.79";"83.65";"84.39";"9499441"
"2018-05-15";"84.06";"84.88";"83.80";"84.52";"9323125"
"2018-05-16";"84.87";"86.63";"84.74";"86.13";"13733818"
"2018-05-17";"87.04";"87.59";"83.85";"84.49";"29720842"
"2018-05-18";"84.24";"84.44";"83.49";"83.64";"12043347"
"2018-05-21";"84.14";"84.54";"83.82";"84.51";"10715852"
"2018-05-22";"84.50";"84.81";"83.29";"83.37";"8067450"
"2018-05-23";"82.95";"83.02";"82.17";"83.01";"9399388"
"2018-05-24";"83.00";"83.00";"81.78";"82.85";"8576328"
"2018-05-25";"82.85";"83.34";"82.32";"82.46";"5913639"
"2018-05-29";"81.96";"82.52";"81.81";"82.40";"8428200"
"2018-05-30";"82.45";"84.23";"82.26";"84.12";"9314450"
"2018-05-31";"83.94";"84.31";"82.51";"82.54";"11468811"
"2018-06-01";"83.04";"83.42";"82.85";"82.99";"5237980"
"2018-06-04";"83.50";"85.52";"83.30";"85.42";"10922101"
"2018-06-05";"85.45";"85.47";"84.25";"84.62";"8281649"
"2018-06-06";"84.95";"85.15";"84.35";"84.56";"7362887"
"2018-06-07";"84.78";"85.76";"84.69";"84.95";"7705910"
"2018-06-08";"84.78";"85.19";"84.14";"84.36";"7602682"
"2018-06-11";"84.41";"84.54";"83.79";"84.30";"6252424"
"2018-06-12";"84.32";"84.59";"83.47";"84.10";"8061910"
"2018-06-13";"83.89";"84.37";"83.85";"84.09";"6358524"
"2018-06-14";"84.22";"84.81";"83.67";"83.79";"7517667"
"2018-06-15";"83.50";"83.99";"83.06";"83.70";"12503163"
"2018-06-18";"83.05";"83.57";"82.82";"83.00";"8502525"
"2018-06-19";"82.60";"83.62";"82.37";"83.61";"9352554"
"2018-06-20";"83.71";"83.82";"83.16";"83.61";"7967119"
"2018-06-21";"83.40";"84.55";"82.90";"84.21";"8092203"
"2018-06-22";"84.46";"84.85";"84.10";"84.82";"11007848"
"2018-06-25";"84.59";"86.60";"84.48";"86.47";"15939582"
"2018-06-26";"86.53";"87.05";"85.76";"85.98";"10126167"
"2018-06-27";"85.90";"87.49";"85.55";"86.89";"10299755"
"2018-06-28";"86.85";"87.29";"85.69";"85.86";"8467165"
"2018-06-29";"85.90";"86.20";"85.52";"85.65";"8260430"
"2018-07-02";"85.65";"85.94";"83.40";"84.00";"8125252"
"2018-07-03";"84.09";"85.05";"84.09";"84.44";"4396340"
"2018-07-05";"84.94";"85.58";"84.27";"84.57";"5368191"
"2018-07-06";"84.20";"84.87";"83.82";"84.51";"5624094"
"2018-07-09";"85.00";"86.47";"84.77";"85.93";"6575543"
"2018-07-10";"85.93";"87.33";"85.88";"87.21";"6049206"
"2018-07-11";"87.06";"87.15";"86.39";"86.53";"5595987"
"2018-07-12";"86.94";"87.41";"86.22";"86.52";"4889127"
"2018-07-13";"86.52";"87.99";"86.50";"87.70";"6394544"
"2018-07-16";"87.62";"87.72";"86.83";"87.64";"4447326"
"2018-07-17";"87.40";"88.70";"87.40";"88.19";"5912129"
"2018-07-18";"88.33";"89.19";"87.94";"88.07";"5045533"
"2018-07-19";"87.86";"88.48";"87.41";"87.72";"4883136"
"2018-07-20";"87.40";"88.17";"87.20";"88.06";"4821930"
"2018-07-23";"87.65";"88.15";"87.38";"87.63";"4150381"
"2018-07-24";"88.12";"88.50";"87.61";"87.96";"5589581"
"2018-07-25";"87.27";"88.02";"87.11";"87.90";"5797991"
"2018-07-26";"88.50";"89.43";"88.18";"88.23";"6548549"
"2018-07-27";"88.64";"88.88";"88.03";"88.13";"4679772"
"2018-07-30";"88.00";"88.94";"88.00";"88.88";"6010840"
"2018-07-31";"89.00";"89.66";"88.80";"89.23";"6708627"
"2018-08-01";"88.86";"89.13";"87.88";"88.24";"5051841"
"2018-08-02";"87.94";"88.84";"87.62";"88.76";"4307978"
"2018-08-03";"89.19";"90.28";"89.00";"89.60";"5747557"
"2018-08-06";"89.31";"89.98";"89.13";"89.67";"4651745"
"2018-08-07";"89.83";"90.36";"89.65";"89.77";"4526781"
"2018-08-08";"89.97";"90.23";"89.37";"90.05";"5041974"
"2018-08-09";"89.46";"89.63";"88.76";"89.01";"4727973"
"2018-08-10";"88.70";"90.37";"88.65";"90.18";"8246355"
"2018-08-13";"90.20";"90.54";"89.37";"89.64";"5879647"
"2018-08-14";"89.64";"91.12";"89.63";"90.85";"5836931"
"2018-08-15";"90.25";"90.41";"89.67";"90.22";"8617009"
"2018-08-16";"100.11";"100.21";"97.91";"98.64";"42632188"
"2018-08-17";"97.77";"99.67";"97.61";"97.85";"16466012"
"2018-08-20";"97.67";"98.29";"95.95";"96.00";"12679493"
"2018-08-21";"95.96";"96.36";"95.36";"96.08";"10531332"
"2018-08-22";"96.20";"96.85";"95.23";"95.67";"7765971"
"2018-08-23";"95.50";"95.86";"95.06";"95.18";"6096530"
"2018-08-24";"95.09";"95.66";"94.35";"94.95";"8594914"
"2018-08-27";"95.26";"95.61";"94.29";"94.54";"7041136"
"2018-08-28";"94.77";"96.35";"94.53";"96.07";"9983068"
"2018-08-29";"96.28";"96.83";"95.53";"95.64";"7863532"
"2018-08-30";"95.50";"96.50";"95.45";"96.10";"7058811"
"2018-08-31";"96.19";"96.44";"95.11";"95.86";"6324914"
"2018-09-04";"95.80";"96.27";"95.24";"95.36";"8280843"
"2018-09-05";"95.67";"96.83";"95.36";"96.62";"9475108"
"2018-09-06";"96.53";"96.72";"96.01";"96.45";"6150948"
"2018-09-07";"95.80";"96.48";"95.64";"95.83";"6672542"
"2018-09-10";"96.11";"97.19";"96.09";"96.90";"8332713"
"2018-09-11";"97.27";"97.66";"96.49";"96.64";"6464535"
"2018-09-12";"96.26";"96.74";"95.93";"95.97";"5900527"
"2018-09-13";"95.32";"95.62";"94.91";"95.12";"7653425"
"2018-09-14";"94.53";"94.84";"94.35";"94.59";"6319771"
"2018-09-17";"94.75";"95.48";"94.37";"94.82";"5329971"
