"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"74.89";"75.87";"74.48";"75.55";"15630450"
"2018-03-05";"75.23";"76.56";"75.18";"76.27";"14891196"
"2018-03-06";"76.67";"76.98";"75.86";"76.18";"10754481"
"2018-03-07";"75.00";"75.24";"73.56";"74.26";"27255663"
"2018-03-08";"74.50";"74.77";"73.69";"74.12";"19299953"
"2018-03-09";"74.82";"75.06";"74.21";"74.56";"19714087"
"2018-03-12";"74.87";"75.58";"74.69";"75.24";"14228207"
"2018-03-13";"75.33";"75.82";"74.25";"74.53";"13739820"
"2018-03-14";"74.64";"74.79";"73.53";"73.60";"14821043"
"2018-03-15";"74.35";"75.00";"74.10";"74.42";"15641805"
"2018-03-16";"74.36";"75.12";"74.36";"75.12";"32110720"
"2018-03-19";"75.00";"75.01";"73.87";"74.15";"12745281"
"2018-03-20";"74.22";"74.70";"73.95";"73.99";"13003915"
"2018-03-21";"74.23";"75.64";"73.98";"75.04";"15419164"
"2018-03-22";"74.42";"74.70";"73.39";"73.50";"17737419"
"2018-03-23";"73.81";"74.21";"72.67";"72.89";"20157446"
"2018-03-26";"73.65";"74.15";"72.75";"74.00";"15032774"
"2018-03-27";"74.00";"74.89";"73.28";"73.70";"15821918"
"2018-03-28";"73.74";"74.01";"72.78";"72.81";"18163930"
"2018-03-29";"73.33";"74.89";"73.26";"74.61";"14883035"
"2018-04-02";"74.27";"74.40";"72.16";"73.22";"17891188"
"2018-04-03";"73.45";"75.14";"73.10";"75.02";"15999292"
"2018-04-04";"74.05";"75.06";"73.44";"74.87";"13122570"
"2018-04-05";"75.06";"76.32";"75.02";"76.02";"14200193"
"2018-04-06";"75.64";"76.12";"74.22";"74.87";"14299737"
"2018-04-09";"75.22";"75.79";"74.80";"74.87";"11103411"
"2018-04-10";"76.08";"77.77";"76.06";"77.07";"19292676"
"2018-04-11";"77.11";"78.04";"76.75";"77.43";"13734167"
"2018-04-12";"77.86";"78.14";"77.01";"77.22";"13270670"
"2018-04-13";"77.80";"78.19";"77.60";"77.84";"10925466"
"2018-04-16";"78.12";"79.09";"77.71";"78.54";"10743981"
"2018-04-17";"78.54";"78.76";"78.04";"78.33";"10480097"
"2018-04-18";"79.04";"79.76";"78.94";"79.22";"12061443"
"2018-04-19";"79.32";"79.82";"78.81";"79.42";"11291501"
"2018-04-20";"79.32";"79.40";"78.34";"79.00";"12072446"
"2018-04-23";"78.92";"79.60";"78.75";"79.57";"11730130"
"2018-04-24";"79.80";"79.93";"77.97";"78.35";"14102128"
"2018-04-25";"78.20";"79.62";"77.49";"79.50";"13867601"
"2018-04-26";"79.60";"80.90";"79.53";"80.86";"14554609"
"2018-04-27";"76.95";"78.65";"76.48";"77.79";"16347543"
"2018-04-30";"77.91";"78.56";"77.74";"77.75";"15028982"
"2018-05-01";"77.26";"77.26";"75.98";"76.95";"16233235"
"2018-05-02";"76.45";"77.23";"76.30";"76.80";"13883813"
"2018-05-03";"76.39";"76.61";"75.40";"76.54";"12243356"
"2018-05-04";"76.13";"77.22";"75.94";"76.90";"9887200"
"2018-05-07";"77.74";"79.08";"77.40";"77.74";"15071934"
"2018-05-08";"77.80";"78.16";"76.37";"78.09";"17430840"
"2018-05-09";"78.98";"80.24";"78.95";"79.93";"17142145"
"2018-05-10";"80.64";"81.79";"80.50";"81.72";"17710430"
"2018-05-11";"81.18";"81.97";"80.91";"81.28";"14751056"
"2018-05-14";"81.70";"82.32";"81.61";"81.83";"11772998"
"2018-05-15";"81.85";"82.03";"81.40";"81.79";"12596136"
"2018-05-16";"81.76";"82.05";"81.17";"82.02";"9570065"
"2018-05-17";"82.20";"82.28";"81.44";"81.88";"11224318"
"2018-05-18";"81.55";"81.80";"81.26";"81.30";"10031481"
"2018-05-21";"81.73";"82.35";"81.52";"82.28";"8822392"
"2018-05-22";"82.44";"82.65";"81.35";"81.64";"10753546"
