"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"7099.54";"7267.19";"7084.83";"7257.87";"2287320000"
"2018-03-05";"7222.89";"7350.07";"7205.31";"7330.71";"2066350000"
"2018-03-06";"7366.61";"7378.03";"7319.68";"7372.01";"2112570000"
"2018-03-07";"7311.74";"7403.79";"7311.74";"7396.65";"2192230000"
"2018-03-08";"7422.77";"7435.01";"7391.50";"7427.95";"2272110000"
"2018-03-09";"7475.98";"7560.81";"7469.03";"7560.81";"2302930000"
"2018-03-12";"7581.04";"7609.10";"7563.44";"7588.32";"2294440000"
"2018-03-13";"7627.52";"7637.27";"7492.98";"7511.01";"2448830000"
"2018-03-14";"7539.78";"7544.89";"7473.90";"7496.81";"2104450000"
"2018-03-15";"7509.24";"7525.44";"7463.19";"7481.74";"1991570000"
"2018-03-16";"7504.37";"7514.21";"7473.68";"7481.99";"3046990000"
"2018-03-19";"7419.20";"7421.23";"7285.27";"7344.24";"2327430000"
"2018-03-20";"7353.25";"7380.74";"7331.24";"7364.30";"1967690000"
"2018-03-21";"7347.50";"7415.66";"7325.35";"7345.29";"1988390000"
"2018-03-22";"7257.55";"7303.19";"7164.38";"7166.68";"2347160000"
"2018-03-23";"7170.68";"7194.31";"6992.67";"6992.67";"2390410000"
"2018-03-26";"7125.20";"7225.83";"7022.34";"7220.54";"2326060000"
"2018-03-27";"7255.47";"7255.54";"6963.68";"7008.81";"2325990000"
"2018-03-28";"6978.30";"7036.09";"6901.07";"6949.23";"2518670000"
"2018-03-29";"6984.66";"7120.46";"6935.78";"7063.45";"2554500000"
"2018-04-02";"7016.17";"7044.71";"6805.96";"6870.12";"2394730000"
"2018-04-03";"6924.35";"6963.71";"6835.23";"6941.28";"2328510000"
"2018-04-04";"6811.77";"7059.29";"6811.77";"7042.11";"2254070000"
"2018-04-05";"7099.25";"7112.38";"7036.62";"7076.55";"2124660000"
"2018-04-06";"6999.57";"7066.64";"6877.76";"6915.11";"2350540000"
"2018-04-09";"6971.45";"7074.95";"6944.96";"6950.34";"2080900000"
"2018-04-10";"7060.99";"7117.98";"7014.88";"7094.30";"2238770000"
"2018-04-11";"7055.00";"7128.54";"7055.00";"7069.03";"1852120000"
"2018-04-12";"7112.02";"7166.00";"7105.09";"7140.25";"2021110000"
"2018-04-13";"7179.62";"7183.62";"7078.14";"7106.65";"1743640000"
"2018-04-16";"7153.87";"7178.51";"7115.85";"7156.28";"1795950000"
"2018-04-17";"7215.12";"7298.59";"7206.55";"7281.10";"1913230000"
"2018-04-18";"7292.38";"7319.58";"7259.90";"7295.24";"1893220000"
"2018-04-19";"7258.61";"7277.45";"7215.17";"7238.06";"1963950000"
"2018-04-20";"7220.64";"7222.99";"7123.49";"7146.13";"1921790000"
"2018-04-23";"7173.99";"7195.72";"7094.43";"7128.60";"1737370000"
"2018-04-24";"7160.77";"7171.67";"6961.52";"7007.35";"2149250000"
"2018-04-25";"7009.99";"7030.74";"6926.97";"7003.74";"2026690000"
"2018-04-26";"7080.49";"7143.94";"7055.66";"7118.68";"2127140000"
"2018-04-27";"7195.52";"7197.15";"7083.95";"7119.80";"2027530000"
"2018-04-30";"7133.95";"7169.80";"7065.41";"7066.27";"1987020000"
"2018-05-01";"7053.65";"7133.27";"7036.18";"7130.70";"1929110000"
"2018-05-02";"7138.45";"7169.46";"7094.72";"7100.90";"2144200000"
"2018-05-03";"7065.03";"7112.59";"6991.14";"7088.15";"2345740000"
"2018-05-04";"7065.67";"7228.26";"7057.89";"7209.62";"2022230000"
"2018-05-07";"7241.82";"7291.74";"7235.76";"7265.21";"1939980000"
"2018-05-08";"7255.34";"7278.81";"7224.70";"7266.90";"2054830000"
"2018-05-09";"7281.53";"7344.80";"7259.05";"7339.91";"2241480000"
"2018-05-10";"7355.90";"7414.15";"7353.63";"7404.97";"2233460000"
"2018-05-11";"7393.97";"7417.67";"7372.26";"7402.88";"2083030000"
"2018-05-14";"7429.45";"7458.42";"7401.89";"7411.32";"2075670000"
"2018-05-15";"7361.30";"7363.52";"7320.97";"7351.63";"2114040000"
"2018-05-16";"7356.22";"7413.32";"7356.16";"7398.30";"2083660000"
"2018-05-17";"7379.58";"7425.39";"7350.46";"7382.47";"1931700000"
"2018-05-18";"7364.34";"7381.16";"7343.97";"7354.34";"1966710000"
"2018-05-21";"7406.34";"7431.83";"7368.21";"7394.04";"1949100000"
"2018-05-22";"7420.85";"7432.53";"7370.33";"7378.46";"1908280000"
"2018-05-23";"7335.03";"7426.78";"7334.62";"7425.96";"1980450000"
"2018-05-24";"7421.99";"7435.38";"7357.50";"7424.43";"1992460000"
"2018-05-25";"7422.20";"7452.85";"7415.58";"7433.85";"1757660000"
"2018-05-29";"7398.51";"7435.13";"7354.29";"7396.59";"2087370000"
"2018-05-30";"7428.41";"7473.81";"7423.67";"7462.45";"2049450000"
"2018-05-31";"7455.58";"7492.42";"7431.41";"7442.12";"2514610000"
"2018-06-01";"7487.66";"7557.38";"7487.23";"7554.33";"2208600000"
"2018-06-04";"7570.08";"7607.17";"7561.20";"7606.46";"2142790000"
"2018-06-05";"7621.36";"7644.48";"7602.38";"7637.86";"2058630000"
"2018-06-06";"7652.80";"7691.65";"7622.31";"7689.24";"2191750000"
"2018-06-07";"7697.41";"7697.41";"7597.66";"7635.07";"2328280000"
"2018-06-08";"7607.74";"7653.58";"7595.14";"7645.51";"1941580000"
"2018-06-11";"7647.24";"7677.29";"7642.87";"7659.93";"1942940000"
"2018-06-12";"7673.87";"7708.25";"7669.53";"7703.79";"2006760000"
"2018-06-13";"7713.90";"7748.96";"7686.65";"7695.70";"2172770000"
"2018-06-14";"7723.53";"7768.60";"7723.53";"7761.04";"2188230000"
"2018-06-15";"7725.03";"7755.72";"7704.34";"7746.38";"3043790000"
"2018-06-18";"7692.96";"7749.36";"7676.83";"7747.03";"2093950000"
"2018-06-19";"7658.47";"7727.41";"7635.73";"7725.59";"2269000000"
"2018-06-20";"7764.15";"7806.60";"7755.48";"7781.51";"2305100000"
"2018-06-21";"7800.30";"7803.45";"7699.20";"7712.95";"2315880000"
"2018-06-22";"7739.69";"7739.71";"7679.12";"7692.82";"3928340000"
"2018-06-25";"7631.12";"7639.73";"7477.73";"7532.01";"2415090000"
"2018-06-26";"7553.74";"7597.49";"7527.00";"7561.63";"2058640000"
"2018-06-27";"7586.33";"7610.67";"7444.17";"7445.08";"2306430000"
"2018-06-28";"7438.11";"7526.07";"7419.56";"7503.68";"2195400000"
"2018-06-29";"7544.13";"7573.59";"7502.95";"7510.30";"2192010000"
"2018-07-02";"7451.90";"7568.10";"7443.10";"7567.69";"1767910000"
"2018-07-03";"7593.63";"7594.33";"7498.50";"7502.67";"1179310000"
"2018-07-05";"7550.66";"7589.19";"7511.43";"7586.43";"1745030000"
"2018-07-06";"7595.93";"7695.81";"7588.65";"7688.39";"1704580000"
"2018-07-09";"7731.74";"7757.28";"7702.06";"7756.20";"1837330000"
"2018-07-10";"7770.63";"7777.48";"7731.98";"7759.20";"1725210000"
"2018-07-11";"7698.51";"7748.16";"7696.58";"7716.61";"1761420000"
"2018-07-12";"7752.71";"7825.67";"7746.76";"7823.92";"1926110000"
"2018-07-13";"7827.62";"7843.52";"7803.34";"7825.98";"1714140000"
"2018-07-16";"7831.74";"7838.82";"7791.98";"7805.72";"1730190000"
"2018-07-17";"7751.97";"7867.15";"7749.61";"7855.12";"1740680000"
"2018-07-18";"7859.43";"7863.77";"7822.83";"7854.44";"1857670000"
"2018-07-19";"7829.80";"7849.85";"7811.15";"7825.30";"1853030000"
"2018-07-20";"7843.08";"7860.25";"7815.86";"7820.20";"1786250000"
"2018-07-23";"7806.93";"7846.76";"7776.55";"7841.87";"1654290000"
"2018-07-24";"7914.35";"7928.79";"7814.33";"7840.77";"2014850000"
"2018-07-25";"7839.09";"7933.31";"7838.76";"7932.24";"1902790000"
"2018-07-26";"7848.04";"7881.30";"7834.08";"7852.18";"2263070000"
"2018-07-27";"7889.75";"7889.75";"7698.96";"7737.42";"2176170000"
"2018-07-30";"7735.27";"7740.26";"7604.24";"7630.00";"2143410000"
