"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"61.34";"61.60";"60.13";"61.25";"613514"
"2018-03-05";"61.55";"62.79";"61.10";"62.57";"599266"
"2018-03-06";"62.58";"63.28";"62.17";"62.60";"634953"
"2018-03-07";"62.30";"62.58";"60.58";"61.15";"879119"
"2018-03-08";"61.33";"61.40";"59.95";"60.12";"720510"
"2018-03-09";"60.27";"62.18";"60.14";"62.04";"659722"
"2018-03-12";"62.10";"62.33";"60.67";"61.36";"537990"
"2018-03-13";"61.37";"61.97";"60.27";"60.71";"747738"
"2018-03-14";"60.87";"61.33";"60.11";"60.96";"665017"
"2018-03-15";"60.95";"61.54";"60.82";"61.19";"430201"
"2018-03-16";"61.19";"62.54";"61.08";"62.34";"202493"
"2018-03-19";"62.23";"62.35";"61.36";"62.06";"115962"
"2018-03-20";"62.10";"63.81";"62.08";"63.40";"717709"
"2018-03-21";"63.72";"65.55";"63.58";"65.17";"763768"
"2018-03-22";"65.50";"65.74";"64.14";"64.30";"689172"
"2018-03-23";"64.28";"66.00";"64.11";"65.88";"752994"
"2018-03-26";"65.90";"66.55";"65.08";"65.55";"585899"
"2018-03-27";"65.53";"66.41";"64.53";"65.25";"670811"
"2018-03-28";"64.70";"65.13";"63.72";"64.38";"697678"
"2018-03-29";"64.69";"65.26";"64.16";"64.94";"562819"
"2018-04-02";"64.91";"65.42";"62.80";"63.01";"582742"
"2018-04-03";"62.89";"63.86";"62.86";"63.51";"527289"
"2018-04-04";"63.59";"63.64";"62.06";"63.37";"760596"
"2018-04-05";"63.60";"64.12";"63.07";"63.54";"588597"
"2018-04-06";"63.70";"63.79";"61.81";"62.06";"753262"
"2018-04-09";"62.00";"63.61";"61.93";"63.42";"655831"
"2018-04-10";"63.30";"65.86";"63.20";"65.51";"840280"
"2018-04-11";"65.59";"67.45";"65.15";"66.82";"963017"
"2018-04-12";"66.75";"67.33";"66.00";"67.07";"687468"
"2018-04-13";"67.18";"67.76";"66.70";"67.39";"624203"
"2018-04-16";"67.24";"67.74";"66.13";"66.22";"560076"
"2018-04-17";"66.42";"66.75";"65.56";"66.52";"486076"
"2018-04-18";"66.68";"68.91";"66.56";"68.47";"221664"
"2018-04-19";"68.75";"69.56";"67.98";"68.29";"125993"
"2018-04-20";"68.26";"68.62";"67.50";"68.38";"724906"
"2018-04-23";"68.22";"69.03";"67.14";"68.64";"740941"
"2018-04-24";"68.95";"69.38";"67.54";"67.70";"832296"
"2018-04-25";"67.75";"68.18";"67.11";"68.05";"764049"
"2018-04-26";"68.03";"68.78";"67.71";"68.19";"660549"
"2018-04-27";"68.21";"68.36";"67.64";"68.10";"542549"
"2018-04-30";"68.15";"69.34";"67.17";"68.57";"755186"
"2018-05-01";"68.56";"68.90";"66.85";"67.25";"694771"
"2018-05-02";"67.49";"68.14";"66.92";"67.93";"789367"
"2018-05-03";"67.68";"68.60";"67.21";"68.43";"691219"
"2018-05-04";"68.50";"69.97";"68.12";"69.72";"690876"
"2018-05-07";"69.85";"70.84";"69.51";"70.73";"758916"
"2018-05-08";"70.03";"70.40";"67.63";"69.06";"1253566"
"2018-05-09";"70.05";"71.36";"69.85";"71.14";"863386"
"2018-05-10";"71.23";"71.89";"70.56";"71.36";"749808"
"2018-05-11";"71.45";"71.63";"70.45";"70.70";"634145"
"2018-05-14";"70.54";"71.26";"70.26";"70.96";"592826"
"2018-05-15";"71.15";"71.92";"70.42";"71.31";"815289"
"2018-05-16";"71.02";"71.59";"70.66";"71.49";"574279"
"2018-05-17";"71.56";"72.30";"71.09";"71.49";"562639"
"2018-05-18";"71.60";"71.75";"70.99";"71.28";"211785"
"2018-05-21";"71.47";"72.59";"71.25";"72.24";"119892"
"2018-05-22";"72.53";"72.83";"71.90";"72.13";"723458"
"2018-05-23";"72.11";"72.26";"71.19";"71.84";"702791"
"2018-05-24";"71.83";"72.00";"70.52";"70.71";"640725"
"2018-05-25";"70.65";"70.80";"67.42";"67.88";"955354"
"2018-05-29";"66.49";"67.35";"65.92";"66.73";"1059750"
"2018-05-30";"66.85";"68.67";"66.35";"68.21";"726886"
"2018-05-31";"68.24";"68.30";"66.56";"67.04";"917563"
"2018-06-01";"67.07";"67.34";"65.51";"65.81";"781103"
"2018-06-04";"65.71";"66.04";"64.57";"64.75";"696050"
"2018-06-05";"64.94";"65.57";"64.22";"65.52";"714674"
"2018-06-06";"65.51";"65.96";"64.27";"64.73";"708829"
"2018-06-07";"65.07";"66.07";"64.81";"65.95";"675041"
"2018-06-08";"65.98";"66.24";"65.15";"65.74";"571224"
"2018-06-11";"65.56";"66.35";"64.85";"66.10";"558281"
"2018-06-12";"66.05";"66.70";"65.87";"66.36";"524411"
"2018-06-13";"66.01";"66.89";"65.52";"66.64";"626398"
"2018-06-14";"66.62";"67.16";"66.36";"66.89";"460168"
"2018-06-15";"66.62";"67.16";"64.29";"65.06";"512591"
"2018-06-18";"64.40";"65.98";"63.59";"65.85";"218933"
"2018-06-19";"65.82";"65.90";"64.39";"65.07";"122646"
"2018-06-20";"65.11";"66.53";"65.01";"66.22";"801625"
"2018-06-21";"65.34";"66.22";"64.34";"65.54";"760719"
"2018-06-22";"65.93";"69.38";"65.71";"68.58";"1136232"
"2018-06-25";"68.75";"69.44";"67.78";"68.08";"816207"
"2018-06-26";"68.21";"70.91";"67.72";"70.53";"848537"
"2018-06-27";"70.68";"73.06";"70.56";"72.76";"775155"
"2018-06-28";"72.27";"74.03";"72.20";"73.45";"717347"
"2018-06-29";"73.33";"74.46";"72.93";"74.15";"602399"
"2018-07-02";"73.62";"74.35";"72.51";"73.94";"652167"
"2018-07-03";"74.08";"75.27";"72.73";"74.14";"667235"
"2018-07-05";"74.35";"74.80";"72.53";"72.94";"841632"
"2018-07-06";"73.16";"74.01";"72.14";"73.80";"611419"
"2018-07-09";"73.87";"74.28";"72.99";"73.85";"533003"
"2018-07-10";"74.04";"74.70";"73.65";"74.11";"586829"
"2018-07-11";"74.20";"74.26";"70.02";"70.38";"861726"
"2018-07-12";"70.60";"71.24";"69.23";"70.33";"707887"
"2018-07-13";"70.38";"71.66";"69.84";"71.01";"530277"
"2018-07-16";"70.52";"70.87";"67.58";"68.06";"530480"
"2018-07-17";"68.03";"68.44";"67.03";"68.08";"440727"
"2018-07-18";"67.61";"69.06";"67.04";"68.76";"187313"
"2018-07-19";"69.00";"70.17";"67.80";"69.46";"103220"
"2018-07-20";"69.39";"71.10";"69.37";"70.46";"500967"
"2018-07-23";"68.17";"69.31";"67.60";"67.89";"555915"
"2018-07-24";"67.80";"69.05";"67.56";"68.52";"524591"
"2018-07-25";"68.77";"69.70";"68.20";"69.30";"622913"
"2018-07-26";"69.38";"69.92";"68.92";"69.61";"489059"
"2018-07-27";"69.58";"69.77";"68.26";"68.69";"460450"
"2018-07-30";"69.01";"70.43";"68.80";"70.13";"463011"
"2018-07-31";"70.05";"70.22";"67.98";"68.76";"519070"
"2018-08-01";"68.43";"68.52";"67.31";"67.66";"576561"
"2018-08-02";"67.86";"69.36";"66.92";"68.96";"531071"
"2018-08-03";"68.99";"69.24";"67.87";"68.49";"476615"
"2018-08-06";"68.65";"69.92";"68.50";"69.01";"495605"
"2018-08-07";"68.90";"69.83";"68.81";"69.17";"485027"
"2018-08-08";"69.09";"69.37";"66.32";"66.94";"760313"
"2018-08-09";"66.79";"67.41";"66.49";"66.81";"509401"
"2018-08-10";"66.74";"67.87";"66.14";"67.63";"524490"
"2018-08-13";"67.78";"67.95";"65.71";"67.20";"578219"
"2018-08-14";"67.42";"68.37";"66.58";"67.04";"538484"
"2018-08-15";"66.62";"66.90";"64.51";"65.01";"573473"
"2018-08-16";"64.95";"65.52";"64.43";"65.46";"383380"
"2018-08-17";"65.47";"66.39";"65.30";"65.91";"171403"
"2018-08-20";"65.91";"66.68";"65.59";"66.43";"112709"
"2018-08-21";"66.62";"68.10";"66.52";"67.35";"437164"
"2018-08-22";"66.08";"68.15";"65.98";"67.86";"581899"
"2018-08-23";"68.07";"68.12";"67.32";"67.83";"450690"
"2018-08-24";"67.90";"69.31";"67.78";"68.72";"517796"
"2018-08-27";"68.57";"68.97";"68.34";"68.87";"332612"
"2018-08-28";"68.93";"69.20";"68.21";"68.53";"426833"
"2018-08-29";"68.54";"69.76";"68.37";"69.51";"497095"
"2018-08-30";"69.71";"70.50";"69.55";"70.25";"445584"
"2018-08-31";"70.06";"70.36";"69.64";"69.80";"419739"
"2018-09-04";"70.12";"71.40";"69.08";"69.87";"785981"
"2018-09-05";"69.43";"69.59";"68.56";"68.72";"542104"
"2018-09-06";"68.64";"69.02";"67.00";"67.77";"633824"
"2018-09-07";"67.88";"68.08";"66.86";"67.75";"530895"
"2018-09-10";"67.82";"68.52";"67.33";"67.54";"571174"
"2018-09-11";"67.53";"70.01";"67.48";"69.25";"676869"
"2018-09-12";"69.89";"71.26";"69.50";"70.37";"800543"
"2018-09-13";"70.24";"70.28";"68.35";"68.59";"684937"
"2018-09-14";"68.79";"69.91";"67.94";"68.99";"611075"
"2018-09-17";"68.93";"69.72";"68.53";"68.91";"422294"
"2018-09-18";"68.80";"70.42";"68.53";"69.85";"234202"
"2018-09-19";"69.71";"71.50";"69.65";"71.12";"125208"
"2018-09-20";"71.39";"71.81";"70.73";"70.80";"607520"
"2018-09-21";"70.20";"71.80";"69.98";"70.78";"855943"
"2018-09-24";"71.14";"72.74";"71.14";"72.08";"576894"
"2018-09-25";"72.25";"72.78";"71.89";"72.28";"551280"
"2018-09-26";"72.09";"72.38";"71.47";"71.57";"464463"
"2018-09-27";"72.01";"72.60";"71.71";"72.12";"454549"
"2018-09-28";"72.18";"73.73";"71.88";"73.25";"544047"
"2018-10-01";"73.29";"75.77";"72.95";"75.30";"601451"
"2018-10-02";"75.42";"75.91";"74.93";"75.23";"463615"
"2018-10-03";"75.12";"76.90";"74.30";"76.41";"698817"
"2018-10-04";"76.18";"76.47";"73.88";"74.33";"687949"
"2018-10-05";"74.67";"75.22";"73.84";"74.34";"613218"
"2018-10-08";"74.40";"74.58";"73.07";"74.29";"554938"
"2018-10-09";"74.21";"75.28";"74.00";"74.96";"623537"
"2018-10-10";"74.66";"75.08";"72.38";"73.17";"652737"
"2018-10-11";"72.68";"72.76";"70.51";"70.97";"783962"
"2018-10-12";"70.99";"72.01";"70.64";"71.34";"626668"
"2018-10-15";"71.85";"72.70";"70.85";"71.78";"568610"
"2018-10-16";"71.72";"72.29";"71.02";"71.92";"535003"
"2018-10-17";"72.17";"72.43";"69.43";"69.75";"651584"
"2018-10-18";"70.03";"70.03";"68.47";"68.65";"215337"
"2018-10-19";"68.68";"69.77";"68.56";"69.12";"108311"
