"Date";"Open";"High";"Low";"Close";"Volume"
"2018-03-02";"1314.30";"1323.20";"1314.30";"1321.10";"155"
"2018-03-05";"1323.50";"1325.90";"1318.10";"1318.10";"18"
"2018-03-06";"1321.60";"1333.60";"1321.40";"1333.60";"18"
"2018-03-07";"1338.10";"1338.10";"1326.00";"1326.00";"27"
"2018-03-08";"1324.80";"1326.80";"1319.30";"1319.90";"62"
"2018-03-09";"1316.80";"1322.40";"1313.00";"1322.40";"88"
"2018-03-12";"1319.40";"1319.40";"1319.40";"1319.40";"0"
"2018-03-13";"1325.90";"1325.90";"1325.30";"1325.90";"13"
"2018-03-14";"1322.20";"1324.40";"1322.20";"1324.40";"19"
"2018-03-15";"1316.80";"1316.80";"1316.80";"1316.80";"0"
"2018-03-16";"1310.10";"1311.30";"1310.10";"1311.30";"34"
"2018-03-19";"1309.40";"1316.90";"1307.30";"1316.80";"6"
"2018-03-20";"1311.10";"1311.10";"1311.10";"1311.10";"4"
"2018-03-21";"1312.40";"1328.80";"1312.40";"1320.70";"34"
"2018-03-22";"1326.60";"1326.60";"1326.60";"1326.60";"0"
"2018-03-23";"1343.20";"1349.30";"1343.20";"1349.30";"8"
"2018-03-26";"1348.50";"1354.40";"1345.10";"1354.40";"10"
"2018-03-27";"1341.00";"1341.30";"1341.00";"1341.30";"290889"
"2018-03-28";"1345.00";"1346.40";"1322.40";"1324.20";"59284"
"2018-03-29";"1324.00";"1327.10";"1321.70";"1322.80";"5585"
"2018-04-02";"1327.00";"1344.20";"1324.70";"1342.10";"649"
"2018-04-03";"1340.40";"1341.50";"1328.50";"1332.80";"702"
"2018-04-04";"1331.80";"1347.30";"1331.60";"1335.80";"718"
"2018-04-05";"1333.50";"1333.70";"1322.60";"1324.30";"258"
"2018-04-06";"1326.50";"1333.00";"1319.00";"1331.90";"348"
"2018-04-09";"1333.00";"1337.50";"1327.00";"1336.30";"290"
"2018-04-10";"1335.20";"1342.00";"1333.00";"1342.00";"105"
"2018-04-11";"1340.10";"1365.40";"1340.10";"1356.50";"118"
"2018-04-12";"1351.20";"1351.50";"1334.60";"1338.40";"34"
"2018-04-13";"1335.90";"1346.00";"1335.90";"1344.80";"67"
"2018-04-16";"1341.00";"1348.80";"1341.00";"1347.50";"60"
"2018-04-17";"1348.00";"1348.10";"1339.00";"1347.20";"409"
"2018-04-18";"1343.50";"1354.20";"1343.50";"1351.20";"45"
"2018-04-19";"1348.60";"1355.20";"1341.60";"1346.80";"387"
"2018-04-20";"1342.50";"1343.40";"1335.30";"1336.70";"310"
"2018-04-23";"1334.00";"1334.40";"1322.50";"1322.50";"68"
"2018-04-24";"1326.40";"1331.70";"1326.20";"1331.40";"28"
"2018-04-25";"1324.00";"1325.00";"1320.00";"1321.20";"278"
"2018-04-26";"1315.70";"1316.30";"1315.70";"1316.30";"569"
"2018-04-27";"1315.30";"1321.70";"1312.80";"1320.30";"622"
"2018-04-30";"1309.60";"1316.20";"1309.60";"1316.20";"49"
"2018-05-01";"1313.20";"1313.80";"1303.40";"1303.80";"28"
"2018-05-02";"1309.00";"1309.30";"1302.60";"1302.60";"23"
"2018-05-03";"1310.70";"1310.70";"1310.70";"1310.70";"4"
"2018-05-04";"1312.70";"1312.70";"1312.70";"1312.70";"0"
"2018-05-07";"1310.60";"1312.50";"1310.20";"1312.20";"4"
"2018-05-08";"1310.10";"1312.00";"1308.50";"1312.00";"337"
"2018-05-09";"1311.30";"1311.30";"1311.30";"1311.30";"70"
"2018-05-10";"1312.20";"1320.80";"1312.20";"1320.80";"8"
"2018-05-11";"1319.00";"1319.00";"1319.00";"1319.00";"3"
"2018-05-14";"1319.90";"1319.90";"1316.50";"1316.50";"4"
"2018-05-15";"1304.60";"1304.70";"1288.90";"1288.90";"8"
"2018-05-16";"1290.90";"1294.00";"1285.40";"1290.20";"26"
"2018-05-17";"1291.30";"1291.30";"1288.20";"1288.20";"2"
"2018-05-18";"1285.20";"1290.20";"1285.20";"1290.20";"2"
"2018-05-21";"1287.40";"1292.10";"1287.40";"1290.20";"52"
"2018-05-22";"1291.70";"1291.70";"1291.70";"1291.70";"50"
"2018-05-23";"1289.30";"1289.30";"1289.30";"1289.30";"10"
"2018-05-24";"1303.70";"1303.70";"1303.70";"1303.70";"0"
"2018-05-25";"1303.30";"1303.30";"1303.30";"1303.30";"1"
"2018-05-29";"1298.70";"1298.70";"1298.70";"1298.70";"386334"
"2018-05-30";"1298.00";"1303.70";"1295.20";"1301.50";"50845"
"2018-05-31";"1301.00";"1306.80";"1296.60";"1300.10";"4082"
"2018-06-01";"1298.60";"1299.50";"1288.90";"1294.80";"663"
"2018-06-04";"1293.90";"1297.10";"1290.00";"1293.10";"144"
"2018-06-05";"1292.10";"1299.80";"1289.90";"1297.50";"357"
"2018-06-06";"1296.10";"1300.40";"1294.10";"1297.10";"373"
"2018-06-07";"1298.40";"1302.80";"1296.20";"1298.70";"79"
"2018-06-08";"1295.30";"1299.40";"1294.80";"1298.10";"650"
"2018-06-11";"1299.30";"1302.00";"1295.20";"1298.90";"71"
"2018-06-12";"1297.80";"1298.10";"1292.70";"1295.10";"153"
"2018-06-13";"1294.00";"1299.40";"1290.90";"1296.90";"135"
"2018-06-14";"1297.20";"1307.70";"1297.20";"1304.00";"42"
"2018-06-15";"1297.20";"1307.70";"1274.00";"1274.60";"589"
"2018-06-18";"1280.70";"1280.70";"1276.20";"1276.20";"35"
"2018-06-19";"1278.70";"1281.80";"1269.90";"1275.60";"34"
"2018-06-20";"1274.40";"1274.40";"1271.20";"1271.20";"7"
"2018-06-21";"1262.70";"1268.90";"1260.00";"1267.20";"46"
"2018-06-22";"1268.10";"1270.20";"1267.00";"1267.40";"74"
"2018-06-25";"1270.60";"1271.20";"1265.60";"1265.60";"37"
"2018-06-26";"1267.20";"1267.20";"1256.60";"1256.60";"89"
"2018-06-27";"1255.50";"1255.50";"1252.30";"1252.80";"1162"
"2018-06-28";"1251.70";"1251.70";"1244.80";"1247.80";"378"
"2018-06-29";"1250.30";"1253.30";"1249.10";"1251.30";"48"
"2018-07-02";"1249.90";"1249.90";"1239.80";"1239.80";"29"
"2018-07-03";"1238.10";"1254.10";"1237.00";"1251.60";"36"
"2018-07-05";"1255.50";"1257.30";"1253.60";"1257.30";"9"
"2018-07-06";"1255.50";"1255.50";"1254.30";"1254.30";"7"
"2018-07-09";"1258.20";"1262.30";"1257.70";"1258.10";"37"
"2018-07-10";"1256.20";"1256.90";"1249.30";"1253.80";"65"
"2018-07-11";"1253.20";"1253.20";"1242.80";"1242.80";"30"
"2018-07-12";"1240.90";"1246.70";"1240.90";"1245.00";"7"
"2018-07-13";"1244.70";"1247.00";"1239.60";"1239.60";"2"
"2018-07-16";"1242.70";"1243.80";"1238.10";"1238.10";"2"
"2018-07-17";"1225.70";"1225.70";"1225.70";"1225.70";"0"
"2018-07-18";"1226.70";"1226.70";"1222.20";"1226.30";"67"
"2018-07-19";"1227.20";"1228.00";"1211.70";"1222.40";"33"
"2018-07-20";"1229.50";"1229.50";"1229.50";"1229.50";"0"
"2018-07-23";"1222.00";"1224.00";"1222.00";"1224.00";"1"
"2018-07-24";"1223.90";"1223.90";"1223.90";"1223.90";"0"
"2018-07-25";"1231.40";"1231.40";"1231.40";"1231.40";"0"
"2018-07-26";"1227.80";"1227.80";"1225.30";"1225.30";"1"
"2018-07-27";"1222.60";"1222.60";"1222.60";"1222.60";"254428"
"2018-07-30";"1222.50";"1223.90";"1218.10";"1221.30";"62239"
"2018-07-31";"1220.40";"1228.10";"1213.00";"1223.70";"2722"
"2018-08-01";"1222.90";"1223.70";"1214.40";"1217.90";"1026"
"2018-08-02";"1214.70";"1219.30";"1205.80";"1210.60";"411"
"2018-08-03";"1206.50";"1218.60";"1205.10";"1214.20";"784"
"2018-08-06";"1214.40";"1214.40";"1206.60";"1208.60";"297"
"2018-08-07";"1207.80";"1214.80";"1207.80";"1209.60";"715"
"2018-08-08";"1212.00";"1215.20";"1205.90";"1212.60";"209"
"2018-08-09";"1214.50";"1215.30";"1211.60";"1211.90";"44"
"2018-08-10";"1212.50";"1216.40";"1205.60";"1211.10";"75"
"2018-08-13";"1207.00";"1207.40";"1191.30";"1191.30";"78"
"2018-08-14";"1193.10";"1197.50";"1192.80";"1193.00";"92"
"2018-08-15";"1187.80";"1188.10";"1174.60";"1177.50";"71"
"2018-08-16";"1173.20";"1180.20";"1161.40";"1176.20";"123"
"2018-08-17";"1174.70";"1181.20";"1174.70";"1176.50";"66"
"2018-08-20";"1184.80";"1190.00";"1184.40";"1186.80";"68"
"2018-08-21";"1189.80";"1192.60";"1189.80";"1192.60";"22"
"2018-08-22";"1194.70";"1196.30";"1194.70";"1196.30";"17"
"2018-08-23";"1189.30";"1190.30";"1184.90";"1187.00";"95"
"2018-08-24";"1185.30";"1208.00";"1185.30";"1206.30";"12"
"2018-08-27";"1210.30";"1211.40";"1205.20";"1209.00";"154"
"2018-08-28";"1209.70";"1217.00";"1202.30";"1207.40";"136"
"2018-08-29";"1205.20";"1205.20";"1202.40";"1204.50";"817"
"2018-08-30";"1205.40";"1205.60";"1196.00";"1197.70";"493"
"2018-08-31";"1207.10";"1208.20";"1199.10";"1200.30";"191"
"2018-09-04";"1193.80";"1193.80";"1189.90";"1192.70";"26"
"2018-09-05";"1192.50";"1196.00";"1192.50";"1194.90";"21"
"2018-09-06";"1202.00";"1202.00";"1197.90";"1197.90";"7"
"2018-09-07";"1198.30";"1198.30";"1193.10";"1193.60";"29"
"2018-09-10";"1193.00";"1193.00";"1193.00";"1193.00";"11"
"2018-09-11";"1190.40";"1196.30";"1190.40";"1195.40";"21"
"2018-09-12";"1205.00";"1205.00";"1204.70";"1204.70";"37"
"2018-09-13";"1203.40";"1203.40";"1200.00";"1202.00";"22"
"2018-09-14";"1195.00";"1195.00";"1195.00";"1195.00";"1"
"2018-09-17";"1199.70";"1199.70";"1199.70";"1199.70";"0"
"2018-09-18";"1198.70";"1198.70";"1196.80";"1196.80";"2"
"2018-09-19";"1202.20";"1202.20";"1202.20";"1202.20";"0"
"2018-09-20";"1206.20";"1206.20";"1206.20";"1206.20";"0"
"2018-09-21";"1196.20";"1196.20";"1196.20";"1196.20";"0"
"2018-09-24";"1199.30";"1199.30";"1199.30";"1199.30";"0"
"2018-09-25";"1202.10";"1202.80";"1200.00";"1200.00";"21"
"2018-09-26";"1194.00";"1194.00";"1194.00";"1194.00";"17857"
"2018-09-27";"1194.60";"1197.30";"1180.50";"1182.30";"4947"
"2018-09-28";"1181.70";"1191.90";"1180.00";"1191.50";"404"
"2018-10-01";"1191.60";"1191.60";"1185.80";"1187.10";"180"
"2018-10-02";"1193.00";"1206.00";"1190.30";"1202.40";"451"
"2018-10-03";"1202.60";"1202.60";"1196.60";"1198.30";"76"
"2018-10-04";"1199.30";"1204.60";"1197.20";"1197.20";"496"
"2018-10-05";"1197.10";"1205.30";"1196.90";"1201.20";"34"
"2018-10-08";"1201.00";"1201.00";"1183.70";"1184.40";"250"
"2018-10-09";"1185.60";"1189.10";"1185.60";"1187.20";"9"
"2018-10-10";"1189.30";"1192.00";"1189.30";"1189.30";"1078"
"2018-10-11";"1198.10";"1224.60";"1196.30";"1223.50";"126"
"2018-10-12";"1221.60";"1221.60";"1216.00";"1218.10";"122"
"2018-10-15";"1222.40";"1232.30";"1222.40";"1226.40";"136"
"2018-10-16";"1227.10";"1230.50";"1227.10";"1227.30";"426"
"2018-10-17";"1225.90";"1225.90";"1223.70";"1223.70";"1"
"2018-10-18";"1226.50";"1226.50";"1226.50";"1226.50";"165"
"2018-10-19";"1225.30";"1225.30";"1225.30";"1225.30";"55"
"2018-10-22";"1224.50";"1224.50";"1219.60";"1221.20";"18"
"2018-10-23";"1224.80";"1237.80";"1224.80";"1233.40";"33"
"2018-10-24";"1231.60";"1231.60";"1227.80";"1227.80";"36"
"2018-10-25";"1238.60";"1238.60";"1229.10";"1229.10";"7"
"2018-10-26";"1234.30";"1234.80";"1232.50";"1232.50";"20"
"2018-10-29";"1224.50";"1224.50";"1224.50";"1224.50";"214"
"2018-10-30";"1227.70";"1227.70";"1219.80";"1222.60";"72"
"2018-10-31";"1216.00";"1216.60";"1212.00";"1212.30";"121"
"2018-11-01";"1215.40";"1236.00";"1215.40";"1236.00";"14"
"2018-11-02";"1233.30";"1233.30";"1230.90";"1230.90";"18"
"2018-11-05";"1230.60";"1231.50";"1226.70";"1229.80";"15"
"2018-11-06";"1230.70";"1233.80";"1223.80";"1223.80";"4"
"2018-11-07";"1228.60";"1228.60";"1226.20";"1226.20";"1"
"2018-11-08";"1222.90";"1222.90";"1222.90";"1222.90";"2"
"2018-11-09";"1207.90";"1207.90";"1206.40";"1206.40";"14"
"2018-11-12";"1201.60";"1201.60";"1201.30";"1201.30";"1"
"2018-11-13";"1196.30";"1201.30";"1196.30";"1199.20";"5"
"2018-11-14";"1207.90";"1207.90";"1207.90";"1207.90";"0"
"2018-11-15";"1212.80";"1212.80";"1212.80";"1212.80";"0"
"2018-11-16";"1216.70";"1223.80";"1216.70";"1220.80";"5"
"2018-11-19";"1223.10";"1223.10";"1223.10";"1223.10";"0"
"2018-11-20";"1225.30";"1228.80";"1219.00";"1219.00";"12"
"2018-11-21";"1225.80";"1225.80";"1225.80";"1225.80";"0"
"2018-11-23";"1224.80";"1224.80";"1221.00";"1221.00";"1"
"2018-11-26";"1220.20";"1222.00";"1220.20";"1220.20";"2"
"2018-11-27";"1221.90";"1222.00";"1211.20";"1211.20";"5"
"2018-11-28";"1211.50";"1221.40";"1211.50";"1221.40";"247168"
"2018-11-29";"1221.00";"1228.70";"1220.50";"1224.10";"55478"
"2018-11-30";"1224.10";"1225.00";"1216.10";"1220.20";"2060"
"2018-12-03";"1222.50";"1234.10";"1221.30";"1233.90";"751"
"2018-12-04";"1231.00";"1241.40";"1230.40";"1241.10";"474"
"2018-12-06";"1237.50";"1244.40";"1234.80";"1238.10";"434"
"2018-12-07";"1238.30";"1249.80";"1237.60";"1246.80";"211"
"2018-12-10";"1249.60";"1249.60";"1241.70";"1243.70";"131"
"2018-12-11";"1245.80";"1248.70";"1241.50";"1241.90";"117"
"2018-12-12";"1245.30";"1245.60";"1244.10";"1244.40";"84"
"2018-12-13";"1243.50";"1243.50";"1241.00";"1242.70";"194"
"2018-12-14";"1241.70";"1241.70";"1234.10";"1237.00";"33"
"2018-12-17";"1239.30";"1247.40";"1239.30";"1247.40";"10"
"2018-12-18";"1248.20";"1249.20";"1245.60";"1249.20";"31"
"2018-12-19";"1255.80";"1255.80";"1252.10";"1252.10";"268"
"2018-12-20";"1243.20";"1263.60";"1243.20";"1263.60";"49"
"2018-12-21";"1260.30";"1261.30";"1253.80";"1253.80";"96"
"2018-12-24";"1260.30";"1268.50";"1260.30";"1267.50";"27"
"2018-12-26";"1269.30";"1277.40";"1269.20";"1269.20";"63"
"2018-12-27";"1276.70";"1277.30";"1276.70";"1277.30";"480"
"2018-12-28";"1273.50";"1280.10";"1273.50";"1279.90";"805"
"2018-12-31";"1278.00";"1281.30";"1277.60";"1278.30";"19"
"2019-01-02";"1286.00";"1286.00";"1277.60";"1281.00";"149"
